,Cnsmr,Manuf,HiTec,Hlth,Other
R^2,0.5356669586981994,0.5773543060308789,0.6121784054521743,0.30997157098085104,0.7172907894356391
adj_R^2,0.36369175821605093,0.42081886382009326,0.4685407778418684,0.054405486158943916,0.6125836744118016
p-values,"[['GS10', 'UMCSENTx', 'COMPAPFFx', 'VXOCLSx', 'PERMIT', 'UEMP5TO14', 'WPSFD49207', 'CUSR0000SAC', 'S&P div yield', 'EXCAUSx'], [0.0730144483701666, 0.5112900206242099, 0.22950196228180525, 0.014052032309444403, 0.3355220983489342, 0.2554559046859978, 0.41681468915524733, 0.22145586595535868, 0.5671899380914946, 0.6317883407831962]]","[['USGOVT', 'COMPAPFFx', 'USFIRE', 'UMCSENTx', 'CLAIMSx', 'S&P div yield', 'DNDGRG3M086SBEA', 'PERMIT', 'CUSR0000SAC', 'PERMITS'], [0.13059467857381893, 0.457240944229915, 0.39660681052472746, 0.01387290786516927, 0.7416632092594617, 0.025986797963460182, 0.15129178444644908, 0.33778209072023735, 0.09450702626409269, 0.5340816892947675]]","[['VXOCLSx', 'UMCSENTx', 'PERMITS', 'UEMPMEAN', 'EXCAUSx', 'DNDGRG3M086SBEA', 'S&P div yield', 'COMPAPFFx', 'IPDCONGD', 'S&P PE ratio'], [0.010099354151004136, 0.06244623984465313, 0.6319551485094054, 0.10566724273500995, 0.39427397425128474, 0.0900201096767787, 0.29860017970806496, 0.9191112883695122, 0.8396841390710137, 0.23528804925643307]]","[['WPSID62', 'UMCSENTx', 'IPB51222S', 'IPDCONGD', 'HOUSTW', 'PERMITW', 'VXOCLSx', 'COMPAPFFx', 'HOUSTMW', 'PPICMM'], [0.7719605119047714, 0.792536704496787, 0.031731583493840074, 0.909819361053363, 0.5635751829070529, 0.4862855300197595, 0.1850332651705556, 0.34154294807439645, 0.8097708219672666, 0.8978251083665482]]","[['COMPAPFFx', 'UMCSENTx', 'USGOVT', 'USFIRE', 'VXOCLSx', 'S&P div yield', 'EXCAUSx', 'CLAIMSx', 'IPDCONGD', 'ANDENOx'], [0.7106874116094766, 0.006593304890495702, 0.2042584598247266, 0.5279550371744101, 0.0006815551380592148, 0.8149385508716025, 0.90901587255945, 0.5844262076385132, 0.5372628775316355, 0.5622589253997439]]"
params,"[['GS10', 'UMCSENTx', 'COMPAPFFx', 'VXOCLSx', 'PERMIT', 'UEMP5TO14', 'WPSFD49207', 'CUSR0000SAC', 'S&P div yield', 'EXCAUSx'], [-0.08038268302550222, -0.0021396534019141283, 0.12607176780744156, -0.006878037066470395, -0.0002392219284211458, -8.837273792355692e-06, -0.012793367943896475, 0.015108886258011505, 0.09864011113052923, 0.371662185550933]]","[['USGOVT', 'COMPAPFFx', 'USFIRE', 'UMCSENTx', 'CLAIMSx', 'S&P div yield', 'DNDGRG3M086SBEA', 'PERMIT', 'CUSR0000SAC', 'PERMITS'], [0.00013339733233740689, -0.06834614286491182, 0.00024333633348046994, -0.0113332271164512, -9.656987824848179e-09, -0.5573588716054733, 0.07829952833143287, -0.0003357766780525144, -0.05657114152427741, 0.0003250252170851876]]","[['VXOCLSx', 'UMCSENTx', 'PERMITS', 'UEMPMEAN', 'EXCAUSx', 'DNDGRG3M086SBEA', 'S&P div yield', 'COMPAPFFx', 'IPDCONGD', 'S&P PE ratio'], [-0.005350012395930387, -0.0038332047985319175, -0.00011058628342336284, -0.013001071634035388, -0.45413295582147417, 0.011551475893008135, 0.16387784179030607, 0.006411760984375618, 0.00037185020459399166, -0.0028612728507308918]]","[['WPSID62', 'UMCSENTx', 'IPB51222S', 'IPDCONGD', 'HOUSTW', 'PERMITW', 'VXOCLSx', 'COMPAPFFx', 'HOUSTMW', 'PPICMM'], [-0.0004532002318900886, -0.0005005031485677994, 0.0024975209038447755, -0.00013976102747315788, -0.0001378241269356551, -0.0002759388577607563, -0.0015954133840537996, 0.05417475413763389, 8.382863459483334e-05, 0.00014768276639102822]]","[['COMPAPFFx', 'UMCSENTx', 'USGOVT', 'USFIRE', 'VXOCLSx', 'S&P div yield', 'EXCAUSx', 'CLAIMSx', 'IPDCONGD', 'ANDENOx'], [0.015241944554949996, -0.0051507457823535266, 6.736274646060802e-05, -9.024292506187097e-05, -0.0053011365729261645, -0.02415345480113648, 0.04595084087985424, 1.4588440027546268e-08, -0.0008658259828611052, -7.857943227889271e-07]]"
