,Cnsmr,Manuf,HiTec,Hlth,Other
R^2,0.6781880511522044,0.3786691451672237,0.7433398718871964,0.3728936676396014,0.8704617261585248
adj_R^2,0.6489324194387684,0.3609168350291445,0.7282422172923256,0.33600505985369555,0.8628418276972616
p-values,"[['const', 'Mkt-RF', 'HML', 'SMB'], [0.4930848332750063, 2.7755741222373597e-09, 0.000821396112044171, 0.1347611272633062]]","[['const', 'Mkt-RF'], [0.04082804577534414, 5.049620357694703e-05]]","[['const', 'Mkt-RF', 'HML'], [0.17860734528749064, 1.47818350637364e-11, 0.01643474628950934]]","[['const', 'Mkt-RF', 'SMB'], [0.9712442094481701, 7.926978890499033e-05, 0.12532899640532308]]","[['const', 'Mkt-RF', 'SMB'], [0.3606398502036421, 2.2801922663940945e-16, 0.0022324442487219303]]"
params,"[['const', 'Mkt-RF', 'HML', 'SMB'], [0.005743522011711789, 1.2438499041068363, -0.8371322397674117, -0.4868403903091351]]","[['const', 'Mkt-RF'], [0.02510135605383639, 1.0196951973798294]]","[['const', 'Mkt-RF', 'HML'], [0.00937568778566866, 1.173542339622891, -0.4775429554534923]]","[['const', 'Mkt-RF', 'SMB'], [0.0002367532102791189, 0.5908361250734506, -0.4411971074568356]]","[['const', 'Mkt-RF', 'SMB'], [0.002930259673264481, 0.9447585263965671, -0.4503511621305575]]"
