,Cnsmr,Manuf,HiTec,Hlth,Other
R^2,0.6935245657541124,0.7419403782913432,0.7118685390256112,0.4609184183539564,0.8076294362304681
adj_R^2,0.3329652313471858,0.43834082333998226,0.3728903496439774,-0.1732952071119771,0.5813111259133719
p-values,"[['WPSID62', 'GS10', 'S&P div yield', 'UMCSENTx', 'VXOCLSx', 'AMDMNOx', 'S&P PE ratio', 'IPDCONGD', 'REALLN', 'EXCAUSx', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.9161846917816581, 0.5808043735393271, 0.8518220618131245, 0.04489237411453514, 0.9735681702131179, 0.8169112553736905, 0.9910601141592303, 0.789808969828127, 0.40212987376592313, 0.5315304455176618, 0.14824563726002585, 0.6762745864969988, 0.4800440112428297, 0.16119661680917594, 0.6433480457431473, 0.2235818510704571, 0.6439910440396356, 0.9072409403282178, 0.6878692673289393, 0.9107719205742635]]","[['WPSID62', 'USFIRE', 'S&P div yield', 'USGOVT', 'IPB51222S', 'TWEXAFEGSMTHx', 'DNDGRG3M086SBEA', 'UEMP15T26', 'UMCSENTx', 'IPDCONGD', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.26205504278010705, 0.9938750287046447, 0.012723273370692968, 0.09948966519060834, 0.6148145953816736, 0.19596519514260258, 0.222768039092075, 0.894636765554186, 0.024146268491120712, 0.7007226263571049, 0.9535715074292513, 0.5393448592585037, 0.08118747145883032, 0.1017975068952831, 0.6021086868364984, 0.22148304587788736, 0.0502123888180095, 0.37950417585798046, 0.32490376707149804, 0.09956600711507055]]","[['VXOCLSx', 'IPDCONGD', 'S&P PE ratio', 'AMDMNOx', 'UMCSENTx', 'UEMPMEAN', 'WPSID62', 'UEMP5TO14', 'HOUSTNE', 'S&P div yield', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.03834074180856659, 0.8494398994464272, 0.7130904927941148, 0.32447748939112664, 0.4384134709201124, 0.08493331529860283, 0.3165278851835902, 0.5416408966748927, 0.5018017415462082, 0.6063197270725896, 0.9929629243664126, 0.755967712226409, 0.9302317135243204, 0.9693051625224297, 0.9050273302274825, 0.1968455531090882, 0.34643762309604875, 0.13060216679485975, 0.7631626331156185, 0.3056862322524564]]","[['UMCSENTx', 'WPSID62', 'IPB51222S', 'VXOCLSx', 'IPNCONGD', 'IPDCONGD', 'HOUSTNE', 'S&P div yield', 'PERMITMW', 'UEMP15T26', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.2752657405062522, 0.6306540939242566, 0.40331453654124694, 0.24234572043330213, 0.47649267380549254, 0.10940159297885986, 0.8708560410817965, 0.4185402040172571, 0.8005806818481945, 0.12015735613282169, 0.7301218016157408, 0.3277713398781775, 0.2116108487369062, 0.5793838106274012, 0.5056753440470751, 0.8512760223532133, 0.7349894866697011, 0.4116946425832324, 0.45790616938199924, 0.6888734569622617]]","[['UMCSENTx', 'S&P div yield', 'USFIRE', 'USGOVT', 'S&P PE ratio', 'IPDCONGD', 'WPSID62', 'AMDMNOx', 'IPFUELS', 'VXOCLSx', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.07270649220559416, 0.9854440619869214, 0.8006518319472233, 0.5089975330022158, 0.17857151936564752, 0.4457250663450315, 0.761912044555684, 0.12734281170639, 0.23843817836449277, 0.001610646453075514, 0.9893743025804097, 0.5532950381758992, 0.2514453078066644, 0.9026194432566402, 0.7462333968908659, 0.4324876709387667, 0.39392285728808296, 0.7471654323566248, 0.3065195518621715, 0.8004728338928547]]"
params,"[['WPSID62', 'GS10', 'S&P div yield', 'UMCSENTx', 'VXOCLSx', 'AMDMNOx', 'S&P PE ratio', 'IPDCONGD', 'REALLN', 'EXCAUSx', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.0003421106290773866, 0.048254343576479675, 0.05593555111970827, -0.009100532394228027, -8.59100029517554e-05, -7.094870416263934e-07, -3.648547999935575e-05, 0.0009022690882826119, 0.0002744117273369752, -0.7387207217554026, 2.5477260270448188, -0.004328108999287725, 0.01117886680982947, 0.0035572239428762753, 0.1812074973721195, -0.020002332277405013, -0.00480350920862204, -0.0008038218882576538, 0.42070120484683937, -0.04189100027540367]]","[['WPSID62', 'USFIRE', 'S&P div yield', 'USGOVT', 'IPB51222S', 'TWEXAFEGSMTHx', 'DNDGRG3M086SBEA', 'UEMP15T26', 'UMCSENTx', 'IPDCONGD', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.0034815528422156693, -3.2460854846799248e-06, -0.6840333995509428, 0.0001923164093734118, 0.001567019948944905, 0.016936131335655306, -0.035097211375523074, 4.629977576765803e-06, -0.01683172894898812, -0.0011983763759185974, -0.07911633182311717, -0.007120782299113599, 0.02642324305061139, -0.012078167597299226, 0.1646107610733566, 0.026269470357578185, -0.019967513809922517, -0.005816428861876524, -0.6686103563002159, 0.37465593959169974]]","[['VXOCLSx', 'IPDCONGD', 'S&P PE ratio', 'AMDMNOx', 'UMCSENTx', 'UEMPMEAN', 'WPSID62', 'UEMP5TO14', 'HOUSTNE', 'S&P div yield', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.0055873621894697995, 0.0006769523137009947, -0.00133581912411067, -2.1813812622451982e-06, -0.003638603700062356, -0.014751388811665008, 0.002277985194794704, -4.53614393286192e-06, 0.00036062059275534684, 0.12179334522231156, 0.012204939121832403, 0.0066714965065290364, -0.0025152563788792843, -0.00038065876149379757, -0.05698910427157251, 0.017622128909647046, -0.007390630058904108, 0.005735217323518628, 0.21791226491937293, 0.46604865370711723]]","[['UMCSENTx', 'WPSID62', 'IPB51222S', 'VXOCLSx', 'IPNCONGD', 'IPDCONGD', 'HOUSTNE', 'S&P div yield', 'PERMITMW', 'UEMP15T26', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.005353822076151563, 0.0007858396726958686, 0.002037449846133183, -0.0021499764801485182, -0.007104666874004301, -0.003919639835541131, -6.99140636326785e-05, 0.14559645856370435, 0.0001777755905259127, 3.863183427324839e-05, 0.3686131002906994, -0.019902391030396146, 0.03246671065637613, 0.003068713252815075, 0.20182482530322748, -0.0022125289055759697, -0.005358206271071311, 0.0038543121516991835, -0.4570701715178044, 0.13580217047501958]]","[['UMCSENTx', 'S&P div yield', 'USFIRE', 'USGOVT', 'S&P PE ratio', 'IPDCONGD', 'WPSID62', 'AMDMNOx', 'IPFUELS', 'VXOCLSx', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.00475188640232552, 0.0021316466896953573, -2.5056595538840327e-05, 3.541749835448901e-05, -0.002566049844089672, -0.0011770998155630871, 0.0003101207537775328, -2.06268688712039e-06, 0.004710645443687543, -0.005185592474929066, 0.006652162637397652, 0.005149878358805206, -0.009813855949869756, -0.0008001071667100386, 0.04275751633037431, 0.006771636214392963, 0.005168820843144199, -0.0009297801276150872, 0.25527007321482487, 0.020080095127735176]]"
