,Cnsmr,Manuf,HiTec,Hlth,Other
R^2,0.8552367170603048,0.664867511125226,0.8612142116638609,0.5277482379235998,0.9398632401832216
adj_R^2,0.7768232721346365,0.48333741298472344,0.7860385763151189,0.27194520013221635,0.9072891619491333
p-values,"[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.4911188843255427e-07, 0.4020281879745501, 0.0001407691745704397, 0.39803238021802234, 0.9910602658956544, 0.835678417960345, 0.3952361208245825, 0.5060165472818949, 0.16793806954853902, 0.549383193182691, 0.17179339290698975, 0.8659089442346254, 0.06233829254640841]]","[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.0008115204640377363, 0.20518602872088132, 0.35884974968560956, 0.4234942981021942, 0.5419849401549, 0.6133424626320255, 0.7801678435308717, 0.5394271710917529, 0.16252202107408467, 0.1635953122716738, 0.8166867483137227, 0.9025700519900751, 0.801930455628951]]","[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [2.1094196446893458e-08, 0.9244825530890299, 0.08890987115270643, 0.8551449900881315, 0.7364481445943571, 0.7069989954547335, 0.27143162399998494, 0.23007242338878273, 0.05968662907557251, 0.05960962925640049, 0.03363206619720304, 0.6893672871606012, 0.6523841978817184]]","[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.0008810351762889153, 0.21224559309484367, 0.8630713600902749, 0.9294299325804227, 0.5568698929400013, 0.62700906283451, 0.31906533309917773, 0.9328109978399102, 0.8603860642539429, 0.7452215194926499, 0.7204428399364324, 0.9474810192135098, 0.46400482964361]]","[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [8.86075031866594e-14, 0.024857729758701163, 0.0012677057936320794, 0.9193448132336357, 0.07363767347963947, 0.2820323122335581, 0.015048306680618632, 0.03745303178043359, 0.4297475388900681, 0.7773446134769602, 0.7319435461594304, 0.015812897976902215, 0.029293639528572373]]"
params,"[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.1862611975006594, -0.25379290374002744, -1.0568739442967483, 0.622607114921852, -5.554115142642445e-05, 0.001590317884501325, 0.0010712123996869925, -0.11231342861902521, -0.007790771028696722, -0.002482356005433449, 0.0035132692419326808, 0.05225345104434659, -0.2545225895089334]]","[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.1930511380911437, -0.8404032631934985, -0.4512809879848848, -0.9995816133256018, 0.004925718107096641, -0.00565806951877661, 0.0011958155250613167, -0.14119256297980376, 0.01666143830486156, -0.014377162426672287, 0.001340969826677931, -0.03457563204166826, 0.03851428600911452]]","[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.177965928200751, -0.030205939071409116, -0.3930664391685278, 0.12893796967528703, -0.0032312234856494383, -0.0047544467930436315, -0.004437979342664111, -0.31408153038942543, 0.011930593037733337, -0.006405900318522175, 0.0037589802216694427, 0.1112945246477434, 0.09492956771274078]]","[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.6425538898549361, -0.41626810177688944, -0.04112462418616358, 0.06490681568527734, -0.006121232342890165, 0.0073694159432288985, 0.0035972790450913843, 0.014706663673209303, -0.001463275261925404, 0.0034298899766315384, -0.0012385708101392823, -0.019951906731982508, -0.14333360072825985]]","[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.989039630177563, -0.33257830863516247, -0.4446879185140438, 0.02093623403685954, -0.00395511456297418, 0.0038452416797798684, 0.002486641095800327, 0.10948651145952767, -0.0023274235040003804, -0.000728515825281285, 0.0004074168862329857, -0.28129711807323576, 0.07433729188495564]]"
