,0,0,0,0,0
R^2,0.02069667616621651,0.034881787865431835,0.08738208311431539,0.02350691705875263,0.02330430961645258
adj_R^2,0.011712242002603901,0.02602749234126156,0.07048175132013601,0.014548264921677045,0.014343798695502619
p-values,"[['const', 'neu_g'], [0.4630806084759581, 0.13196839241546982]]","[['const', 'mean_s'], [0.16780646045114697, 0.04967628924046845]]","[['const', 'neu_s', 'mean_s'], [0.8283025251802, 0.01688937072865809, 0.019663677353632246]]","[['const', 'neu_s'], [0.5044807975505268, 0.10815284486535248]]","[['const', 'mean_s'], [0.1601676704450252, 0.10970286925533718]]"
params,"[['const', 'neu_g'], [-0.014003819043022066, 0.0004996156444153105]]","[['const', 'mean_s'], [0.009200366286144457, 0.05277567359350492]]","[['const', 'neu_s', 'mean_s'], [-0.0031215963600967284, 0.0016624782290707494, 0.09187031131076706]]","[['const', 'neu_s'], [-0.006859593782488517, 0.001584105028272941]]","[['const', 'mean_s'], [0.008175922641014763, 0.04339695510698484]]"
