,Cnsmr,Manuf,HiTec,Hlth,Other
R^2,0.4464652667703406,0.531992555981722,0.5778587984716609,0.2829332400419967,0.747797874367452
adj_R^2,0.24145240261120748,0.358656465604582,0.42151020531301675,0.017352958576069555,0.6543896796887305
p-values,"[['WPSID62', 'GS10', 'S&P div yield', 'UMCSENTx', 'VXOCLSx', 'AMDMNOx', 'S&P PE ratio', 'IPDCONGD', 'REALLN', 'EXCAUSx'], [0.7654511889376769, 0.787134059168643, 0.5301805878234251, 0.32889843142579267, 0.037016768575798734, 0.40316934600842724, 0.9355293839591067, 0.7946469193731872, 0.5770501578051759, 0.8450414291857998]]","[['WPSID62', 'USFIRE', 'S&P div yield', 'USGOVT', 'IPB51222S', 'TWEXAFEGSMTHx', 'DNDGRG3M086SBEA', 'UEMP15T26', 'UMCSENTx', 'IPDCONGD'], [0.8312596411682932, 0.5889617942249032, 0.012607983117627754, 0.13574640020604864, 0.5744779881865164, 0.40668862309557396, 0.6952940991445765, 0.8401072162405187, 0.166944739595358, 0.5654614025787692]]","[['VXOCLSx', 'IPDCONGD', 'S&P PE ratio', 'AMDMNOx', 'UMCSENTx', 'UEMPMEAN', 'WPSID62', 'UEMP5TO14', 'HOUSTNE', 'S&P div yield'], [0.0005885151202558562, 0.35293412470065066, 0.14861452514748508, 0.4340780707766376, 0.28251204014462955, 0.04505142891696694, 0.6126090934583612, 0.9287637739014174, 0.16232838791689377, 0.00358738816567397]]","[['UMCSENTx', 'WPSID62', 'IPB51222S', 'VXOCLSx', 'IPNCONGD', 'IPDCONGD', 'HOUSTNE', 'S&P div yield', 'PERMITMW', 'UEMP15T26'], [0.9035239755400255, 0.5025038347430539, 0.4589996912029525, 0.26351515277366716, 0.7368837229616789, 0.2743197359047726, 0.568501188525792, 0.6699130498311757, 0.8673531740922606, 0.4067917131322476]]","[['UMCSENTx', 'S&P div yield', 'USFIRE', 'USGOVT', 'S&P PE ratio', 'IPDCONGD', 'WPSID62', 'AMDMNOx', 'IPFUELS', 'VXOCLSx'], [0.00032224991539020546, 0.520727796660434, 0.5202946671660571, 0.1074524078604682, 0.22976488953658544, 0.1696290144773397, 0.5763030424883313, 0.12519655102501748, 0.15068634893278168, 6.030327349174181e-05]]"
params,"[['WPSID62', 'GS10', 'S&P div yield', 'UMCSENTx', 'VXOCLSx', 'AMDMNOx', 'S&P PE ratio', 'IPDCONGD', 'REALLN', 'EXCAUSx'], [0.0007586941017031469, -0.016822451997615603, 0.12708169979877254, -0.002768235620202644, -0.004544750250025384, -2.0296042773033036e-06, 0.0002313601364020625, 0.0007283812852189515, 0.0001462225762957994, -0.1781407801233394]]","[['WPSID62', 'USFIRE', 'S&P div yield', 'USGOVT', 'IPB51222S', 'TWEXAFEGSMTHx', 'DNDGRG3M086SBEA', 'UEMP15T26', 'UMCSENTx', 'IPDCONGD'], [0.000510746500032077, -0.0001802290449856922, -0.5014334402270924, 0.00014021023487384383, 0.0014170065588408158, 0.009193951014613972, -0.008774784335470508, 5.396347839763029e-06, -0.008180238230975068, -0.001751061795854604]]","[['VXOCLSx', 'IPDCONGD', 'S&P PE ratio', 'AMDMNOx', 'UMCSENTx', 'UEMPMEAN', 'WPSID62', 'UEMP5TO14', 'HOUSTNE', 'S&P div yield'], [-0.007139124273578392, 0.002596368227713995, -0.00360831475544444, -1.496260680843099e-06, -0.002853514618057378, -0.01533022156529995, 0.000723204039778682, -4.835678647809904e-07, 0.000550000311088155, 0.361877606439473]]","[['UMCSENTx', 'WPSID62', 'IPB51222S', 'VXOCLSx', 'IPNCONGD', 'IPDCONGD', 'HOUSTNE', 'S&P div yield', 'PERMITMW', 'UEMP15T26'], [0.00042397992085411854, 0.0007482041906826627, 0.0014967692579810946, -0.0015207364898573628, -0.002221106016695001, -0.0017803023112754465, -0.0002056927504487869, 0.060484205120524895, 9.531350326360768e-05, 1.3355752581962195e-05]]","[['UMCSENTx', 'S&P div yield', 'USFIRE', 'USGOVT', 'S&P PE ratio', 'IPDCONGD', 'WPSID62', 'AMDMNOx', 'IPFUELS', 'VXOCLSx'], [-0.006324749918439474, -0.056316677663029, -4.664029154599972e-05, 5.534867767029019e-05, -0.001503546543632138, -0.0016886010304608295, 0.0004679976206033561, -1.6528836432739613e-06, 0.0046473395470476376, -0.004490790630278484]]"
