,Cnsmr,Manuf,HiTec,Hlth,Other
R^2,0.15424619640344894,0.07593499702348594,0.18729919366115833,0.08156078068862704,0.05518800980106542
adj_R^2,0.0705081960473547,-0.015556587429634394,0.10683376729097593,-0.00937379548081596,-0.038357731802789674
p-values,"[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.08400844223624203, 0.06948842612536078, 0.23452716520478234, 0.030039002476572808, 0.4343261779014004, 0.8397443797008419, 0.23509193949856982, 0.018143909915448526, 0.6632024672176955, 0.8357755690648938]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.5770808943534966, 0.5872510604287146, 0.9317139395974186, 0.7722637689671714, 0.42703973310783183, 0.5880350350413035, 0.2053021541406859, 0.4081902016673331, 0.7400263586900497, 0.9074392642268684]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.6514455594088905, 0.7359938945843154, 0.6749625541276667, 0.5957687279177188, 0.24281072629506048, 0.758753149919654, 0.8484542508019404, 0.14763630227770502, 0.24388086638601314, 0.41304331684678364]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.5277816257604866, 0.7418629085110326, 0.6621369447638505, 0.8570294740047545, 0.7568952868741812, 0.31661201614547146, 0.9467788005396542, 0.06752354830874191, 0.8925148694549633, 0.596176955717465]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.973764095359552, 0.9539079149788905, 0.5772169674749383, 0.35820636970647757, 0.3501988066882121, 0.9671296645722717, 0.8559776668902892, 0.5451539263687976, 0.8382651304653121, 0.8794835253242933]]"
params,"[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.3892800736322579, -0.0030376788768507216, 0.0029399376589670265, 0.0010191787467752564, 0.059139401009603444, 0.0005541121433302807, 0.0023711733786111132, -0.0021044624139564556, -0.045482057693032624, -0.01220206345117461]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.12664710776406501, 0.0011717583029712676, -0.0001798772913083062, 0.00021112195043504565, 0.041073812550831756, -0.0015038632497118287, -0.0028658184104231616, 0.0010995668929774487, 0.015804485947634048, -0.003814660076914538]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.14099185152276741, -0.001362528687474709, 0.002425867346112958, 0.0008570652292547065, 0.13747599857246748, 0.0010355742055318392, -0.00035139780501872945, 0.001353706590167078, -0.1651491437174725, 0.07702983489693435]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.14739355413118665, -0.001026610908356899, 0.0020287738446566755, 0.00021323854355430533, 0.021722353908302253, -0.0032648017100058986, 0.00027413323434160057, 0.0022835387996631715, 0.015139334885604754, -0.0392934073678737]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.007164034806679279, 0.0001299333146587984, -0.0019356670101284053, 0.0007274546854511453, 0.046298159233569995, 0.00014158576767823517, 0.00048529690666222194, -0.0008280289413861758, 0.014042123029967404, -0.004635154739304689]]"
