,Cnsmr,Manuf,HiTec,Hlth,Other
R^2,0.7280536301452389,0.4659575624073017,0.7721734143988428,0.38877463773452337,0.8805075823567036
adj_R^2,0.7040583622168777,0.4188361708550048,0.7520710686105054,0.3348429881228637,0.8699641337411186
p-values,"[['Mkt-RF', 'SMB', 'HML'], [2.3422480910007833e-10, 0.10517076345776866, 6.88881766472719e-05]]","[['Mkt-RF', 'SMB', 'HML'], [5.210995437784159e-06, 0.15491822046529052, 0.2134908200159055]]","[['Mkt-RF', 'SMB', 'HML'], [9.376218653206946e-12, 0.569209574104097, 0.0016739749012207633]]","[['Mkt-RF', 'SMB', 'HML'], [5.314101248724264e-05, 0.12417585610532905, 0.8780614088212625]]","[['Mkt-RF', 'SMB', 'HML'], [5.072397287191758e-17, 0.0017316704504604908, 0.3087343858847713]]"
params,"[['Mkt-RF', 'SMB', 'HML'], [1.279985624879358, -0.5189279085680394, -0.9092119871175572]]","[['Mkt-RF', 'SMB', 'HML'], [1.303594472608716, -0.7580864108069879, -0.4251934152641316]]","[['Mkt-RF', 'SMB', 'HML'], [1.2498114689352129, -0.1537300317639788, -0.5875432252526293]]","[['Mkt-RF', 'SMB', 'HML'], [0.5947559567685536, -0.4380166484804698, -0.027642483419012542]]","[['Mkt-RF', 'SMB', 'HML'], [0.9683770668990357, -0.4571187066653579, -0.089386059600231]]"
