,Cnsmr,Manuf,HiTec,Hlth,Other
R^2,0.6437902205019577,0.5815964062075991,0.5707747255176638,0.23090298389605501,0.7386836198973018
adj_R^2,0.5420159977882313,0.5141119555959215,0.5171215662073718,0.18566198294876413,0.6640217970108167
p-values,"[['const', 'UMCSENTx', 'neu_g', 'neg_s', 'pos_s', 'neg_s_r', 'UEMP5TO14', 'neu_s', 'PERMIT'], [0.00020256123032496198, 7.211046125908507e-05, 0.003129892001757399, 0.5950565865912064, 0.0472189604584751, 0.0195790641122633, 0.03447419131482396, 0.05059226221480126, 0.11213372925247671]]","[['const', 'UMCSENTx', 'neg_s', 'DNDGRG3M086SBEA', 'neg_s_r', 'neg_g_r'], [0.006755714123659368, 2.6263278848432726e-06, 0.00035980537303977435, 0.002877518123648982, 0.05470770544528723, 0.19065984772706085]]","[['const', 'UMCSENTx', 'VXOCLSx', 'UEMPMEAN', 'neu_s'], [0.010773900784169002, 0.35709749433543825, 0.000367706595877223, 0.004109989758126722, 0.03124706860229539]]","[['const', 'IPB51222S', 'PERMITW'], [0.40403474030383013, 0.04080958152043414, 0.0951580549067842]]","[['const', 'COMPAPFFx', 'USFIRE', 'neg_g', 'UMCSENTx', 'VXOCLSx', 'CLAIMSx', 'USGOVT', 'mean_g'], [0.04424603138817867, 0.17717124964816774, 0.4826839119250089, 0.5307908942434465, 0.0006522709576344284, 4.515610377631433e-06, 0.0016884087729768004, 0.04971946357598859, 0.17183668507942684]]"
params,"[['const', 'UMCSENTx', 'neu_g', 'neg_s', 'pos_s', 'neg_s_r', 'UEMP5TO14', 'neu_s', 'PERMIT'], [1.1916158155521575, -0.007585317828538385, 0.0028909201496145442, 0.0030715909454900312, -0.015912026501414663, -0.33121801715818344, -1.1678285072581512e-05, -0.006274753252777837, -0.00017029635756724687]]","[['const', 'UMCSENTx', 'neg_s', 'DNDGRG3M086SBEA', 'neg_s_r', 'neg_g_r'], [-5.429008575166718, -0.009610333350660843, -0.017831426896872914, 0.06355298057148177, 0.15113374300778964, 0.2238211270269434]]","[['const', 'UMCSENTx', 'VXOCLSx', 'UEMPMEAN', 'neu_s'], [0.41841128579040476, -0.0015935915253083668, -0.004154976032302154, -0.012028707261325593, 0.004822070890620094]]","[['const', 'IPB51222S', 'PERMITW'], [-0.14848922263461112, 0.0026741795205515494, -0.0003917008106461703]]","[['const', 'COMPAPFFx', 'USFIRE', 'neg_g', 'UMCSENTx', 'VXOCLSx', 'CLAIMSx', 'USGOVT', 'mean_g'], [-1.3968226386560767, 0.0580695825209789, 5.8397552420757986e-05, 0.0025939845446344098, -0.005739037120787886, -0.006781645882951069, 3.995927796699683e-08, 6.690955170438223e-05, 0.34773735546637685]]"
