,Cnsmr,Manuf,HiTec,Hlth,Other
R^2,0.785672055663704,0.7789411150781504,0.72490558275043,0.4485297073922627,0.7621289438311964
adj_R^2,0.5335215329151206,0.5188718386995039,0.40126509186858306,-0.2002588721462517,0.48228064245613345
p-values,"[['GS10', 'UMCSENTx', 'COMPAPFFx', 'VXOCLSx', 'PERMIT', 'UEMP5TO14', 'WPSFD49207', 'CUSR0000SAC', 'S&P div yield', 'EXCAUSx', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.1745225962686711, 0.029307661651499842, 0.11057027313854831, 0.33238568209205355, 0.06648933091424761, 0.08861781000909426, 0.36708066605725387, 0.8353889012595881, 0.9950297558939484, 0.28859639042698304, 0.2466800385235218, 0.47673182909271206, 0.493930371899283, 0.02754648223776094, 0.4477170482995718, 0.06003843941280588, 0.939201770565169, 0.8653306012017011, 0.7693702397496069, 0.19868790112928406]]","[['USGOVT', 'COMPAPFFx', 'USFIRE', 'UMCSENTx', 'CLAIMSx', 'S&P div yield', 'DNDGRG3M086SBEA', 'PERMIT', 'CUSR0000SAC', 'PERMITS', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.023704629962971735, 0.4630861448439886, 0.07722887791749256, 0.011495836036011998, 0.2868494742860582, 0.004108263861554991, 0.5466588558900441, 0.01962976104854351, 0.2209755400178604, 0.07585605487532136, 0.9122214943186607, 0.4699927837954677, 0.11510830409714777, 0.4101308934993432, 0.4454325220145873, 0.04876899961924899, 0.009113566840901942, 0.9379941467891716, 0.4261766375522673, 0.17925285313148542]]","[['VXOCLSx', 'UMCSENTx', 'PERMITS', 'UEMPMEAN', 'EXCAUSx', 'DNDGRG3M086SBEA', 'S&P div yield', 'COMPAPFFx', 'IPDCONGD', 'S&P PE ratio', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.027834404398619034, 0.20618702941001707, 0.5859469983037369, 0.27446049469140227, 0.963863875835504, 0.42965497629459104, 0.619427364776524, 0.3112607823477062, 0.9322273703888774, 0.6886757581057628, 0.9113410292290417, 0.932169519420158, 0.8085968755093833, 0.5506284631871614, 0.2510000521414137, 0.2676409618521476, 0.15600340861522538, 0.2546973675311998, 0.8744088286913237, 0.9267674427158409]]","[['WPSID62', 'UMCSENTx', 'IPB51222S', 'IPDCONGD', 'HOUSTW', 'PERMITW', 'VXOCLSx', 'COMPAPFFx', 'HOUSTMW', 'PPICMM', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.3834234554999799, 0.9475716515561805, 0.23432936598738305, 0.7529757605298781, 0.5448750859194257, 0.8213056206747502, 0.0748572275629355, 0.11462229845714211, 0.9414228537316469, 0.8127636255461761, 0.8299190195257343, 0.8664804136187952, 0.9453607235486378, 0.591267042264014, 0.3493212247663836, 0.9274441372415937, 0.6985534025004965, 0.30584343343807024, 0.7756183849315982, 0.537309463730987]]","[['COMPAPFFx', 'UMCSENTx', 'USGOVT', 'USFIRE', 'VXOCLSx', 'S&P div yield', 'EXCAUSx', 'CLAIMSx', 'IPDCONGD', 'ANDENOx', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.7414068302646598, 0.03763698448497227, 0.2720316655852195, 0.608300133800549, 0.012728154712318198, 0.91221319250682, 0.9869615604587726, 0.9969647036714152, 0.439564169044134, 0.5157884089313918, 0.8697894038545188, 0.8992615341628051, 0.3719753812814365, 0.6153356396354532, 0.29584355879021224, 0.9322805996193537, 0.5406027404010192, 0.7718741399789735, 0.6276348937877454, 0.5379686763117122]]"
params,"[['GS10', 'UMCSENTx', 'COMPAPFFx', 'VXOCLSx', 'PERMIT', 'UEMP5TO14', 'WPSFD49207', 'CUSR0000SAC', 'S&P div yield', 'EXCAUSx', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.0863707399033039, -0.01053860618681366, 0.22244065088550413, -0.0031538222190626844, -0.0005633647049774174, -1.4059249340063298e-05, 0.01868615254920409, -0.0033683404576843063, 0.0012623938621392217, -0.970792936320191, 1.7085445941342512, -0.00558208302092031, 0.008708906521819182, 0.004638960220313891, -0.3137045457094234, -0.024057637367844234, -0.0007257412010076483, -0.0010870459215817372, 0.2436285653774714, -0.4187374068932418]]","[['USGOVT', 'COMPAPFFx', 'USFIRE', 'UMCSENTx', 'CLAIMSx', 'S&P div yield', 'DNDGRG3M086SBEA', 'PERMIT', 'CUSR0000SAC', 'PERMITS', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.00022491825917232353, 0.08597955403420571, 0.000621771432188084, -0.014099009415739354, -3.7368571548301236e-08, -0.8584594594196995, 0.04580797140953713, -0.0012873513968505168, -0.05913962884564347, 0.00128837831272784, 0.12692858560733672, -0.007207348269712057, 0.022927540443969364, -0.005796774567994547, 0.2154708473480622, 0.03431005502785014, -0.02888007836500228, 0.000488400085347708, -0.5036229201591855, 0.287839818049464]]","[['VXOCLSx', 'UMCSENTx', 'PERMITS', 'UEMPMEAN', 'EXCAUSx', 'DNDGRG3M086SBEA', 'S&P div yield', 'COMPAPFFx', 'IPDCONGD', 'S&P PE ratio', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.0068209079252428495, -0.005740596084136611, -0.00018743031703901306, -0.010146951873016901, 0.03753131074116256, 0.008730552794540557, 0.14185652648357738, 0.1065515188740414, -0.00021881099379247523, -0.001629877543124437, -0.20419411838253776, -0.0019531575019916605, -0.007070085268332096, -0.007653706459539919, -0.5631787181004115, 0.016460674088950467, -0.011776412892316977, 0.005203526522843739, 0.11713641001579705, 0.04083998538042667]]","[['WPSID62', 'UMCSENTx', 'IPB51222S', 'IPDCONGD', 'HOUSTW', 'PERMITW', 'VXOCLSx', 'COMPAPFFx', 'HOUSTMW', 'PPICMM', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.001956712131798263, 0.00018085032912536333, 0.001978667015484476, -0.000603165110053525, -0.0002065077229060256, 0.00016526545198521724, -0.0035572219677641125, 0.14477497943996775, -3.384494308524135e-05, -0.0003687529432908802, -0.23861360180282631, 0.003378143414666088, 0.0018161191632165043, 0.0032364076659809997, 0.27797031491074053, 0.0012448517621322032, -0.006959280308566207, 0.004785400188496181, 0.18442419130621898, 0.23797768305636735]]","[['COMPAPFFx', 'UMCSENTx', 'USGOVT', 'USFIRE', 'VXOCLSx', 'S&P div yield', 'EXCAUSx', 'CLAIMSx', 'IPDCONGD', 'ANDENOx', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.018957159885965632, -0.0058566253154519665, 8.503728370131581e-05, -9.877183523218522e-05, -0.005409303861561648, 0.016509686862558492, -0.009661345358391249, -1.3415156306193055e-10, -0.0015519146631493884, -1.1912658867673793e-06, 0.08470935582737221, -0.0011522670397097826, -0.008726995055279099, -0.0036456715762215185, 0.1405586247485809, -0.0007018616676491233, 0.0044982480796643565, -0.0009797921577308767, 0.13485172773785903, 0.06490817816990324]]"
