,Cnsmr,Manuf,HiTec,Hlth,Other
R^2,0.942264383697428,0.9387998441241795,0.9450486347295789,0.805636018687526,0.9693384466788534
adj_R^2,0.9370156913062851,0.933236193590014,0.9418162014783776,0.7813405210234667,0.9665510327405673
p-values,"[['const', 'Mkt-RF', 'SMB', 'HML'], [0.8934617383019724, 4.138296572830051e-21, 0.010513636052219912, 0.08197434904215319]]","[['const', 'Mkt-RF', 'HML', 'SMB'], [0.4964236031017758, 7.479112892907518e-18, 7.566037077872234e-05, 0.026378070168538506]]","[['const', 'Mkt-RF', 'HML'], [0.44763854009345516, 7.597227096847919e-23, 0.00038401277928271587]]","[['const', 'Mkt-RF', 'HML', 'neu_g', 'neg_g'], [0.008829938921852602, 7.25100786872601e-13, 0.012097957295083988, 0.02021860770021844, 0.10826439304898995]]","[['const', 'Mkt-RF', 'HML', 'pos_g'], [0.16797983476490183, 1.0861988419078652e-24, 3.8014898294388623e-07, 0.15739320761731962]]"
params,"[['const', 'Mkt-RF', 'SMB', 'HML'], [0.00035101276448660894, 1.0532977591565604, -0.2703768354121173, -0.1280187316705465]]","[['const', 'Mkt-RF', 'HML', 'SMB'], [-0.001988946298304938, 0.9147257112639531, 0.35852450533405383, 0.2576402799974104]]","[['const', 'Mkt-RF', 'HML'], [0.0019752713059843696, 1.06674730261471, -0.28077956044520613]]","[['const', 'Mkt-RF', 'HML', 'neu_g', 'neg_g'], [-0.12386417329544995, 0.8239721621766838, -0.3018314775275214, 0.003915333625207107, 0.0039625938469852]]","[['const', 'Mkt-RF', 'HML', 'pos_g'], [0.016061928020999698, 0.9875171212163161, 0.35444800128413767, -0.001076575115657868]]"
