,Cnsmr,Manuf,HiTec,Hlth,Other
R^2,0.7337704289440725,0.43980994537918183,0.667614812294659,0.39905471744573684,0.7078759687729375
adj_R^2,0.6695081186891935,0.34945671076292084,0.6140042981486362,0.323936557126454,0.6713604648695546
p-values,"[['const', 'UMCSENTx', 'VXOCLSx', 'PERMIT', 'neu_s', 'UEMP5TO14', 'neg_g', 'neu_g'], [1.6165455492925467e-07, 1.0743281502846855e-07, 9.417534810339107e-05, 0.00034107124704234847, 0.029657126999912076, 0.009206829008295708, 0.17219174749944452, 0.1999089440571479]]","[['const', 'neg_s', 'PERMIT', 'UMCSENTx', 'S&P div yield', 'neg_g'], [0.001078703748110514, 0.004631549742059532, 0.003647593249161632, 0.016803336770659497, 0.04982277738217325, 0.19258936751099442]]","[['const', 'UMCSENTx', 'VXOCLSx', 'UEMPMEAN', 'S&P div yield', 'neu_s'], [0.15916078229577332, 0.1259987037127086, 1.9081077032581147e-06, 0.0013562999467832313, 0.11643819631735827, 0.14065248642642503]]","[['const', 'IPDCONGD', 'VXOCLSx', 'UMCSENTx', 'neg_g'], [0.00013053549583846004, 0.013002754560181441, 0.003163341432964562, 0.03226954751286744, 0.17610856382980458]]","[['const', 'VXOCLSx', 'CLAIMSx', 'UMCSENTx', 'S&P div yield'], [0.24425966349289122, 5.8250565189363015e-09, 0.010140411467098102, 0.0015503474322199823, 0.04727337355495099]]"
params,"[['const', 'UMCSENTx', 'VXOCLSx', 'PERMIT', 'neu_s', 'UEMP5TO14', 'neg_g', 'neu_g'], [1.0835876896948926, -0.007033268864620274, -0.0031574438660327614, -0.00025159400022373596, -0.0039347400336036, -8.789778232075594e-06, 0.0021125214247227422, 0.000735848424467934]]","[['const', 'neg_s', 'PERMIT', 'UMCSENTx', 'S&P div yield', 'neg_g'], [0.9969374750166615, -0.010280248877254823, -0.00028701104631711756, -0.00231037581679934, -0.19302681050275594, 0.0041938959924542035]]","[['const', 'UMCSENTx', 'VXOCLSx', 'UEMPMEAN', 'S&P div yield', 'neu_s'], [0.24082598184852708, -0.0020273877127541693, -0.005400541180551377, -0.010290267627637375, 0.12609530135621796, 0.0023593834918876773]]","[['const', 'IPDCONGD', 'VXOCLSx', 'UMCSENTx', 'neg_g'], [0.4249646132205902, -0.0017960661873347157, -0.002463373971534919, -0.0022757031695651176, 0.006588389846620036]]","[['const', 'VXOCLSx', 'CLAIMSx', 'UMCSENTx', 'S&P div yield'], [0.15939249446526024, -0.007341039790820834, 3.212616430145904e-08, -0.0034981542557849573, 0.15321979321372614]]"
