,Cnsmr,Manuf,HiTec,Hlth,Other
R^2,0.865365838241156,0.5033293388995672,0.7427766475270359,0.540926589049715,0.7642021928861302
adj_R^2,0.706972706760163,-0.0809890859244713,0.44016093873531337,0.0008402232258504228,0.48679300804628345
p-values,"[['GS10', 'UMCSENTx', 'COMPAPFFx', 'VXOCLSx', 'PERMIT', 'UEMP5TO14', 'WPSFD49207', 'CUSR0000SAC', 'S&P div yield', 'EXCAUSx', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.25005180921755654, 0.0007593499357582096, 0.09441186867209259, 0.01772564039882473, 0.007439265954152384, 0.01593453265394931, 0.19233083676235146, 0.5698485523325498, 0.6664139290763247, 0.37912389912052125, 0.01752726421579345, 0.16238212046164735, 0.17155270397857014, 0.03961726078150583, 0.5856568691106587, 0.05812499262129359, 0.8393696570958287, 0.9341893545351703, 0.32729046083372904, 0.41781991074314506]]","[['USGOVT', 'COMPAPFFx', 'USFIRE', 'UMCSENTx', 'CLAIMSx', 'S&P div yield', 'DNDGRG3M086SBEA', 'PERMIT', 'CUSR0000SAC', 'PERMITS', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.5235858721454196, 0.4355974713268116, 0.7770646016180226, 0.23857219260904783, 0.6113729982907677, 0.7452430067069726, 0.7742505184989932, 0.6605426812275295, 0.8558757946545608, 0.991883221739072, 0.6852238075259038, 0.9287560263997486, 0.8640067243745698, 0.7512231224389079, 0.635867207462569, 0.9538060620434999, 0.6093250066300762, 0.6500460154057834, 0.773445480905081, 0.7830572471744698]]","[['VXOCLSx', 'UMCSENTx', 'PERMITS', 'UEMPMEAN', 'EXCAUSx', 'DNDGRG3M086SBEA', 'S&P div yield', 'COMPAPFFx', 'IPDCONGD', 'S&P PE ratio', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.003982942295639042, 0.1990043943601436, 0.8237864056122371, 0.17975936672783882, 0.9657480940784022, 0.3778886339368328, 0.3000186860926037, 0.3437126789952013, 0.8911026024986033, 0.8898113202426328, 0.7559195244184489, 0.6023227042314927, 0.9954207588887246, 0.6137926920266297, 0.4552705828511021, 0.8039504884171111, 0.5615158446870598, 0.46941318713557667, 0.653212754837287, 0.6929735733405745]]","[['WPSID62', 'UMCSENTx', 'IPB51222S', 'IPDCONGD', 'HOUSTW', 'PERMITW', 'VXOCLSx', 'COMPAPFFx', 'HOUSTMW', 'PPICMM', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.5848632334440098, 0.7339168309195023, 0.22947385065777565, 0.2574818764292345, 0.6674174153614219, 0.7447531590140715, 0.04434611418218694, 0.27216218832230943, 0.9881861098751409, 0.9596563412500121, 0.9643311926668838, 0.996391524362487, 0.6095986550012644, 0.53621392159295, 0.46166892145130356, 0.7923556432888773, 0.3518917251219782, 0.11403918665633381, 0.903323456222857, 0.2782567269097498]]","[['COMPAPFFx', 'UMCSENTx', 'USGOVT', 'USFIRE', 'VXOCLSx', 'S&P div yield', 'EXCAUSx', 'CLAIMSx', 'IPDCONGD', 'ANDENOx', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.7735621630525018, 0.08879959773453958, 0.7093790998600277, 0.9290841990767293, 0.0051830120921586, 0.18364035085474673, 0.4620900533029433, 0.5392179377993549, 0.958793869449037, 0.7815968861825896, 0.998432100024626, 0.9997394347545164, 0.5488509421427843, 0.9905334029298103, 0.21998934434449632, 0.9027649773982, 0.37155004159857075, 0.5625753410015144, 0.6196055680774393, 0.9585660171012864]]"
params,"[['GS10', 'UMCSENTx', 'COMPAPFFx', 'VXOCLSx', 'PERMIT', 'UEMP5TO14', 'WPSFD49207', 'CUSR0000SAC', 'S&P div yield', 'EXCAUSx', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.04019104342143746, -0.010034950687390177, 0.12960884810723927, -0.004594880433581855, -0.00048317248082816, -1.1535857639397628e-05, 0.015158953321779746, -0.00512216743088666, -0.048507067115996755, -0.4431191166673327, 2.0743711112977126, -0.006203882886288947, 0.009846041596434131, 0.0023751204056188685, -0.12419486016191605, -0.013433063659985558, 0.0010685016782388179, -0.00029297324730877413, 0.4567054129081237, -0.14395505337412193]]","[['USGOVT', 'COMPAPFFx', 'USFIRE', 'UMCSENTx', 'CLAIMSx', 'S&P div yield', 'DNDGRG3M086SBEA', 'PERMIT', 'CUSR0000SAC', 'PERMITS', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [5.413798335201226e-05, -0.08396274672512738, -8.731384477408897e-05, -0.005582584191271962, -1.6151756240072834e-08, -0.07855512653352059, 0.019927357171099298, -0.00020508001924761152, -0.007880196200397982, -6.459360865013815e-06, 0.4294889888193807, 0.0008125595983404709, 0.0022041521042081708, -0.002030647618682987, 0.12209174768315338, -0.0008724327490741983, -0.0046925017110686345, -0.0026231264636733306, 0.16588606950084153, 0.05277228482993899]]","[['VXOCLSx', 'UMCSENTx', 'PERMITS', 'UEMPMEAN', 'EXCAUSx', 'DNDGRG3M086SBEA', 'S&P div yield', 'COMPAPFFx', 'IPDCONGD', 'S&P PE ratio', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.007169493707460208, -0.004434382525107707, -5.798918724798107e-05, -0.009550092323070455, 0.027023606979979548, 0.007422282353255164, 0.22771193007209947, 0.07554154635816626, -0.0002676469697292028, 0.0004272365841159896, -0.4335909460012586, -0.00911954863665354, 0.0001271392934623413, -0.004908977169382616, -0.2750783168776994, 0.0027511322668107656, -0.003568968194060022, 0.0024813052777233322, -0.2536232363250458, -0.13356761003882842]]","[['WPSID62', 'UMCSENTx', 'IPB51222S', 'IPDCONGD', 'HOUSTW', 'PERMITW', 'VXOCLSx', 'COMPAPFFx', 'HOUSTMW', 'PPICMM', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.0010908111916762232, -0.0008387548182251009, 0.0017915840989311733, -0.001978999238075951, -0.00013090887382594877, 0.00021354005591014017, -0.0036456967381064873, 0.08848976913592892, -6.108008252508001e-06, 7.047893045845964e-05, -0.044463546412456534, -8.135440385097226e-05, 0.01216711503738124, 0.0033437243303029393, 0.19482825494359418, 0.0032263223515905754, -0.015146920536583522, 0.006763322697974188, -0.07032086577796627, 0.3791841664435773]]","[['COMPAPFFx', 'UMCSENTx', 'USGOVT', 'USFIRE', 'VXOCLSx', 'S&P div yield', 'EXCAUSx', 'CLAIMSx', 'IPDCONGD', 'ANDENOx', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.01845021979289461, -0.00523615007043901, 3.1702915475501046e-05, 1.9079990302927252e-05, -0.006955763848486396, 0.2283626306610334, -0.48948827049526017, 2.4316672127388918e-08, -0.00011480816521498166, -5.645673849502142e-07, -0.0011334951098153634, 3.3185168204150073e-06, -0.006500552822027507, 9.576566452492623e-05, 0.18532276509206583, -0.0011269425561812197, 0.007382720770581008, -0.0021934308626021005, 0.1541377207747428, -0.006079586053460803]]"
