,Cnsmr,Manuf,HiTec,Hlth,Other
R^2,0.6694978165637329,0.32067960498111836,0.6571191102160102,0.4414063659696883,0.7377417210782555
adj_R^2,0.5470896004762265,0.06907945867782883,0.5301261880737917,0.23451983484735062,0.6406090251813131
p-values,"[['WPSID62', 'GS10', 'S&P div yield', 'UMCSENTx', 'VXOCLSx', 'AMDMNOx', 'S&P PE ratio', 'IPDCONGD', 'REALLN', 'EXCAUSx'], [0.6081535955944486, 0.12470053347751718, 0.1701389846085355, 0.0021916008852595537, 4.295338645100805e-05, 0.1261545677100821, 0.8907475222613426, 0.5513060018638379, 0.1530452401664806, 0.7272538681021412]]","[['WPSID62', 'USFIRE', 'S&P div yield', 'USGOVT', 'IPB51222S', 'TWEXAFEGSMTHx', 'DNDGRG3M086SBEA', 'UEMP15T26', 'UMCSENTx', 'IPDCONGD'], [0.6663894117219897, 0.2652656723149382, 0.08870181587146878, 0.1233690882961453, 0.2821227117041538, 0.5544455861093498, 0.8293445310891339, 0.4543395558954484, 0.08933870630339408, 0.8537656193692765]]","[['VXOCLSx', 'IPDCONGD', 'S&P PE ratio', 'AMDMNOx', 'UMCSENTx', 'UEMPMEAN', 'WPSID62', 'UEMP5TO14', 'HOUSTNE', 'S&P div yield'], [1.6395427435365238e-05, 0.2991616125394114, 0.4619894423146371, 0.3159254733032223, 0.10981291844112993, 0.01659443458358866, 0.357628603093778, 0.8489578273932256, 0.23162699190460345, 0.0004569793315564422]]","[['UMCSENTx', 'WPSID62', 'IPB51222S', 'VXOCLSx', 'IPNCONGD', 'IPDCONGD', 'HOUSTNE', 'S&P div yield', 'PERMITMW', 'UEMP15T26'], [0.305008720439405, 0.7268674946472344, 0.951296601417492, 0.02577864896392348, 0.2071908066153382, 0.19132451820633145, 0.9783380113644183, 0.8427551003470526, 0.6335014205403513, 0.7864251276086005]]","[['UMCSENTx', 'S&P div yield', 'USFIRE', 'USGOVT', 'S&P PE ratio', 'IPDCONGD', 'WPSID62', 'AMDMNOx', 'IPFUELS', 'VXOCLSx'], [0.0012312790904559056, 0.3716848762455638, 0.7885063872372751, 0.3125675694958399, 0.5378479859242257, 0.457449557325339, 0.49779550703744546, 0.1439688075157536, 0.4270090505055031, 2.1182577739242266e-06]]"
params,"[['WPSID62', 'GS10', 'S&P div yield', 'UMCSENTx', 'VXOCLSx', 'AMDMNOx', 'S&P PE ratio', 'IPDCONGD', 'REALLN', 'EXCAUSx'], [-0.0007050344223938191, 0.05276317239208994, 0.15204157931003917, -0.0050876752941775155, -0.005447954801716071, -2.0359665891681575e-06, 0.0002121076610829346, 0.0009025091759023285, 0.00020557938703247058, -0.17174369615451146]]","[['WPSID62', 'USFIRE', 'S&P div yield', 'USGOVT', 'IPB51222S', 'TWEXAFEGSMTHx', 'DNDGRG3M086SBEA', 'UEMP15T26', 'UMCSENTx', 'IPDCONGD'], [0.0007635530002611592, -0.0002766795045922363, -0.24451267342847066, 0.00010701611078551575, 0.002019124644999683, 0.004818058765698562, 0.003559823173602439, -1.4840305299704507e-05, -0.007489812093851155, -0.00041324123306776426]]","[['VXOCLSx', 'IPDCONGD', 'S&P PE ratio', 'AMDMNOx', 'UMCSENTx', 'UEMPMEAN', 'WPSID62', 'UEMP5TO14', 'HOUSTNE', 'S&P div yield'], [-0.006793265595511207, 0.0020588313355888142, -0.0012820962439381474, -1.3632708926783843e-06, -0.0030464590329250573, -0.013192215410114762, 0.0009354340428398842, -7.295622990161079e-07, 0.0003317214991546178, 0.3202958513356318]]","[['UMCSENTx', 'WPSID62', 'IPB51222S', 'VXOCLSx', 'IPNCONGD', 'IPDCONGD', 'HOUSTNE', 'S&P div yield', 'PERMITMW', 'UEMP15T26'], [-0.003139310461273491, -0.00033664812959451204, -0.0001064221963870389, -0.00272271290607908, 0.007326313856919288, -0.0018527714910407606, -8.459978274055298e-06, -0.02435530608043278, -0.00023619763321220422, -3.757893006326963e-06]]","[['UMCSENTx', 'S&P div yield', 'USFIRE', 'USGOVT', 'S&P PE ratio', 'IPDCONGD', 'WPSID62', 'AMDMNOx', 'IPFUELS', 'VXOCLSx'], [-0.006338019989383666, 0.08992146619871533, -2.2186717316617225e-05, 3.9123784149692625e-05, -0.0008733277346539788, -0.0010317784984532775, 0.000650318602652599, -1.7977929180255602e-06, 0.0028981981174820053, -0.0064930719617868945]]"
