,Cnsmr,Manuf,HiTec,Hlth,Other
R^2,0.954811610542413,0.94736579039945,0.9618230732525412,0.8253461391288012,0.976770954544702
adj_R^2,0.9303345662528868,0.9188555935324855,0.9411439045976677,0.7307419644902351,0.9641885549230822
p-values,"[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.0048843487209501e-14, 0.022051370685835216, 0.4396888484354684, 0.8121510271387752, 0.4211140764387101, 0.3058770920158044, 0.8885780895342589, 0.4117178387774507, 0.4675200424383412, 0.6202265039539393, 0.8896325497489541, 0.2745463739575819, 0.38397315342808214]]","[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [8.898248517292492e-12, 0.08250730958158557, 0.0009916647889340047, 0.43031393160167764, 0.3428708872445285, 0.9714437833812222, 0.6720970393345295, 0.49192699899224357, 0.9737649589076045, 0.5133107507033325, 0.6251202659167148, 0.7361607640680599, 0.4314584099162344]]","[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.5635786719032004e-15, 0.870623535512006, 0.01070827184635331, 0.8824693309833929, 0.8470847586052406, 0.31300365570779737, 0.32859928310663944, 0.5631275948820125, 0.45354588536820906, 0.2533278198274791, 0.22663730516015762, 0.15777518954380582, 0.9783409103011916]]","[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [3.132275529147188e-08, 0.6574263001039639, 0.04019952501528016, 0.5503342444957351, 0.17855244617458382, 0.19094031422999141, 0.18818683067774733, 0.7975955138578916, 0.44954006497813637, 0.7791607525299121, 0.837293804220236, 0.4851376192443665, 0.7232932965256039]]","[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.2885360725412099e-17, 0.22637138840785725, 0.0009589319658651074, 0.8820763804697354, 0.29864290170018926, 0.5673740821169899, 0.5124177630572467, 0.19513449104292757, 0.05482079088177108, 0.9471116610417614, 0.3902510190340738, 0.763569542959734, 0.6343324695262628]]"
params,"[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.0584362853779683, -0.28426504119454865, -0.07171533628455815, 0.06786062037551138, -0.0015673063518615873, 0.0030971233455133577, 6.839220416370338e-05, 0.05424364916569746, 0.0015789195053524047, 0.0008010168975369294, -0.0001365436962936455, -0.13362605746524925, 0.045067901503402334]]","[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.9226812239936596, 0.2838617349253059, 0.4389679586083729, 0.23903953191611524, -0.0018702372699576772, 9.703726618715209e-05, 0.000440689966779117, -0.03842099125424169, -9.327335301152718e-05, 0.0016113504209410415, -0.0006874559497544244, 0.023125246113844228, -0.02949344492260338]]","[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.0776679418055317, -0.02138869266794638, -0.2527840398397908, 0.04301847607610254, 0.0007622292102866784, -0.005307533513394089, -0.0016199583881835213, -0.061615866252431845, 0.001894845422901738, -0.0015624044623707175, 0.000852848628629956, 0.165268802281507, -0.0023524009022229675]]","[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.8087988926191163, 0.0870769159642561, -0.3054958964041059, 0.2622921656423083, -0.00849946374054929, 0.012028051785950395, 0.002858893577696124, 0.026724153568343373, -0.003777426535134564, 0.0017665021746219073, 0.00042391971465206694, -0.12687844523604117, -0.04119384783020449]]","[['Mkt-RF', 'SMB', 'HML', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.0220176379332242, -0.12026011380412334, 0.31946112237813784, 0.021382074064665413, -0.0015657485493775916, 0.001412482044207992, 0.0004401243549133223, 0.0461747133318184, -0.0040777200618905135, 0.00011903066996206326, 0.000717046299014453, -0.022971701780344578, 0.01077010946487647]]"
