,Cnsmr,Manuf,HiTec,Hlth,Other
R^2,0.8139152953239801,0.4625764507957396,0.7407646142009339,0.536185193063609,0.7727533248620102
adj_R^2,0.594992113352192,-0.16968654826809604,0.43578180737850314,-0.00947928568508627,0.5054042952879045
p-values,"[['WPSID62', 'GS10', 'S&P div yield', 'UMCSENTx', 'VXOCLSx', 'AMDMNOx', 'S&P PE ratio', 'IPDCONGD', 'REALLN', 'EXCAUSx', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.4555227107416727, 0.040127075467191166, 0.6733594957244824, 0.0016249574141080586, 0.025298013061909375, 0.26952067292837073, 0.7752536498180863, 0.5682630075305648, 0.07283903087489214, 0.30784590718591814, 0.016035111723087532, 0.23979781901565578, 0.10192458088114666, 0.23866902866961873, 0.39273431893774147, 0.713146051735571, 0.20013081583235448, 0.9308683117227808, 0.6060668468710455, 0.35652320935851967]]","[['WPSID62', 'USFIRE', 'S&P div yield', 'USGOVT', 'IPB51222S', 'TWEXAFEGSMTHx', 'DNDGRG3M086SBEA', 'UEMP15T26', 'UMCSENTx', 'IPDCONGD', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.7009004282511138, 0.4945434444778668, 0.35311529412837206, 0.4153259605716938, 0.48597577814299053, 0.8129560235847652, 0.7804944909178866, 0.5305630038223363, 0.261866925199326, 0.8325071528078585, 0.6054699229110356, 0.9485274961152241, 0.8457523671715492, 0.8501348971127524, 0.8100815279155001, 0.7041156321212733, 0.28164238715338663, 0.9341019189426368, 0.5681267308364089, 0.8837931327008348]]","[['VXOCLSx', 'IPDCONGD', 'S&P PE ratio', 'AMDMNOx', 'UMCSENTx', 'UEMPMEAN', 'WPSID62', 'UEMP5TO14', 'HOUSTNE', 'S&P div yield', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.0025151994409468854, 0.7200283024538641, 0.9175688379399589, 0.2582346464806009, 0.5719195531604373, 0.03568148664598475, 0.4581406821910885, 0.43936161149510755, 0.39566498592453014, 0.2185612209177403, 0.9587574407964325, 0.9098572684477593, 0.7603367178163806, 0.598354367371458, 0.7825863738096093, 0.7103992097335017, 0.9989252804611596, 0.3074959357489165, 0.8177132912175569, 0.6031553125862625]]","[['UMCSENTx', 'WPSID62', 'IPB51222S', 'VXOCLSx', 'IPNCONGD', 'IPDCONGD', 'HOUSTNE', 'S&P div yield', 'PERMITMW', 'UEMP15T26', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.738862604404197, 0.9978800931626587, 0.8180158473852213, 0.09902251643401462, 0.5780392371767273, 0.16367505689705097, 0.9048294652634039, 0.9181961045073591, 0.8842133311353803, 0.7854758160617685, 0.8563325598770595, 0.4212248171190648, 0.24271099282943812, 0.666828087949744, 0.8966611197225239, 0.9273643694112856, 0.5655661881466533, 0.29843810323866515, 0.32547276546847537, 0.6994269635109731]]","[['UMCSENTx', 'S&P div yield', 'USFIRE', 'USGOVT', 'S&P PE ratio', 'IPDCONGD', 'WPSID62', 'AMDMNOx', 'IPFUELS', 'VXOCLSx', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.06044025836235214, 0.47795446708250056, 0.6240438865538511, 0.49907594602453953, 0.6980042687087515, 0.8087823438803674, 0.7320874317659514, 0.20605467236429925, 0.4371693604561404, 0.002100386804577903, 0.7545584686382736, 0.7786644765168593, 0.4164923660364064, 0.8627290843226068, 0.40169288694108174, 0.7934273502823755, 0.4308756523676792, 0.6826979955793793, 0.5351120313215626, 0.8866671673945932]]"
params,"[['WPSID62', 'GS10', 'S&P div yield', 'UMCSENTx', 'VXOCLSx', 'AMDMNOx', 'S&P PE ratio', 'IPDCONGD', 'REALLN', 'EXCAUSx', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.0013315038790414548, 0.10369108830795343, 0.06886541005425201, -0.008560841028225744, -0.003410739591246316, -1.8748537458761076e-06, 0.0005067258651193286, 0.0010554873559586514, 0.00033244144814123175, -0.6619149097546839, 2.4481937285678637, -0.006755686833996813, 0.014571059095724332, 0.001614346664196707, 0.1835122249407128, -0.0032225993596584016, -0.0074086255585028675, 0.00032576464868102825, 0.2944415909913493, 0.19001645790728833]]","[['WPSID62', 'USFIRE', 'S&P div yield', 'USGOVT', 'IPB51222S', 'TWEXAFEGSMTHx', 'DNDGRG3M086SBEA', 'UEMP15T26', 'UMCSENTx', 'IPDCONGD', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.0010363477395933045, -0.00025712987528717416, -0.20733197446648133, 8.145787815064002e-05, 0.0019245289223638212, 0.002672771103675648, 0.006940981423446258, -1.9489967044517302e-05, -0.006976126597907485, -0.0005819655223305315, 0.6229188657953495, -0.000658276105503446, 0.002488611372895224, 0.0011841383392152752, -0.0668522663673286, 0.00706638820790802, -0.009311660274592595, -0.00047816333020671677, 0.33936031603545086, -0.028206786012360693]]","[['VXOCLSx', 'IPDCONGD', 'S&P PE ratio', 'AMDMNOx', 'UMCSENTx', 'UEMPMEAN', 'WPSID62', 'UEMP5TO14', 'HOUSTNE', 'S&P div yield', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.006564792608973856, 0.0009537734010070647, -0.0002796501172667807, -1.873944530823028e-06, -0.001969424056702517, -0.013708685617468292, 0.0012487498558105426, -4.2972876505813494e-06, 0.0003412312802493381, 0.2208352672290833, 0.05332787302618158, -0.001808837242911674, 0.006538587683826735, 0.0038993499035675, 0.0983105477536709, 0.003691408284727008, 7.773925850160625e-06, 0.0028305507408963692, -0.12413638979788155, 0.17418894515462344]]","[['UMCSENTx', 'WPSID62', 'IPB51222S', 'VXOCLSx', 'IPNCONGD', 'IPDCONGD', 'HOUSTNE', 'S&P div yield', 'PERMITMW', 'UEMP15T26', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.0014653909759568882, -3.940409089343258e-06, 0.0005058428105842636, -0.002820350779033397, 0.005039408104332648, -0.00307558339804037, -4.681149415493055e-05, 0.016669025803250172, 9.326821801039281e-05, 5.9448580247640955e-06, 0.17592737452369245, -0.01482437668547845, 0.02756588404821697, 0.0021662918316435083, -0.03563142750527473, 0.000979173318163445, -0.008309128374742394, 0.004472977849732506, -0.5547978094700561, 0.11922409641090084]]","[['UMCSENTx', 'S&P div yield', 'USFIRE', 'USGOVT', 'S&P PE ratio', 'IPDCONGD', 'WPSID62', 'AMDMNOx', 'IPFUELS', 'VXOCLSx', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.006089048453064797, 0.10183972909209017, -5.944749897473188e-05, 4.4205107939862256e-05, -0.0008798155712832446, -0.0004517827906694654, 0.00042734695674761483, -2.0622783921302573e-06, 0.0037396727229885964, -0.006115016529370481, -0.19064343991655175, 0.0029640996312425127, -0.008391794908934177, 0.0013786147738923987, 0.1362989555218505, 0.0027311658477926822, 0.005812397411396527, -0.0014385836705696061, 0.1868612268463095, 0.013794709014937005]]"
