,Cnsmr,Manuf,HiTec,Hlth,Other
R^2,0.9458695509954491,0.9379725117175539,0.9495621491695736,0.7636214255697531,0.9676348706903337
adj_R^2,0.9410933349068122,0.9324994980455734,0.9451117505668889,0.7427644925317902,0.9647791239865396
p-values,"[['Mkt-RF', 'SMB', 'HML'], [1.4308432418639127e-22, 0.008304985374933028, 0.04159420299704777]]","[['Mkt-RF', 'SMB', 'HML'], [7.040170472685618e-19, 0.018664205390099727, 4.115875564825074e-06]]","[['Mkt-RF', 'SMB', 'HML'], [9.61530820306703e-23, 0.5555070261856696, 3.6598718392683554e-05]]","[['Mkt-RF', 'SMB', 'HML'], [3.553417649169414e-11, 0.6559325754302434, 0.0343851800540819]]","[['Mkt-RF', 'SMB', 'HML'], [1.2590584679872056e-24, 0.9390976026180452, 5.6884492892681445e-08]]"
params,"[['Mkt-RF', 'SMB', 'HML'], [1.0555061774788395, -0.2723378496585335, -0.13242385301060194]]","[['Mkt-RF', 'SMB', 'HML'], [0.9022121337203259, 0.26875198994345106, 0.38348527790226083]]","[['Mkt-RF', 'SMB', 'HML'], [1.0873301102408632, -0.05886363045905818, -0.3019528307046752]]","[['Mkt-RF', 'SMB', 'HML'], [0.75211538347401, 0.07624183153545108, -0.24061149351267724]]","[['Mkt-RF', 'SMB', 'HML'], [0.9866947836279711, -0.006038793076842998, 0.34928156674034416]]"
