,Cnsmr,Manuf,HiTec,Hlth,Other
R^2,0.6879786197388105,0.2763177792536462,0.715857564144529,0.4673689152735706,0.6885032557719555
adj_R^2,0.6255743436865726,0.2337482368568019,0.647271458938036,0.4007900296827669,0.6495661627434499
p-values,"[['const', 'UMCSENTx', 'VXOCLSx', 'AMDMNOx', 'GS10', 'neu_s', 'WPSID62'], [2.468450349032425e-07, 0.000502891481429692, 6.603324800065625e-05, 0.08817062028933592, 0.020956465025920662, 0.10744532287282926, 0.16395372090976512]]","[['const', 'neg_s', 'DNDGRG3M086SBEA'], [0.017158503891652552, 0.012176727916991302, 0.019184346581079755]]","[['const', 'UMCSENTx', 'VXOCLSx', 'UEMPMEAN', 'UEMP5TO14', 'AMDMNOx', 'S&P div yield', 'neu_s'], [0.012906991493105065, 0.0716414034342619, 4.6468657083294384e-07, 0.004849179968736868, 0.0840381422254211, 0.09452149770610518, 0.15066210081293327, 0.20827911268564134]]","[['const', 'IPDCONGD', 'VXOCLSx', 'UMCSENTx', 'IPNCONGD'], [0.0834080622018755, 0.0008091407082211646, 0.00159021687023601, 0.0033847488087184567, 0.017624570082325437]]","[['const', 'VXOCLSx', 'UMCSENTx', 'IPDCONGD', 'USGOVT'], [0.5672874274572135, 5.474275018340721e-09, 0.0005257375945988871, 0.0014930708987863012, 0.08525461175780141]]"
params,"[['const', 'UMCSENTx', 'VXOCLSx', 'AMDMNOx', 'GS10', 'neu_s', 'WPSID62'], [1.0639855118931472, -0.004798885298678616, -0.0036806675248266703, -1.0467603878474004e-06, 0.04786410183966215, -0.0030323112454429322, -0.0018247273832924914]]","[['const', 'neg_s', 'DNDGRG3M086SBEA'], [3.214229848087232, -0.009225819628013537, -0.03184300851077271]]","[['const', 'UMCSENTx', 'VXOCLSx', 'UEMPMEAN', 'UEMP5TO14', 'AMDMNOx', 'S&P div yield', 'neu_s'], [0.6185839060888307, -0.0025976208663481574, -0.006045741981187989, -0.010065452920735, -6.606551930048117e-06, -1.1135737434296854e-06, 0.11149478675027255, 0.0019803974613487713]]","[['const', 'IPDCONGD', 'VXOCLSx', 'UMCSENTx', 'IPNCONGD'], [-1.116437790263912, -0.0031907509507909443, -0.0024993181939256086, -0.0038666998236303665, 0.018862207727208827]]","[['const', 'VXOCLSx', 'UMCSENTx', 'IPDCONGD', 'USGOVT'], [-0.3247602415324343, -0.005926831720701187, -0.0054034776491788394, -0.0022145691301294597, 5.3902911100759216e-05]]"
