,AMZN,WMT,NVDA,TSLA,PG,NKE,AAPL,JNJ,GOOGL,MSFT,PFE,BRK-A,FB,MRK,V
R^2,0.20578543510205816,0.06891929210311398,0.333515447855223,0.3457759104438284,0.20482838411611615,0.3127456970743481,0.40155135671803555,0.3137529196723138,0.2120179193654561,0.038346578115761476,0.037664916228586365,0.06222626425428712,0.23565515738602694,0.17167163761660464,0.07812164571032532
adj_R^2,0.1590669312845322,0.04231698616320301,0.2729259431147888,0.3072921404699359,0.15805358318176999,0.27231897337283917,0.3471469346014934,0.251366821460706,0.18950414563304063,0.010870766061926163,0.010169628120831775,0.0354327289472669,0.16616926260293852,0.12294643982934605,0.05178226415919185
p-values,"[['const', 'neu_g', 'pos_s'], [0.052177001584751075, 0.015555779739119802, 0.13088107624419182]]","[['const', 'neg_s_r'], [0.04027071660296613, 0.11647496642702482]]","[['const', 'neg_s_r', 'neg_g_r', 'mean_s'], [0.0018221505777227319, 0.022748410987359496, 0.01812933238966886, 0.11614828693048683]]","[['const', 'mean_s', 'pos_g'], [0.4384055073814582, 0.011088814375332077, 0.08239677534981119]]","[['const', 'pos_s', 'neg_s'], [0.27419945736916423, 0.01567129695749657, 0.0682112485621419]]","[['const', 'neg_s', 'pos_g'], [0.9273344658083803, 0.002774106077283535, 0.06516667452262784]]","[['const', 'mean_s', 'neg_g', 'neg_s_r'], [0.7399936085753169, 0.0035486827754487725, 0.0911191703486282, 0.09624690181607891]]","[['const', 'pos_g', 'neu_s', 'neg_s'], [0.02381589077552781, 0.015151633476933869, 0.00963218756930301, 0.026747284454003362]]","[['const', 'neg_g_r'], [0.0015683806667289566, 0.0041342637549517235]]","[['const', 'neu_s'], [0.6113048559874714, 0.24541883553462976]]","[['const', 'neu_g'], [0.2955524431684641, 0.24974241199873434]]","[['const', 'neg_s_r'], [0.09797153826931865, 0.13650589171724886]]","[['const', 'neg_g_r', 'pos_g', 'neg_g'], [0.00691543405247468, 0.01240819615608173, 0.01592120714069186, 0.06546361152028779]]","[['const', 'mean_g', 'pos_s'], [0.8295467638146948, 0.06637861313521375, 0.11122346412569488]]","[['const', 'mean_s'], [0.01697038973825908, 0.09386139517919521]]"
params,"[['const', 'neu_g', 'pos_s'], [-0.09940991862234529, 0.0015368511403970125, 0.005963497733390218]]","[['const', 'neg_s_r'], [0.07743442429537122, -0.09018415726561782]]","[['const', 'neg_s_r', 'neg_g_r', 'mean_s'], [0.44405600158376834, -0.5475469641104427, -0.40986632393010747, -0.42685034696847246]]","[['const', 'mean_s', 'pos_g'], [0.08356729388227035, 0.7599513149461423, 0.007658429905835339]]","[['const', 'pos_s', 'neg_s'], [0.01319089724349419, 0.02139019105047169, -0.007949909000371054]]","[['const', 'neg_s', 'pos_g'], [-0.0034809871624971508, -0.01094608368634155, 0.006030504777516666]]","[['const', 'mean_s', 'neg_g', 'neg_s_r'], [-0.04337930404104859, 0.778187585749317, -0.008614892132209792, 0.38711576781367524]]","[['const', 'pos_g', 'neu_s', 'neg_s'], [-0.0869167515954668, 0.007215566280174236, 0.00507675228038972, -0.007337579219012718]]","[['const', 'neg_g_r'], [0.12457789979395203, -0.30906251634176085]]","[['const', 'neu_s'], [0.01070575190508834, 0.0015346535727815908]]","[['const', 'neu_g'], [-0.0811508430675063, 0.0039087586883869915]]","[['const', 'neg_s_r'], [0.031160517268007813, -0.03869598769879984]]","[['const', 'neg_g_r', 'pos_g', 'neg_g'], [1.050721212469749, -1.568443286625147, -0.03915322542645216, 0.01979794667075133]]","[['const', 'mean_g', 'pos_s'], [-0.003648655358166969, -0.29713600951170377, 0.004112501730678312]]","[['const', 'mean_s'], [0.02172675008538623, 0.06674969393064306]]"
