,AMZN,WMT,NVDA,TSLA,PG,NKE,AAPL,JNJ,GOOGL,MSFT,PFE,BRK-A,FB,MRK,V
R^2,0.6570509856919365,0.372644402107441,0.5360918282732807,0.2861500821534303,0.36321030079520567,0.5243061151032613,0.5352175703685741,0.5554995413151764,0.696650181447501,0.7558897407499632,0.24203973603004514,0.751266547826295,0.6134528939747652,0.14909595126995523,0.7548890940358288
adj_R^2,0.6154814082000502,0.2966012993325854,0.47986053473064816,0.19962281938414916,0.28602367058856404,0.466646250267293,0.47888030617082555,0.5016206978382282,0.6598805064714406,0.7263006184166254,0.15016576463974762,0.7211170384719066,0.5665986993050398,0.04595606657540441,0.7251786811916869
p-values,"[['Mkt-RF', 'SMB', 'HML', 'RF'], [2.4428244980209877e-08, 0.16011713855814136, 0.001184201851900717, 0.9176957453939781]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [0.0006583996436893306, 0.006442869840337742, 0.5244701518475914, 0.5232358962981467]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [9.965665519790089e-06, 0.8600894668631452, 0.0022936612103085815, 0.7229918607382209]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [0.0012457788108941137, 0.23686402300456436, 0.26016350031859103, 0.9155121636286258]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [0.0008131201708470943, 0.08534273754526774, 0.6225501629148615, 0.1659298329021414]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [1.899712175595001e-05, 0.5441838557283745, 0.6333290679259265, 0.18356731674529833]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [3.2295665156989556e-06, 0.6512412050450924, 0.04211503145078191, 0.6446657745545051]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [3.58085467461599e-07, 0.01547072518281054, 0.8228097899299122, 0.6240499308571434]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [1.2270317169737784e-09, 0.14216853251468697, 0.4528518646246935, 0.8578932062767725]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [3.845174888745014e-10, 0.14440053606501074, 0.00472140285122869, 0.01909616436236915]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [0.0037474464055085614, 0.3494136357317491, 0.8365962160992857, 0.8868468520840684]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [1.194861184501253e-10, 0.0002928311471976752, 0.04488553964843629, 0.6951406102381708]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [3.308022382424893e-07, 0.5404637967069766, 0.1844983655222593, 0.9828610905994604]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [0.061588280867861236, 0.6187290247085376, 0.6791380801080997, 0.33316833168288007]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [2.2177779570802544e-10, 0.7104698200231597, 0.013966423178089937, 0.1396594876514735]]"
params,"[['Mkt-RF', 'SMB', 'HML', 'RF'], [1.5204960525820033, -0.6521910223736179, -1.0609173402419887, 0.7980484971723869]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [0.6323915964601456, -1.060989505894655, -0.15452899129403708, 3.974038299258629]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [1.6994425146049235, 0.12573867071465694, -1.5407986237523421, -4.273153003766753]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [2.4578877872847484, -1.8194090467430488, -1.1395187623166452, -2.726287695328189]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [0.5343016599453747, -0.557817740846096, 0.10292295069233, 7.524058646007423]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [0.8669289534843632, 0.23098144908627077, -0.11952677338281198, 8.645501513531725]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [1.3812708329809813, -0.2445384454120883, -0.7464949503055012, 4.21330228733054]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [0.7921370068277699, -0.6923710800459038, -0.040309074471653744, -2.265391261834827]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [1.0895668188155163, -0.4260232930583312, -0.1417471212561951, 0.8633871205950929]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [0.9785909264820893, -0.361740489907755, -0.48292029421336613, 10.069834314313582]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [0.6515838342718804, -0.43013508548022006, 0.06204276567346172, -1.0973301562892863]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [0.8752123812676255, -0.8340021829617736, 0.2828538342280208, -1.3751423633951458]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [1.3345752092589098, 0.28135969791597926, -0.4060516880532953, -0.16626753142045647]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [0.34068525528809324, -0.19188627199208647, -0.10498074194188592, 6.334781184721449]]","[['Mkt-RF', 'SMB', 'HML', 'RF'], [0.9293422077312873, -0.08405093834658586, -0.3838085157366337, 5.737212104642022]]"
