,AMZN,WMT,NVDA,TSLA,PG,NKE,AAPL,JNJ,GOOGL,MSFT,PFE,BRK-A,FB,MRK,V
R^2,0.3355820226252353,0.27403881383818385,0.44057946306552376,0.5542811947549237,0.5139582059631322,0.3757936936627728,0.5465843537407633,0.3137529196723138,0.6616648919663921,0.5595674654418049,0.2243251781706691,0.6139495142802149,0.17385419921437606,0.2922067819815056,0.5958942587293063
adj_R^2,0.2751803883184385,0.1832936655679568,0.37065189594871417,0.4985663440992891,0.3750891219525986,0.31904766581393407,0.5053647495353781,0.251366821460706,0.6193730034621912,0.4714809585301659,0.17869724747482607,0.536739417136258,0.15025003347764398,0.25057188680394715,0.5307159133630655
p-values,"[['const', 'WPSFD49207', 'neu_g', 'ANDENOx'], [0.0244336889280828, 0.03555380249192224, 0.0302343187755493, 0.17205205648810368]]","[['const', 'UMCSENTx', 'TB3SMFFM', 'UEMP27OV', 'neu_g'], [0.9353419199335249, 0.12812093916130338, 0.031575344305519205, 0.06893395024481973, 0.1910448456118214]]","[['const', 'AAA', 'neg_g', 'neg_s_r', 'mean_s'], [0.00012340600821436702, 0.010711477392679351, 0.01702358926214488, 0.034144309990558945, 0.08695827445930406]]","[['const', 'mean_s', 'S&P 500', 'neu_s', 'PERMIT'], [0.9098312033055951, 0.0029203043158736956, 0.0004331413316817637, 0.007036394677424319, 0.009053600677243253]]","[['const', 'HOUSTW', 'neg_s', 'pos_s', 'neg_s_r', 'IPDCONGD', 'PERMITW', 'UMCSENTx', 'EXSZUSx'], [0.12862096208964335, 0.6636259288015662, 0.027046520620155747, 0.01243738362670338, 0.045287430310122744, 0.005561481526700577, 0.3162988628919339, 0.023790206867208164, 0.062059208701237725]]","[['const', 'neg_s', 'pos_g', 'DNDGRG3M086SBEA'], [0.07744560342907204, 0.004723486216960805, 0.06509580834733564, 0.07695726274165948]]","[['const', 'mean_s', 'UMCSENTx', 'neu_s'], [0.000685513124772539, 0.0005111309278970375, 0.0005026702228436207, 0.05864623326265772]]","[['const', 'pos_g', 'neu_s', 'neg_s'], [0.02381589077552781, 0.015151633476933869, 0.00963218756930301, 0.026747284454003362]]","[['const', 'neg_g_r', 'UMCSENTx', 'VXOCLSx', 'UEMPMEAN'], [1.8807156154902983e-07, 0.0027880296796828556, 0.04755463801935733, 2.1508339308783866e-06, 0.003638381228355091]]","[['const', 'AMDMNOx', 'VXOCLSx', 'neg_s', 'PERMITW', 'neg_s_r', 'mean_s'], [3.126990252423999e-06, 0.0012952498065088643, 3.228630776160824e-05, 0.011297312499616453, 0.045938748689267464, 0.01698266083704597, 0.05064504612378254]]","[['const', 'CONSPI', 'neu_g'], [0.011410400046210106, 0.007184226373731055, 0.12208196915328196]]","[['const', 'VXOCLSx', 'UMCSENTx', 'USGOVT', 'USFIRE', 'mean_s', 'neu_s'], [0.3347418666498516, 1.7001621509084346e-05, 2.2667142437675026e-05, 0.006868205460796608, 0.09076953665675833, 0.06497140547936134, 0.17970915865117065]]","[['const', 'USWTRADE'], [0.00963001212797248, 0.010248647697614454]]","[['const', 'IPB51222S', 'mean_g'], [0.007483287184176608, 0.005203015848805038, 0.08855695387076756]]","[['const', 'PERMITW', 'VXOCLSx', 'IPDCONGD', 'UEMP15T26', 'USGOVT'], [0.22485354111690048, 0.030374935464738934, 1.7487762198714069e-06, 0.0003877559688976802, 0.002364562904815954, 0.046087624352264676]]"
params,"[['const', 'WPSFD49207', 'neu_g', 'ANDENOx'], [2.49207864387078, -0.011586436622359331, 0.0012918496132798265, -2.3747222566067117e-06]]","[['const', 'UMCSENTx', 'TB3SMFFM', 'UEMP27OV', 'neu_g'], [-0.010744379433232282, -0.001498995372685182, -0.16215767872125797, 6.715631184632312e-05, 0.0015784753802976785]]","[['const', 'AAA', 'neg_g', 'neg_s_r', 'mean_s'], [0.6571519592447763, -0.08259930453695224, -0.00995159291680433, -0.4605566525871128, -0.42464826832346525]]","[['const', 'mean_s', 'S&P 500', 'neu_s', 'PERMIT'], [-0.05020939490924786, 0.8004177174245328, 0.0006010709144410665, -0.008652290673295263, -0.0009496860844085978]]","[['const', 'HOUSTW', 'neg_s', 'pos_s', 'neg_s_r', 'IPDCONGD', 'PERMITW', 'UMCSENTx', 'EXSZUSx'], [-0.7166364814418128, -0.00010042675810319272, -0.015199484080369082, 0.025080368444354864, 0.06114198049991226, 0.0024302441349536253, -0.0003261885998664647, -0.003982730691120477, 0.9617511638548826]]","[['const', 'neg_s', 'pos_g', 'DNDGRG3M086SBEA'], [2.5211372322529106, -0.010055369969402005, 0.005844433981902012, -0.02550821062902412]]","[['const', 'mean_s', 'UMCSENTx', 'neu_s'], [0.46285469692986114, 0.35909481497716517, -0.004762074972079009, 0.0031543246860999486]]","[['const', 'pos_g', 'neu_s', 'neg_s'], [-0.0869167515954668, 0.007215566280174236, 0.00507675228038972, -0.007337579219012718]]","[['const', 'neg_g_r', 'UMCSENTx', 'VXOCLSx', 'UEMPMEAN'], [0.6133541960236321, -0.22812851580561821, -0.002366341491339438, -0.004964363678505246, -0.009554904329083786]]","[['const', 'AMDMNOx', 'VXOCLSx', 'neg_s', 'PERMITW', 'neg_s_r', 'mean_s'], [0.8404793208748875, -1.998305449997184e-06, -0.004239526837391115, 0.0068579370996877985, -0.00052142180996814, -0.2208434117817148, -0.23313420982210384]]","[['const', 'CONSPI', 'neu_g'], [1.3666822339700508, -9.128167607686413, 0.004851855785906185]]","[['const', 'VXOCLSx', 'UMCSENTx', 'USGOVT', 'USFIRE', 'mean_s', 'neu_s'], [-0.596716553787846, -0.0038157397790370656, -0.00826920722358706, 0.00011626714741288868, -0.00013083475326090583, 0.055878847268999006, -0.0034818884727564675]]","[['const', 'USWTRADE'], [2.0045956896129407, -0.0003409076494735838]]","[['const', 'IPB51222S', 'mean_g'], [-0.40683597871217314, 0.0039005077263761455, -0.25564462481501027]]","[['const', 'PERMITW', 'VXOCLSx', 'IPDCONGD', 'UEMP15T26', 'USGOVT'], [-0.7930808320930891, -0.0006020466699562511, -0.00462944269180559, -0.003664553319943223, 2.393630902269875e-05, 6.735961982862605e-05]]"
