,AMZN,WMT,NVDA,TSLA,PG,NKE,AAPL,JNJ,GOOGL,MSFT,PFE,BRK-A,FB,MRK,V
R^2,0.3746171855126419,0.19599414450258257,0.44057946306552376,0.4563242689977862,0.3210694872426121,0.4780307615447873,0.5187889635401974,0.3867538700014218,0.6616648919663921,0.43126186609044714,0.2653378841593972,0.47900205308310406,0.2597185037797418,0.2922067819815056,0.5647617547847628
adj_R^2,0.31776420237742753,0.14869968241449916,0.37065189594871417,0.4068992025430396,0.2362031731479386,0.3938421746971723,0.45863758398272214,0.3100981037515995,0.6193730034621912,0.3795583993713969,0.19855041908297877,0.448355115029169,0.21617253341384424,0.25057188680394715,0.4945620378145632
p-values,"[['const', 'CLF16OV', 'neu_g', 'HOUSTS'], [0.002141300943851911, 0.001686801469570983, 0.049246668636225524, 0.05973808909955236]]","[['const', 'UEMP27OV', 'HOUSTW'], [0.6136688396496718, 0.031292528148562426, 0.03702348181067165]]","[['const', 'AAA', 'neg_g', 'neg_s_r', 'mean_s'], [0.00012340600821436702, 0.010711477392679351, 0.01702358926214488, 0.034144309990558945, 0.08695827445930406]]","[['const', 'mean_s', 'UEMPMEAN', 'neu_s'], [8.858658615578901e-05, 0.00023146701505412232, 0.010560087168421743, 0.06419814364473145]]","[['const', 'HOUSTW', 'neg_s', 'pos_s', 'neg_s_r'], [0.039774371967844835, 0.03742848662092536, 0.018185071880040544, 0.03164821840293251, 0.14295572211677274]]","[['const', 'neg_s', 'UMCSENTx', 'pos_g', 'pos_s', 'mean_s'], [0.03464869414987301, 0.47643194363240104, 0.03375173838282592, 0.019980728852207388, 0.03549992286075836, 0.11187481445430664]]","[['const', 'mean_s', 'UEMP15OV', 'CONSPI', 'neg_s_r'], [0.14153717367666913, 0.004005777466059301, 0.020150875738144173, 0.09556027545504056, 0.17690109546327612]]","[['const', 'pos_g', 'neu_s', 'neg_s', 'IPB51222S'], [0.017818271548972323, 0.00924137493620969, 0.004330936193699171, 0.02109689444673602, 0.05976763696163133]]","[['const', 'neg_g_r', 'UMCSENTx', 'VXOCLSx', 'UEMPMEAN'], [1.8807156154902983e-07, 0.0027880296796828556, 0.04755463801935733, 2.1508339308783866e-06, 0.003638381228355091]]","[['const', 'AMDMNOx', 'VXOCLSx', 'neg_s'], [4.5420737118325676e-05, 8.199810109514366e-05, 0.0001673729807642305, 0.0909594802980613]]","[['const', 'CONSPI', 'neu_g', 'IPB51222S'], [0.2078972748727783, 0.03239254243137315, 0.0904243216268927, 0.18390029611223963]]","[['const', 'VXOCLSx', 'UMCSENTx'], [1.9474571914097796e-05, 8.384132609803778e-06, 7.266172602179084e-05]]","[['const', 'UMCSENTx', 'neg_g_r'], [0.0012182156489861826, 0.00694567525706257, 0.14663471820528512]]","[['const', 'IPB51222S', 'mean_g'], [0.007483287184176608, 0.005203015848805038, 0.08855695387076756]]","[['const', 'PERMITW', 'VXOCLSx', 'UMCSENTx', 'neu_s', 'pos_g'], [7.840199892804379e-06, 0.006790195937360356, 9.324885410419412e-05, 0.0006601414627896235, 0.02627979160069716, 0.0590745065518434]]"
params,"[['const', 'CLF16OV', 'neu_g', 'HOUSTS'], [4.212846495846083, -2.7625646398303926e-05, 0.001134125836822807, 0.0003567544321343752]]","[['const', 'UEMP27OV', 'HOUSTW'], [0.035618060093355774, 8.19228650402084e-05, -0.0003839625867541864]]","[['const', 'AAA', 'neg_g', 'neg_s_r', 'mean_s'], [0.6571519592447763, -0.08259930453695224, -0.00995159291680433, -0.4605566525871128, -0.42464826832346525]]","[['const', 'mean_s', 'UEMPMEAN', 'neu_s'], [0.7914862645094511, 1.0090205062777244, -0.0198951052351707, -0.005939632409987027]]","[['const', 'HOUSTW', 'neg_s', 'pos_s', 'neg_s_r'], [0.12108946731156525, -0.00036043051504258553, -0.01603668307154993, 0.021706756039616075, 0.044621503042166895]]","[['const', 'neg_s', 'UMCSENTx', 'pos_g', 'pos_s', 'mean_s'], [0.22369778850203478, -0.003861898496703684, -0.0022586670261040376, 0.007166433436111331, -0.017760389172989256, 0.14337065238023117]]","[['const', 'mean_s', 'UEMP15OV', 'CONSPI', 'neg_s_r'], [0.9290850240839674, 0.7046121846682405, 1.871498128640808e-05, -6.413138710449263, 0.288248516811617]]","[['const', 'pos_g', 'neu_s', 'neg_s', 'IPB51222S'], [-0.3582396964885233, 0.0075009071020163635, 0.005482610076858152, -0.007368846806364466, 0.0024264417707595617]]","[['const', 'neg_g_r', 'UMCSENTx', 'VXOCLSx', 'UEMPMEAN'], [0.6133541960236321, -0.22812851580561821, -0.002366341491339438, -0.004964363678505246, -0.009554904329083786]]","[['const', 'AMDMNOx', 'VXOCLSx', 'neg_s'], [0.6567382944038269, -2.42130493982361e-06, -0.0039375535139512495, 0.004191711256797423]]","[['const', 'CONSPI', 'neu_g', 'IPB51222S'], [0.82595990803269, -7.521714364884737, 0.005304291450025548, 0.0024973316198918212]]","[['const', 'VXOCLSx', 'UMCSENTx'], [0.45127596761174377, -0.0038860422694606675, -0.003973760647284669]]","[['const', 'UMCSENTx', 'neg_g_r'], [0.5319229205877896, -0.004446633219932695, -0.15593468245972747]]","[['const', 'IPB51222S', 'mean_g'], [-0.40683597871217314, 0.0039005077263761455, -0.25564462481501027]]","[['const', 'PERMITW', 'VXOCLSx', 'UMCSENTx', 'neu_s', 'pos_g'], [0.5573729039788351, -0.0006344382080087506, -0.0034044228727272002, -0.003462594770694572, 0.008199442972949484, 0.00421871583028028]]"
