,AMZN,WMT,NVDA,TSLA,PG,NKE,AAPL,JNJ,GOOGL,MSFT,PFE,BRK-A,FB,MRK,V
R^2,0.40092574680357973,0.4111278995955492,0.3690264468644062,0.5792239427630927,0.39315097367285223,0.41425813767965525,0.5880360514089316,0.2575198622380024,0.6440621888204521,0.6219123150495147,0.2955977945938264,0.5354257022682871,0.3660720534998826,0.5449152345894186,0.6198016725337003
adj_R^2,0.17904639376786846,0.19302712166797475,0.13533253829566771,0.4233809586012752,0.16839207503316778,0.19731670719063865,0.43545681119001733,-0.01747278137755237,0.5122333698650638,0.48187983914192756,0.034708088887836164,0.3633611475528379,0.13128392516650567,0.3763653214743884,0.4789874771758116
p-values,"[['HOUSTMW', 'WPSID62', 'WPSFD49207', 'AMDMNOx', 'AAA', 'CLF16OV', 'IPNMAT', 'UEMP15OV', 'HOUSTS', 'IPMAT'], [0.44731693215553303, 0.8004356581912592, 0.7532115942833006, 0.2921204354927165, 0.6138917457778992, 0.6657029684565355, 0.4473091249240526, 0.40646550315491725, 0.16038315271014705, 0.277223014878759]]","[['UEMP27OV', 'CPIAPPSL', 'T10YFFM', 'AMDMNOx', 'WPSID62', 'PERMITS', 'IPB51222S', 'HOUSTW', 'T5YFFM', 'CUSR0000SAD'], [0.011554500350061035, 0.29621641482094113, 0.17959989749253166, 0.24897152240158987, 0.44815165331241924, 0.43539723840178257, 0.3292760628688578, 0.7044026594024175, 0.22642819865664313, 0.5566640526475272]]","[['GS1', 'CES1021000001', 'AAA', 'EXSZUSx', 'UEMP15T26', 'IPNMAT', 'EXCAUSx', 'IPB51222S', 'IPFPNSS', 'AMDMNOx'], [0.18435629935481432, 0.2833747761117941, 0.3863791572370264, 0.2235941524858211, 0.5088071612678895, 0.9520069739992223, 0.15121054855948998, 0.880139768971643, 0.3285583177527365, 0.37944913599097896]]","[['DTCOLNVHFNM', 'GS10', 'CUSR0000SAD', 'ANDENOx', 'UMCSENTx', 'AAA', 'RETAILx', 'UEMPMEAN', 'BAA', 'BOGMBASE'], [0.07076591387437985, 0.037625261360535546, 0.4003985658531767, 0.6245748732279287, 0.5425285199075209, 0.5729914695661412, 0.11332563177470192, 0.22462242199982646, 0.10668519261591912, 0.36376763884131014]]","[['UMCSENTx', 'EXCAUSx', 'HOUSTW', 'IPB51222S', 'GS10', 'DTCTHFNM', 'CUSR0000SAD', 'TWEXAFEGSMTHx', 'PERMITNE', 'PERMITMW'], [0.03258628485571718, 0.39370685475560996, 0.7785998162183752, 0.734200219791121, 0.042575853795073365, 0.5574211603847904, 0.6601956806835971, 0.15526452858651776, 0.7652057531351888, 0.47946909167397245]]","[['UMCSENTx', 'HOUSTNE', 'VXOCLSx', 'EXSZUSx', 'WPSFD49502', 'IPB51222S', 'CLAIMSx', 'UEMP15T26', 'WPSFD49207', 'DMANEMP'], [0.19346733789805262, 0.6653448952558078, 0.011854819571739193, 0.5343860303261783, 0.9220468773723249, 0.7093876894395096, 0.2288795848375456, 0.6323554675986669, 0.9777292254424489, 0.20059279104522115]]","[['IPDCONGD', 'CPIAPPSL', 'UEMP15OV', 'HWIURATIO', 'S&P 500', 'VXOCLSx', 'PERMITS', 'EXJPUSx', 'IPB51222S', 'CONSPI'], [0.02037149681334351, 0.5612072351383806, 0.052968012928643435, 0.5566448454385446, 0.13400934824115046, 0.023937921084682633, 0.0503185822540315, 0.05957526087627244, 0.7700238362773366, 0.09884452676382717]]","[['IPDCONGD', 'HOUSTW', 'TWEXAFEGSMTHx', 'IPB51222S', 'PERMITW', 'CPITRNSL', 'UEMP15T26', 'EXUSUKx', 'WPSID62', 'UEMP27OV'], [0.17756611908705625, 0.5320664418864351, 0.14899090534090956, 0.6747992822982876, 0.420307628331962, 0.0880676365722179, 0.40631561173846864, 0.7513061804493959, 0.6314915437782312, 0.9019942616374377]]","[['UEMP15T26', 'VXOCLSx', 'IPB51222S', 'PERMITMW', 'BAA', 'IPNMAT', 'IPDCONGD', 'UEMPMEAN', 'UMCSENTx', 'HOUSTNE'], [0.08548934444218886, 7.862808945838387e-06, 0.8647708474234046, 0.352423493751714, 0.9679395064928105, 0.03558453127546391, 0.04029600025672172, 0.2531693801442027, 0.9394526136867763, 0.45108937604679533]]","[['AMDMNOx', 'IPDCONGD', 'UMCSENTx', 'WPSID62', 'VXOCLSx', 'IPFPNSS', 'HOUSTW', 'WPSFD49502', 'EXUSUKx', 'UEMP15T26'], [0.033579439724817445, 0.8539595926113384, 0.3563166950330833, 0.6174457667892441, 0.0005770552564219327, 0.30780499863945704, 0.5538083707735986, 0.9610284899796777, 0.3872061979682402, 0.9688501994436429]]","[['GS10', 'IPB51222S', 'ANDENOx', 'AAA', 'REALLN', 'CONSPI', 'RPI', 'HOUSTW', 'S&P 500', 'BAA'], [0.31081227085444707, 0.41229332783453676, 0.16322821514549282, 0.4678680147753481, 0.3432491578860911, 0.4605701878917722, 0.12681682747396056, 0.8033221494029653, 0.9753480204223547, 0.6757969116288749]]","[['UMCSENTx', 'UEMP27OV', 'CUSR0000SAD', 'TWEXAFEGSMTHx', 'AMDMNOx', 'VXOCLSx', 'EXCAUSx', 'HOUSTS', 'EXUSUKx', 'UEMP15T26'], [0.7681038167642654, 0.31877020919604576, 0.3618771660624318, 0.7037015323569056, 0.241820902199741, 0.0033916788811902136, 0.9097747912874262, 0.9730194989536982, 0.6021660272452047, 0.28407942360432586]]","[['DNDGRG3M086SBEA', 'UEMP5TO14', 'USWTRADE', 'PERMITS', 'HOUSTMW', 'UMCSENTx', 'CUSR0000SAD', 'HWI', 'IPB51222S', 'UEMPLT5'], [0.44853286514032886, 0.9824802635115678, 0.5723543897341751, 0.22667822250332598, 0.35530258417270644, 0.2203501317931494, 0.5052101739508936, 0.18470590319354563, 0.4574543694500167, 0.23010906029398762]]","[['UMCSENTx', 'IPB51222S', 'HOUSTNE', 'IPFINAL', 'PERMITW', 'IPNCONGD', 'T10YFFM', 'CLAIMSx', 'IPMANSICS', 'HOUSTW'], [0.061437167324670125, 0.04356220538969706, 0.07738762674538689, 0.9211587961251189, 0.009467327273686337, 0.01949195747520643, 0.6027247290048846, 0.23822732633171723, 0.30301760072942996, 0.04196368759709308]]","[['VXOCLSx', 'HOUSTNE', 'UEMP15T26', 'USFIRE', 'UMCSENTx', 'EXUSUKx', 'PERMITW', 'S&P div yield', 'TWEXAFEGSMTHx', 'PERMITNE'], [0.0008655162024498128, 0.7077009481748502, 0.20728171370054083, 0.17233076935853997, 0.005044771194680795, 0.7532366879027288, 0.12174736728040568, 0.6407654983027715, 0.2574207943366599, 0.3959208702857744]]"
params,"[['HOUSTMW', 'WPSID62', 'WPSFD49207', 'AMDMNOx', 'AAA', 'CLF16OV', 'IPNMAT', 'UEMP15OV', 'HOUSTS', 'IPMAT'], [-0.000516712820441073, 0.0007950485981902283, -0.003661632758667632, -2.8127676693511184e-06, 0.04065099594886454, 6.3235989010421425e-06, 0.011986787459935238, 1.392175806825114e-05, 0.0004878691469765216, -0.012139382928225478]]","[['UEMP27OV', 'CPIAPPSL', 'T10YFFM', 'AMDMNOx', 'WPSID62', 'PERMITS', 'IPB51222S', 'HOUSTW', 'T5YFFM', 'CUSR0000SAD'], [0.0002067828240747952, 0.006712516451753744, -0.2901083423132672, -1.434281141859195e-06, -0.0014616341623822058, -0.0001890209039400853, 0.00199571534051049, -8.958753573319498e-05, 0.2613827972833665, -0.0043902970593136265]]","[['GS1', 'CES1021000001', 'AAA', 'EXSZUSx', 'UEMP15T26', 'IPNMAT', 'EXCAUSx', 'IPB51222S', 'IPFPNSS', 'AMDMNOx'], [-0.15858189132221334, 0.003027423297643084, -0.07492521862091905, 1.8345541204917066, 2.311960163527723e-05, 0.0010801370014806803, -1.6242137189270172, 0.0006460423832476688, -0.02216299806727606, 4.128559410043785e-06]]","[['DTCOLNVHFNM', 'GS10', 'CUSR0000SAD', 'ANDENOx', 'UMCSENTx', 'AAA', 'RETAILx', 'UEMPMEAN', 'BAA', 'BOGMBASE'], [3.404240944569924e-05, 0.5253952005083451, -0.03793002141941573, -4.214270177276599e-06, -0.00619956697920133, 0.47167879081599884, -7.186844753860278e-06, -0.029537828168667415, -0.8815866626423008, -1.109091127611069e-07]]","[['UMCSENTx', 'EXCAUSx', 'HOUSTW', 'IPB51222S', 'GS10', 'DTCTHFNM', 'CUSR0000SAD', 'TWEXAFEGSMTHx', 'PERMITNE', 'PERMITMW'], [-0.005432183490833509, -0.5381668859192479, -7.391306367295698e-05, -0.0005350337814830263, 0.05202554452650328, -1.2535326983402529e-06, 0.006366741479669211, 0.012331060728938775, 0.00016530570708619562, 0.0004743849377643072]]","[['UMCSENTx', 'HOUSTNE', 'VXOCLSx', 'EXSZUSx', 'WPSFD49502', 'IPB51222S', 'CLAIMSx', 'UEMP15T26', 'WPSFD49207', 'DMANEMP'], [-0.005927108787761335, -0.00022643606072940615, -0.0064577040406691485, -0.5724215989062893, -0.0022177141327702782, 0.0009367887305960517, 4.518051644233967e-08, -7.519262943188411e-06, -0.0006864878398792421, 0.0002260099695210136]]","[['IPDCONGD', 'CPIAPPSL', 'UEMP15OV', 'HWIURATIO', 'S&P 500', 'VXOCLSx', 'PERMITS', 'EXJPUSx', 'IPB51222S', 'CONSPI'], [-0.007272596682222751, 0.00418893653044101, 4.585831949895967e-05, 0.07949772338840133, 0.0001400536326224142, -0.0045918362515455936, -0.0009245939036945658, -0.014520561983455343, 0.0007509273876147582, 12.448349042488704]]","[['IPDCONGD', 'HOUSTW', 'TWEXAFEGSMTHx', 'IPB51222S', 'PERMITW', 'CPITRNSL', 'UEMP15T26', 'EXUSUKx', 'WPSID62', 'UEMP27OV'], [-0.00250211494181795, -0.00017544402251401092, -0.006767665920780156, 0.0007321906714834215, -0.0003543061142242067, 0.00662776325515683, 1.0465913458547229e-05, -0.08243318534572847, -0.0008339904324926233, 6.177220031215845e-06]]","[['UEMP15T26', 'VXOCLSx', 'IPB51222S', 'PERMITMW', 'BAA', 'IPNMAT', 'IPDCONGD', 'UEMPMEAN', 'UMCSENTx', 'HOUSTNE'], [2.439890795464416e-05, -0.0059649123521167795, -0.00026757543240916055, -0.0005231144073542338, -0.0009119056258410137, 0.008023684689319601, -0.003928187686898255, -0.006649225516130322, -0.00023862591292373196, 0.00028946970796856966]]","[['AMDMNOx', 'IPDCONGD', 'UMCSENTx', 'WPSID62', 'VXOCLSx', 'IPFPNSS', 'HOUSTW', 'WPSFD49502', 'EXUSUKx', 'UEMP15T26'], [-3.4896957391017013e-06, -0.0006111480159008151, -0.0031225643805596935, -0.0006970179178869102, -0.003968990903754803, 0.011169550089420235, -0.00013807165128895828, 0.0001533433855223506, 0.2273528628826674, -7.205611866359997e-07]]","[['GS10', 'IPB51222S', 'ANDENOx', 'AAA', 'REALLN', 'CONSPI', 'RPI', 'HOUSTW', 'S&P 500', 'BAA'], [0.12498567129252716, 0.0017667059406396436, -4.314868077404372e-06, -0.2583050489435683, -0.0006715922285602056, 8.640774233882496, 0.0001129748936121436, 0.00010333201798342815, -5.4288064780024585e-06, 0.09476210617476671]]","[['UMCSENTx', 'UEMP27OV', 'CUSR0000SAD', 'TWEXAFEGSMTHx', 'AMDMNOx', 'VXOCLSx', 'EXCAUSx', 'HOUSTS', 'EXUSUKx', 'UEMP15T26'], [-0.0007848058321815905, -5.890487284229398e-05, 0.010970907804945597, -0.004465777971197854, -1.1843633229755069e-06, -0.004273742478758107, 0.08024940430358993, -4.513684873908984e-06, -0.20395908195322676, 1.484405560489134e-05]]","[['DNDGRG3M086SBEA', 'UEMP5TO14', 'USWTRADE', 'PERMITS', 'HOUSTMW', 'UMCSENTx', 'CUSR0000SAD', 'HWI', 'IPB51222S', 'UEMPLT5'], [-0.023169749136117405, -2.418089505701434e-07, 0.00017345454939494522, -0.0004324200274308723, 0.0006892829126296607, -0.005834866286419526, 0.01250617045695279, 6.331163041042326e-05, 0.0022501031150075623, 1.6250447310664934e-05]]","[['UMCSENTx', 'IPB51222S', 'HOUSTNE', 'IPFINAL', 'PERMITW', 'IPNCONGD', 'T10YFFM', 'CLAIMSx', 'IPMANSICS', 'HOUSTW'], [-0.003930876593711192, 0.004836270637318811, -0.000611450059014715, 0.002065535529985123, -0.000958119683560895, -0.02364166489905742, 0.007744688154058673, 2.8369564284565588e-08, 0.021951160114752018, 0.0004782723350470498]]","[['VXOCLSx', 'HOUSTNE', 'UEMP15T26', 'USFIRE', 'UMCSENTx', 'EXUSUKx', 'PERMITW', 'S&P div yield', 'TWEXAFEGSMTHx', 'PERMITNE'], [-0.004484401868085214, 0.00012649160212028381, -1.3862453416855704e-05, 0.00021107842335049462, -0.006247457444268556, 0.0776711944482692, -0.0005757454512453421, 0.0557017346806605, -0.010003052771511027, -0.0004238105168708325]]"
