,AMZN,WMT,NVDA,TSLA,PG,NKE,AAPL,JNJ,GOOGL,MSFT,PFE,BRK-A,FB,MRK,V
R^2,0.41869882453978313,0.46408836861357694,0.32065091243297283,0.5065904719166828,0.41977274320073155,0.3838016576438378,0.49506341379081,0.4344010142296597,0.5583325250398653,0.6019751873346313,0.3123255717363349,0.6306783246931094,0.5149539911010871,0.5529925789470325,0.6667546813319207
adj_R^2,0.20340209288785094,0.265602579211198,0.06904013925999974,0.323846202256195,0.20487375920100248,0.15558004936377767,0.3080498633429618,0.22491990838879283,0.3947519787583339,0.4545585900511614,0.057631339046088526,0.49389251902389053,0.3353073211385267,0.3874342748533407,0.543330489232632
p-values,"[['WPSID62', 'HOUSTMW', 'AMDMNOx', 'CE16OV', 'WPSFD49207', 'CPITRNSL', 'CMRMTSPLx', 'TWEXAFEGSMTHx', 'IPFUELS', 'ANDENOx'], [0.49067171131559806, 0.7355073493660718, 0.07540560430460827, 0.057122527827119025, 0.8082886579218043, 0.4103026533052734, 0.42756738026738406, 0.33544850427032036, 0.07141960182582066, 0.6619539877248335]]","[['UEMP27OV', 'AMDMNOx', 'TB3SMFFM', 'UMCSENTx', 'T5YFFM', 'ISRATIOx', 'IPB51222S', 'WPSID62', 'T10YFFM', 'TWEXAFEGSMTHx'], [0.03905543016546692, 0.2856755172206925, 0.03139372843728304, 0.5323807744981136, 0.09594602941793928, 0.6211503677594676, 0.40837503603645753, 0.9687960681731272, 0.1127753519452069, 0.43343066445565237]]","[['IPFPNSS', 'IPB51222S', 'GS1', 'AMDMNOx', 'HOUSTMW', 'IPFUELS', 'TB6MS', 'AAA', 'CES1021000001', 'EXSZUSx'], [0.42670962410461255, 0.9286088700077678, 0.8786565754457512, 0.5797691840342372, 0.7337872774353018, 0.4442353978837006, 0.9705046414210132, 0.7061596313645487, 0.7664513765414274, 0.8780337625625797]]","[['DTCOLNVHFNM', 'IPB51222S', 'GS10', 'ANDENOx', 'CUSR0000SAD', 'PERMIT', 'DNDGRG3M086SBEA', 'S&P 500', 'DTCTHFNM', 'CE16OV'], [0.8966901504038887, 0.678763767296312, 0.7166610358014078, 0.664544615066583, 0.265899503006673, 0.9134108669385939, 0.8652801748663256, 0.13223916313908693, 0.13529295428630503, 0.29027914581354797]]","[['UMCSENTx', 'EXCAUSx', 'IPB51222S', 'PERMITW', 'PERMITNE', 'EXSZUSx', 'TWEXAFEGSMTHx', 'HOUSTW', 'IPDCONGD', 'PERMIT'], [0.06542947405748413, 0.9055298491926557, 0.9045001416388808, 0.8527025473955196, 0.24289486983897646, 0.6168652594375401, 0.8174785787506021, 0.729242939580194, 0.06072783094829158, 0.18053218656600137]]","[['CES1021000001', 'IPB51222S', 'CLAIMSx', 'DNDGRG3M086SBEA', 'IPDCONGD', 'PERMITMW', 'VXOCLSx', 'HOUSTNE', 'EXSZUSx', 'UEMP15T26'], [0.9656242175363294, 0.9443526490529556, 0.8036173163452082, 0.4564951547701691, 0.3604889157555491, 0.3065494765858585, 0.052758874173626125, 0.9836321812935831, 0.9527007441684395, 0.30749428706000737]]","[['IPDCONGD', 'HOUSTMW', 'S&P 500', 'CPIAPPSL', 'EXJPUSx', 'UEMP15T26', 'DTCOLNVHFNM', 'S&P: indust', 'UMCSENTx', 'CPITRNSL'], [0.260271698806705, 0.11902448979704647, 0.10374549872724645, 0.9065014935531631, 0.9556991527318844, 0.4140820542357788, 0.9254203376940443, 0.1281520626247806, 0.2697198052387836, 0.6599114861176706]]","[['HOUSTW', 'IPDCONGD', 'TWEXAFEGSMTHx', 'IPBUSEQ', 'ACOGNO', 'WPSID62', 'BUSINVx', 'PPICMM', 'PERMITMW', 'DTCTHFNM'], [0.06642924475298295, 0.0015125309612769994, 0.19684271076995835, 0.1626450991226891, 0.014845166763710659, 0.06505634816726245, 0.16447878879044742, 0.6674220255823311, 0.0743752788562077, 0.06436870875262993]]","[['UEMP15T26', 'VXOCLSx', 'IPDCONGD', 'UMCSENTx', 'PERMITMW', 'UEMP27OV', 'IPB51222S', 'WPSID62', 'UEMPMEAN', 'HOUSTMW'], [0.10378906529952109, 0.0002709372136873554, 0.23264088979671066, 0.295014462321864, 0.8751397353614913, 0.7743642165302076, 0.4877864429629871, 0.31806414130507604, 0.07401676022464415, 0.7489301458181459]]","[['WPSID62', 'IPDCONGD', 'VXOCLSx', 'UMCSENTx', 'HOUSTW', 'PERMITW', 'AMDMNOx', 'WPSFD49502', 'UEMPLT5', 'UEMP15T26'], [0.9135802798122785, 0.35992038713386654, 0.0016998510380653374, 0.7104513442420173, 0.964676203083976, 0.35694877522073276, 0.025934479214890588, 0.004197594349599664, 0.4697590280927757, 0.9080074806380779]]","[['GS10', 'BAA', 'AAA', 'USWTRADE', 'VXOCLSx', 'UMCSENTx', 'EXUSUKx', 'HOUSTMW', 'CONSPI', 'RETAILx'], [0.3934446123554214, 0.6993107149725177, 0.5026115122968353, 0.7630709850575871, 0.44908286120011487, 0.15032947199383895, 0.6393486495417666, 0.8100208536841677, 0.8265611822083503, 0.19643035299549672]]","[['VXOCLSx', 'UEMP27OV', 'UMCSENTx', 'AMDMNOx', 'CUSR0000SAD', 'UEMP15T26', 'IPB51222S', 'USFIRE', 'USGOVT', 'DTCTHFNM'], [0.00010231777994339091, 0.6130658247290461, 0.04273468676758176, 0.17690744879979448, 0.5184104048396103, 0.13675285179368155, 0.19386435058606533, 0.3076007763846048, 0.014668198863241822, 0.7373430560396235]]","[['DNDGRG3M086SBEA', 'UEMP5TO14', 'VXOCLSx', 'IPDCONGD', 'USWTRADE', 'CPIAPPSL', 'UEMPMEAN', 'UEMPLT5', 'IPB51222S', 'S&P div yield'], [0.023164580957727228, 0.06824091379686144, 0.000685804999003781, 0.7328346112245208, 0.028782357569062566, 0.5796221502723466, 0.04282291661286585, 0.3652979350574629, 0.5612286771065185, 0.012571595098075792]]","[['UMCSENTx', 'IPB51222S', 'HOUSTNE', 'IPDMAT', 'PERMITW', 'EXCAUSx', 'HOUSTW', 'IPNCONGD', 'M1SL', 'T10YFFM'], [0.023145595342704925, 0.11202295343407694, 0.08807795959831177, 0.03985148232502795, 0.04046126619869788, 0.9467503604761267, 0.06044516778422786, 0.7734838036941324, 0.34219468627038807, 0.8759327252574431]]","[['IPDCONGD', 'VXOCLSx', 'HOUSTNE', 'USGOVT', 'UEMP15T26', 'S&P div yield', 'USFIRE', 'WPSID62', 'PERMITW', 'IPB51222S'], [0.00892245604719072, 0.0022852492402716806, 0.17407205587229901, 0.08080076280042804, 0.012713486624212213, 0.785519448461178, 0.22015059337309, 0.610786300874937, 0.03332741197831359, 0.4229697491965322]]"
params,"[['WPSID62', 'HOUSTMW', 'AMDMNOx', 'CE16OV', 'WPSFD49207', 'CPITRNSL', 'CMRMTSPLx', 'TWEXAFEGSMTHx', 'IPFUELS', 'ANDENOx'], [-0.002144043467847344, -0.00023060530751704548, -7.451612217023867e-06, -1.861583470672596e-05, 0.004189291138116043, 0.009691040427453026, 8.502112172173798e-07, -0.010984296804401293, 0.01861774440888663, 2.432786031353336e-06]]","[['UEMP27OV', 'AMDMNOx', 'TB3SMFFM', 'UMCSENTx', 'T5YFFM', 'ISRATIOx', 'IPB51222S', 'WPSID62', 'T10YFFM', 'TWEXAFEGSMTHx'], [0.00013528528034069867, -1.378704941583668e-06, -0.278249231691139, -0.0015490153435447284, 0.3309244505578493, -0.1259146295014314, 0.001386229036272957, 7.404031294740382e-05, -0.29146056172671675, 0.0033988542112514293]]","[['IPFPNSS', 'IPB51222S', 'GS1', 'AMDMNOx', 'HOUSTMW', 'IPFUELS', 'TB6MS', 'AAA', 'CES1021000001', 'EXSZUSx'], [-0.026172665694410138, 0.00043709377062492016, -0.07260229292687295, 2.5961181069566558e-06, 0.00035526436786538235, 0.01591057384656517, -0.015327156494939514, -0.06237251077311234, 0.0006757139669188291, 0.21104903643348794]]","[['DTCOLNVHFNM', 'IPB51222S', 'GS10', 'ANDENOx', 'CUSR0000SAD', 'PERMIT', 'DNDGRG3M086SBEA', 'S&P 500', 'DTCTHFNM', 'CE16OV'], [1.4088578156046318e-06, 0.002660590525773388, 0.049674219947304366, -4.5100560476373336e-06, -0.08131097336969116, -6.631179221292861e-05, -0.011594794402002312, 0.0006074519153668041, 1.322570505193679e-05, -1.3292650600975647e-05]]","[['UMCSENTx', 'EXCAUSx', 'IPB51222S', 'PERMITW', 'PERMITNE', 'EXSZUSx', 'TWEXAFEGSMTHx', 'HOUSTW', 'IPDCONGD', 'PERMIT'], [-0.00436501602803567, -0.05599265436369072, 0.00020934245411473123, 0.00010222408058528382, 0.0007416193345491959, 0.3538733684453801, 0.001771690814185053, -7.941822457139528e-05, 0.002117247057847039, -0.00030773840311017724]]","[['CES1021000001', 'IPB51222S', 'CLAIMSx', 'DNDGRG3M086SBEA', 'IPDCONGD', 'PERMITMW', 'VXOCLSx', 'HOUSTNE', 'EXSZUSx', 'UEMP15T26'], [-3.329769212819295e-05, 0.0001611964958505639, -1.1926357966075608e-08, 0.006615623424356707, -0.003156021043496902, -0.000830590191534851, -0.003719799669540741, 1.0432184084150753e-05, -0.050616008085419384, 1.7808419534343805e-05]]","[['IPDCONGD', 'HOUSTMW', 'S&P 500', 'CPIAPPSL', 'EXJPUSx', 'UEMP15T26', 'DTCOLNVHFNM', 'S&P: indust', 'UMCSENTx', 'CPITRNSL'], [-0.003284731821991173, 0.0010030862847711717, 0.0017308282612270968, -0.0012282784426562816, -0.00038399872466583166, 2.486491456406481e-05, 3.2650232307686e-07, -0.0011685509293066062, -0.007397275370169191, 0.0027931364201512895]]","[['HOUSTW', 'IPDCONGD', 'TWEXAFEGSMTHx', 'IPBUSEQ', 'ACOGNO', 'WPSID62', 'BUSINVx', 'PPICMM', 'PERMITMW', 'DTCTHFNM'], [-0.0004202306287290967, -0.010800958092031975, -0.009227942600429018, 0.008122883464416763, 7.5620584521949595e-06, -0.003205150920586242, -5.520066873454052e-07, -0.0008846008941213915, 0.0010859419505237743, 2.367545105983315e-06]]","[['UEMP15T26', 'VXOCLSx', 'IPDCONGD', 'UMCSENTx', 'PERMITMW', 'UEMP27OV', 'IPB51222S', 'WPSID62', 'UEMPMEAN', 'HOUSTMW'], [2.860809148421833e-05, -0.004542424218798453, -0.0025191775732926907, 0.00327922086557089, 9.628826459639388e-05, 1.60996175401161e-05, 0.0009035553055348673, 0.0012514770492132218, -0.013906695112494826, -0.0001349933963882069]]","[['WPSID62', 'IPDCONGD', 'VXOCLSx', 'UMCSENTx', 'HOUSTW', 'PERMITW', 'AMDMNOx', 'WPSFD49502', 'UEMPLT5', 'UEMP15T26'], [0.00012137104709675467, 0.002387073506982054, -0.003560205716390328, -0.0013661475855282512, -1.0819141525711173e-05, -0.00038221568751994125, -3.44604400646504e-06, 0.003995809027866713, 5.672397241016636e-06, 1.8894822596470438e-06]]","[['GS10', 'BAA', 'AAA', 'USWTRADE', 'VXOCLSx', 'UMCSENTx', 'EXUSUKx', 'HOUSTMW', 'CONSPI', 'RETAILx'], [0.110515662999903, 0.05443736984026752, -0.17650204131594247, 0.00012840124476538346, -0.0015524360287378029, -0.006140244815835436, 0.12233599239248863, 0.00012075456108245463, 4.029058479592411, -1.6537206725224842e-06]]","[['VXOCLSx', 'UEMP27OV', 'UMCSENTx', 'AMDMNOx', 'CUSR0000SAD', 'UEMP15T26', 'IPB51222S', 'USFIRE', 'USGOVT', 'DTCTHFNM'], [-0.004437706539072653, 2.8966749681426286e-05, -0.005313688338335449, -1.0988372221009175e-06, -0.010216878336197027, 1.4068212160483883e-05, 0.00174988915087891, -9.385596475077661e-05, 0.00012880476661015052, -5.532897604784092e-07]]","[['DNDGRG3M086SBEA', 'UEMP5TO14', 'VXOCLSx', 'IPDCONGD', 'USWTRADE', 'CPIAPPSL', 'UEMPMEAN', 'UEMPLT5', 'IPB51222S', 'S&P div yield'], [0.04953695315571384, -2.549282660250061e-05, -0.00961127224335665, -0.0012474689443088798, -0.0007860685070216278, -0.004636185247041912, -0.021445722243664284, -1.7419759949216983e-05, -0.0015024276244617564, 0.6948221721662129]]","[['UMCSENTx', 'IPB51222S', 'HOUSTNE', 'IPDMAT', 'PERMITW', 'EXCAUSx', 'HOUSTW', 'IPNCONGD', 'M1SL', 'T10YFFM'], [-0.006785056897822909, 0.0028143214458635573, -0.0005693411878123535, 0.008931467776252743, -0.000747479478570479, -0.020056293245163268, 0.0004383294145734462, -0.0024208645772373144, -3.5898344618362913e-05, -0.003006302274351053]]","[['IPDCONGD', 'VXOCLSx', 'HOUSTNE', 'USGOVT', 'UEMP15T26', 'S&P div yield', 'USFIRE', 'WPSID62', 'PERMITW', 'IPB51222S'], [-0.003201534235906363, -0.0038700140854167893, 0.0004672005808190349, 7.994984175539712e-05, 1.9907933918916344e-05, -0.03043236643564118, -0.00012983963477057275, -0.0005422096964474601, -0.0007159973407093313, 0.0012052522820216176]]"
