,AMZN,WMT,NVDA,TSLA,PG,NKE,AAPL,JNJ,GOOGL,MSFT,PFE,BRK-A,FB,MRK,V
R^2,0.6707570027374374,0.4072514376237548,0.6083004735002013,0.45184917101019806,0.41695379080794237,0.6466368870223481,0.5878211353489511,0.5457894819936326,0.8023111142266333,0.710043908544241,0.30863227162798357,0.7560001938273507,0.5730589200277609,0.24840045411370815,0.7314387525693706
adj_R^2,0.6296016280796171,0.35336520468045984,0.5593380326877265,0.4020172774656706,0.32291407964793306,0.5759642644268177,0.550350329471583,0.5190712162285522,0.7627733370719599,0.6737993971122711,0.26796358172374735,0.7338183932662008,0.5608606034571255,0.18007322266949988,0.7070240937120407
p-values,"[['const', 'Mkt-RF', 'HML', 'pos_g', 'pos_s'], [0.01838478303226407, 7.060997528228872e-08, 0.0058503220612121124, 0.014973092429256056, 0.1740354217675298]]","[['const', 'Mkt-RF', 'SMB', 'pos_s'], [0.28264318593731347, 0.0003746899425276603, 0.002452257544858604, 0.023289241726207464]]","[['const', 'Mkt-RF', 'HML', 'neg_g', 'neg_s_r'], [0.004857823559769843, 2.8543402793429616e-05, 0.002664818125693496, 0.03551328594645395, 0.11153983763093715]]","[['const', 'mean_s', 'Mkt-RF', 'pos_g'], [0.39239151303815467, 0.010666850010074223, 0.016477258316108294, 0.13685715770089416]]","[['const', 'Mkt-RF', 'pos_s', 'SMB', 'neu_s', 'HML'], [0.21493586132199957, 0.010043368471046197, 0.032562708796134196, 0.15807269037395855, 0.09847274116739677, 0.14782280593326352]]","[['const', 'Mkt-RF', 'pos_g', 'mean_s', 'neg_s_r', 'HML', 'pos_s'], [0.2548441668026158, 0.0001206561491122701, 0.020625894315075218, 0.013620634747612416, 0.26815200384384025, 0.09457997137993199, 0.19541420561244807]]","[['const', 'Mkt-RF', 'mean_s', 'HML'], [0.0027047865996161083, 2.6978978567073488e-05, 0.004148535484042693, 0.1256494363757592]]","[['const', 'Mkt-RF', 'SMB'], [0.6723898114591678, 2.6843508651406504e-07, 0.013607679473294448]]","[['const', 'Mkt-RF', 'mean_g', 'SMB', 'neu_g', 'RF', 'pos_s'], [0.23696381552500106, 1.2257906743446653e-09, 0.00034052131304024237, 0.01165658751245734, 0.13874553599468542, 0.08603175413016462, 0.1728373422790242]]","[['const', 'Mkt-RF', 'HML', 'mean_g', 'neg_s_r'], [0.006344615273447876, 5.413742843242467e-10, 0.016755400332725715, 0.03183747706739581, 0.1344875579346057]]","[['const', 'Mkt-RF', 'neu_g'], [0.03917018772649085, 0.0008707928476383321, 0.035709171096579354]]","[['const', 'Mkt-RF', 'SMB', 'neg_g'], [0.10870915724684856, 1.4417942875957141e-11, 0.0022345822672173304, 0.023179706348056914]]","[['const', 'Mkt-RF'], [0.6300107933413512, 5.89901267987075e-08]]","[['const', 'mean_g', 'Mkt-RF', 'pos_s'], [0.6455210644337955, 0.0649707852923734, 0.07546495649627974, 0.08759735873595123]]","[['const', 'Mkt-RF', 'HML', 'pos_g'], [0.18599191174578594, 9.819580570743019e-11, 0.007925007337107813, 0.06878710252810102]]"
params,"[['const', 'Mkt-RF', 'HML', 'pos_g', 'pos_s'], [-0.07804940616012293, 1.2883015327178078, -0.8745506359080224, 0.0020455440826567224, 0.0035837099938597888]]","[['const', 'Mkt-RF', 'SMB', 'pos_s'], [-0.015169273041602422, 0.6138015212114677, -1.0755382952961252, 0.007777895518040041]]","[['const', 'Mkt-RF', 'HML', 'neg_g', 'neg_s_r'], [0.1482338763383484, 1.4279593407570865, -1.4684801723763368, -0.0071705351144435835, -0.10445595016114051]]","[['const', 'mean_s', 'Mkt-RF', 'pos_g'], [0.0858205198351803, 0.7132311203599212, 1.366793611482454, 0.0061313257683659975]]","[['const', 'Mkt-RF', 'pos_s', 'SMB', 'neu_s', 'HML'], [0.015436772273463968, 0.4124445393362978, 0.018833087315417073, -0.4472994267664854, -0.004777137695439998, 0.33099330416503053]]","[['const', 'Mkt-RF', 'pos_g', 'mean_s', 'neg_s_r', 'HML', 'pos_s'], [-0.06173019396272082, 0.6901495370014348, 0.00605425186346265, 0.23333109834609875, 0.08455261151755294, -0.44852785508112314, -0.009805297215843794]]","[['const', 'Mkt-RF', 'mean_s', 'HML'], [0.06252069321215872, 1.0591584330593822, 0.27882311982744024, -0.5208676626133834]]","[['const', 'Mkt-RF', 'SMB'], [-0.0026179120787720497, 0.7927459654907021, -0.6878517592929467]]","[['const', 'Mkt-RF', 'mean_g', 'SMB', 'neu_g', 'RF', 'pos_s'], [-0.06165691996317237, 0.9676054994875578, 0.6208015128323271, -0.6626466728816697, 0.001156584387146639, -16.823231520762103, -0.0029641015417525354]]","[['const', 'Mkt-RF', 'HML', 'mean_g', 'neg_s_r'], [0.05933309222920946, 0.9262067536947579, -0.4157127876086948, -0.23382890356030553, -0.054058865526844024]]","[['const', 'Mkt-RF', 'neu_g'], [-0.14604494291673442, 0.6709986182760246, 0.006465496071202989]]","[['const', 'Mkt-RF', 'SMB', 'neg_g'], [0.01703378199985255, 0.9507768240394915, -0.6834034201162411, -0.004548483840002987]]","[['const', 'Mkt-RF'], [0.0049861083265404366, 1.3136498474845189]]","[['const', 'mean_g', 'Mkt-RF', 'pos_s'], [-0.007615596677858424, -0.28928409199454685, 0.2714324234111588, 0.004283929344347192]]","[['const', 'Mkt-RF', 'HML', 'pos_g'], [-0.022075609377241463, 0.8961564170526966, -0.4512320683618421, 0.0027286181965282606]]"
