,AMZN,WMT,NVDA,TSLA,PG,NKE,AAPL,JNJ,GOOGL,MSFT,PFE,BRK-A,FB,MRK,V
R^2,0.6923097711958625,0.5106660482999028,0.5675607824779517,0.751739458735323,0.5494757913383324,0.6550385044370454,0.749191883151328,0.6100972841283567,0.8086325415202489,0.7581235121269899,0.5536785012405663,0.7233684229633546,0.6652939334883092,0.6286320632689334,0.7280160061156928
adj_R^2,0.3303212667204066,-0.06502095370021155,0.05880876186377737,0.459668233718056,0.0194473105598999,0.24920145083356937,0.45412351038818455,0.1513882066323059,0.5834943550734829,0.47356293815874284,0.028594385052997273,0.3979195088025953,0.27152209053337895,0.19172860829120808,0.4080348368400374
p-values,"[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'HOUSTMW', 'WPSID62', 'WPSFD49207', 'AMDMNOx', 'AAA', 'CLF16OV', 'IPNMAT', 'UEMP15OV', 'HOUSTS', 'IPMAT'], [0.7836810567366047, 0.9986186460506352, 0.5264261353641676, 0.17449170837046768, 0.12062079502366829, 0.00938267568945911, 0.014991649551142853, 0.7476907531814494, 0.7707799416345109, 0.19347575940326067, 0.8731722518221251, 0.21289308244115004, 0.7417354022073356, 0.49887523353881946, 0.057554249441322, 0.6609039550110176, 0.28290531730373664, 0.8309749344322664, 0.05364642664205387, 0.07938403849816858]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UEMP27OV', 'CPIAPPSL', 'T10YFFM', 'AMDMNOx', 'WPSID62', 'PERMITS', 'IPB51222S', 'HOUSTW', 'T5YFFM', 'CUSR0000SAD'], [0.7498106745322142, 0.9413709204849204, 0.8360986037532449, 0.8391067927039212, 0.8727347409123313, 0.534919698996825, 0.5644188854178633, 0.36639495462386507, 0.9297139973528331, 0.4159481964530456, 0.027600053112618792, 0.4462802096061581, 0.21820574246354735, 0.2724244905628212, 0.4144549684272414, 0.46149625925899496, 0.7327389674264675, 0.8479518432897802, 0.2421693489426144, 0.9059187213275036]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'GS1', 'CES1021000001', 'AAA', 'EXSZUSx', 'UEMP15T26', 'IPNMAT', 'EXCAUSx', 'IPB51222S', 'IPFPNSS', 'AMDMNOx'], [0.9865244100694224, 0.9169533575106263, 0.7960847115414835, 0.22312661098710815, 0.22333571281460363, 0.7843742131629023, 0.9914307186218113, 0.9675075179351655, 0.6959112216279426, 0.15570934683775364, 0.2666077587542236, 0.35752162492854855, 0.781671546212548, 0.3854160175580724, 0.937917946807305, 0.27759511570510237, 0.7472264807954353, 0.9358383045151092, 0.519808175759735, 0.34228486585430407]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'DTCOLNVHFNM', 'GS10', 'CUSR0000SAD', 'ANDENOx', 'UMCSENTx', 'AAA', 'RETAILx', 'UEMPMEAN', 'BAA', 'BOGMBASE'], [0.7735285563029001, 0.5736280342191856, 0.46943394426560536, 0.4109425868335105, 0.06774387027735017, 0.6106493485271959, 0.6192329667509309, 0.30375416893646207, 0.9749179096706564, 0.19541813425052293, 0.04970594789408624, 0.10047910376968762, 0.15331618914429426, 0.499234072706938, 0.9452758612792693, 0.5121485816302711, 0.10765231558858165, 0.1914830371575045, 0.19381204555327441, 0.8669241989377033]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UMCSENTx', 'EXCAUSx', 'HOUSTW', 'IPB51222S', 'GS10', 'DTCTHFNM', 'CUSR0000SAD', 'TWEXAFEGSMTHx', 'PERMITNE', 'PERMITMW'], [0.9411425363487244, 0.23555007515427345, 0.4590289282399602, 0.46224236616005754, 0.4762771119420297, 0.16013524676029012, 0.20203405524596785, 0.7567274780796686, 0.2656100837831191, 0.1139641823898097, 0.14803904307440044, 0.18994740145071887, 0.9055987977118927, 0.8429282955854678, 0.14882304237019986, 0.24182981473746992, 0.2626238724408236, 0.16167055956482862, 0.6924666171733974, 0.7899803262167733]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UMCSENTx', 'HOUSTNE', 'VXOCLSx', 'EXSZUSx', 'WPSFD49502', 'IPB51222S', 'CLAIMSx', 'UEMP15T26', 'WPSFD49207', 'DMANEMP'], [0.7996248862375697, 0.9194740843998868, 0.471965225452437, 0.9819627432782019, 0.18260807046364502, 0.3186515441199531, 0.6881619346839292, 0.6640384846574088, 0.2941325308126942, 0.5567812540208642, 0.4095523656943324, 0.6855914924050508, 0.2289901623639151, 0.7667669571784118, 0.948893420280224, 0.4888990147262091, 0.24842398168060018, 0.409354135848257, 0.827660809482765, 0.18518083308778416]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'IPDCONGD', 'CPIAPPSL', 'UEMP15OV', 'HWIURATIO', 'S&P 500', 'VXOCLSx', 'PERMITS', 'EXJPUSx', 'IPB51222S', 'CONSPI'], [0.9605798596796195, 0.10594169359657657, 0.4564314374424957, 0.4041104340338406, 0.4511960462697342, 0.8581266078493569, 0.783806884794222, 0.26874454429189404, 0.1980565184149641, 0.9397745966750161, 0.14386902191720713, 0.720462604589865, 0.3511773371334025, 0.6799182290595778, 0.14303326617629802, 0.4390316739581378, 0.07442980328017615, 0.41305111753255863, 0.8228842879775645, 0.18705053879928243]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'IPDCONGD', 'HOUSTW', 'TWEXAFEGSMTHx', 'IPB51222S', 'PERMITW', 'CPITRNSL', 'UEMP15T26', 'EXUSUKx', 'WPSID62', 'UEMP27OV'], [0.10626483026836889, 0.6563932217508083, 0.44936314142447087, 0.6299093310350146, 0.8992290058474941, 0.25080556488686684, 0.09984243489101431, 0.044439959035548406, 0.7313559438930842, 0.43195682285579373, 0.224596244752554, 0.5809562936857331, 0.1717527866336253, 0.33223588956823313, 0.21701489793108159, 0.23311238219129485, 0.7480577606474671, 0.22596004534991546, 0.9550853186567787, 0.8184696771180492]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UEMP15T26', 'VXOCLSx', 'IPB51222S', 'PERMITMW', 'BAA', 'IPNMAT', 'IPDCONGD', 'UEMPMEAN', 'UMCSENTx', 'HOUSTNE'], [0.27933497194693463, 0.24569544486034023, 0.17897372994707234, 0.7666999370502334, 0.7274593731948312, 0.0482916415956214, 0.11684678525024626, 0.6887218885358941, 0.11881894126317652, 0.0781449149870216, 0.0913790639207413, 6.322375240981002e-05, 0.9679576069614221, 0.22583442909431697, 0.9664083627132511, 0.15993935243915855, 0.07967226942434713, 0.3656112342204856, 0.7129255716164924, 0.4366770797885384]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'AMDMNOx', 'IPDCONGD', 'UMCSENTx', 'WPSID62', 'VXOCLSx', 'IPFPNSS', 'HOUSTW', 'WPSFD49502', 'EXUSUKx', 'UEMP15T26'], [0.4062169225770672, 0.7926061122074314, 0.8217921707869547, 0.6688398578235959, 0.19333514533259083, 0.5389831828576503, 0.10525904413446306, 0.597811620136186, 0.45016609291397625, 0.11094512498982045, 0.0974020900126945, 0.994720964743302, 0.2729704665795753, 0.6826440847924771, 0.0013454664713847472, 0.49900478721658714, 0.2976709940121757, 0.585321736827535, 0.33693869051816105, 0.273865154440461]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'GS10', 'IPB51222S', 'ANDENOx', 'AAA', 'REALLN', 'CONSPI', 'RPI', 'HOUSTW', 'S&P 500', 'BAA'], [0.11504150787286507, 0.18521522734007403, 0.05656468404304164, 0.015945279522445666, 0.3301156327845558, 0.5838207144970742, 0.5683604187221498, 0.9130566646845407, 0.46361412292001614, 0.8357987758335573, 0.1660306635479293, 0.26508916286473794, 0.041647715506526246, 0.11497680121991354, 0.10460381608948773, 0.11071536653755093, 0.08028589959369638, 0.5981336084632486, 0.4166277761036268, 0.17236908318633593]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UMCSENTx', 'UEMP27OV', 'CUSR0000SAD', 'TWEXAFEGSMTHx', 'AMDMNOx', 'VXOCLSx', 'EXCAUSx', 'HOUSTS', 'EXUSUKx', 'UEMP15T26'], [0.14135835462253915, 0.049771645268250425, 0.0266464372946951, 0.9186934694894968, 0.890005988862907, 0.4655379141813789, 0.412831142198141, 0.3008313841733877, 0.0446231137789736, 0.7181049531483497, 0.3827888294055204, 0.9655679989011624, 0.8223457032334158, 0.8238531650641392, 0.353326177069472, 0.017265669844078735, 0.9349691989991077, 0.8629271482245108, 0.4404678726103539, 0.5364651775084124]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'DNDGRG3M086SBEA', 'UEMP5TO14', 'USWTRADE', 'PERMITS', 'HOUSTMW', 'UMCSENTx', 'CUSR0000SAD', 'HWI', 'IPB51222S', 'UEMPLT5'], [0.6837504240377438, 0.034123000532534024, 0.05662544271529095, 0.9314987900956829, 0.5800027504931963, 0.22509450417770582, 0.08850904592687125, 0.49884417075423315, 0.02273203069515736, 0.9276607423541681, 0.038099379850734486, 0.21987373486662767, 0.0665497933434265, 0.3772028215173936, 0.16280166250009437, 0.33132749007439055, 0.06214185343645824, 0.0763910951275901, 0.19603177552988515, 0.6263514290495231]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UMCSENTx', 'IPB51222S', 'HOUSTNE', 'IPFINAL', 'PERMITW', 'IPNCONGD', 'T10YFFM', 'CLAIMSx', 'IPMANSICS', 'HOUSTW'], [0.5789224430083456, 0.9220076679904626, 0.8128860634724591, 0.6637616318163837, 0.5650904987463701, 0.3167666719241753, 0.30571519765604266, 0.830189436997074, 0.7503891778442284, 0.8099675311020311, 0.09571933073395235, 0.2832138591143209, 0.09988250715631017, 0.8943608538591272, 0.0841394535803613, 0.1621167403635132, 0.9320780586301883, 0.458191920668199, 0.5327713363632944, 0.1223235774297743]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'VXOCLSx', 'HOUSTNE', 'UEMP15T26', 'USFIRE', 'UMCSENTx', 'EXUSUKx', 'PERMITW', 'S&P div yield', 'TWEXAFEGSMTHx', 'PERMITNE'], [0.8698008840572087, 0.47738630777583246, 0.8832395199485532, 0.44776925983934335, 0.7773583886282337, 0.36584695103527876, 0.5448403899904899, 0.08833388413514887, 0.7571056762043069, 0.6442158954959103, 0.005937230502510716, 0.4199284882520803, 0.7624095736336142, 0.20700872598639844, 0.04488574322894394, 0.5923647470178462, 0.10433756745397689, 0.24596168102501048, 0.1799373300142814, 0.40485202237494433]]"
params,"[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'HOUSTMW', 'WPSID62', 'WPSFD49207', 'AMDMNOx', 'AAA', 'CLF16OV', 'IPNMAT', 'UEMP15OV', 'HOUSTS', 'IPMAT'], [0.3218810195917698, -7.660492769689681e-06, -0.004849435476929509, 0.001942413968842622, -1.0807573644480029, 0.03609652737962731, -0.02814989714611882, -0.0012177716147605373, 0.19406418535239117, 0.45328371431205505, -0.00010775139406083242, -0.004366715348148537, -0.003834109773889368, -2.0567188492417943e-06, 0.19221786901054516, 7.405366477586572e-06, 0.0175447825382875, -4.638567352605148e-06, 0.0007713421655262459, -0.021540640029886662]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UEMP27OV', 'CPIAPPSL', 'T10YFFM', 'AMDMNOx', 'WPSID62', 'PERMITS', 'IPB51222S', 'HOUSTW', 'T5YFFM', 'CUSR0000SAD'], [0.35643028726806975, -0.0004666848937704112, 0.0020341715522202023, 0.0005306491485746448, -0.04067702873211851, -0.00999755327591853, 0.006471210088118875, -0.0033544456081576086, 0.04161311804418996, -0.21304482225014126, 0.0003082629307124902, 0.007351521435022256, -0.5091484563190781, -1.8197369395160641e-06, -0.002185754560586918, -0.0002577206030268143, 0.0008879405014816559, -6.426412962576297e-05, 0.48738341037676397, -0.0015085228248333232]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'GS1', 'CES1021000001', 'AAA', 'EXSZUSx', 'UEMP15T26', 'IPNMAT', 'EXCAUSx', 'IPB51222S', 'IPFPNSS', 'AMDMNOx'], [-0.0470525393065615, 0.002169934126806279, 0.00776324087383529, 0.006549029427222203, -0.580803474327424, -0.007962058724043788, -0.00024752993152310325, -0.0004711531513562563, -0.5453527080005602, -0.6548001256519309, -0.25800787543246956, 0.004301870697956732, 0.03642574587312744, 1.8587577814196532, 3.319723804757639e-06, -0.03285195171002936, -0.6350188118208004, -0.0004584679796312708, -0.01868391270547313, 7.838579247655518e-06]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'DTCOLNVHFNM', 'GS10', 'CUSR0000SAD', 'ANDENOx', 'UMCSENTx', 'AAA', 'RETAILx', 'UEMPMEAN', 'BAA', 'BOGMBASE'], [-0.7436344986625185, 0.009155634073761274, 0.011334517266280743, -0.004507320041354316, 1.7400133508169975, 0.013456984543416716, -0.007461435120926407, -0.007024076029946021, 0.03308309552935762, 1.158197339346254, 4.3077678538689206e-05, 0.5059412914063715, -0.08398335735092446, 6.5577427366704e-06, -0.0008042504046712959, 0.6631159089401306, -7.969277859433437e-06, -0.0430335794047267, -0.8979599463736754, -2.3725077558589122e-08]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UMCSENTx', 'EXCAUSx', 'HOUSTW', 'IPB51222S', 'GS10', 'DTCTHFNM', 'CUSR0000SAD', 'TWEXAFEGSMTHx', 'PERMITNE', 'PERMITMW'], [0.054041818979619516, 0.017541943316308616, -0.017049865121446142, 0.006763267289394864, 0.06440290858215662, 0.026848112552731257, -0.014000432475059605, -0.001796100161997936, 0.7296008338779949, 0.10092452672999846, -0.004999171754443559, -1.5070945443004784, -5.2977579106141816e-05, -0.0003770209335323603, 0.05156039309706431, -4.1539630749469405e-06, 0.02470039388652019, 0.019977741834048768, 0.00035731604198025054, 0.0002750531936881028]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UMCSENTx', 'HOUSTNE', 'VXOCLSx', 'EXSZUSx', 'WPSFD49502', 'IPB51222S', 'CLAIMSx', 'UEMP15T26', 'WPSFD49207', 'DMANEMP'], [-0.24080791633195564, -0.0011983989573567469, 0.014855717448854167, -0.00022822348590766615, 0.237272732798812, -0.014199604804773567, -0.004235443407863277, -0.003453858925854202, -0.503273715893469, 0.07796170365220972, -0.004624674529216266, -0.00024220396725646343, -0.0034969770358409197, 0.32431751850473023, -0.0017230308817473335, -0.002251288400521417, 5.043119039217006e-08, 1.9952090493168922e-05, -0.006382969359009997, 0.0002851801580464333]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'IPDCONGD', 'CPIAPPSL', 'UEMP15OV', 'HWIURATIO', 'S&P 500', 'VXOCLSx', 'PERMITS', 'EXJPUSx', 'IPB51222S', 'CONSPI'], [0.05419532380816516, -0.049032439079830334, 0.02513949772319679, -0.012428845311462579, 0.33851838493586706, -0.0031001337450332032, 0.002289907427340099, 0.0033850272265475052, -1.440452233261778, 0.04611751991862839, -0.005564841498985266, 0.0030838880141814086, 2.4365298947191452e-05, 0.05964938034562341, 0.0002527045693230879, -0.002265841092154661, -0.000890065719245688, -0.008569430959870079, 0.0007149214857901655, 13.775242269948961]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'IPDCONGD', 'HOUSTW', 'TWEXAFEGSMTHx', 'IPB51222S', 'PERMITW', 'CPITRNSL', 'UEMP15T26', 'EXUSUKx', 'WPSID62', 'UEMP27OV'], [1.1461378240218307, -0.012942995957461265, 0.020798902557196953, 0.0018865200747374155, -0.02286406475422164, 0.014055195241204623, -0.0207536627644632, 0.006468089596492461, -0.3515896023458908, 0.2490548012615117, -0.0024036023900066814, 0.00019774051312267956, -0.00717580169827997, 0.0019338211365845894, -0.0006870581655512289, 0.006764719383565593, 4.953204816539659e-06, -0.37748768313048897, -0.00012787702939400566, 1.5242852491160889e-05]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UEMP15T26', 'VXOCLSx', 'IPB51222S', 'PERMITMW', 'BAA', 'IPNMAT', 'IPDCONGD', 'UEMPMEAN', 'UMCSENTx', 'HOUSTNE'], [1.0155040204431014, 0.010160060209399652, -0.02033653524613864, -0.000812103481628491, -0.07518115386699577, -0.02170539054096411, 0.010160526847908394, -0.0007591228613571813, 1.1778780538643643, -0.44544822932369604, 2.5347246739678344e-05, -0.006541932304648056, -6.794887039487843e-05, -0.0007514311333465587, -0.001192076373771776, 0.007323958557414802, -0.0033107534325468113, -0.0052265993824781865, -0.0011846012158309967, 0.00035706649139700085]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'AMDMNOx', 'IPDCONGD', 'UMCSENTx', 'WPSID62', 'VXOCLSx', 'IPFPNSS', 'HOUSTW', 'WPSFD49502', 'EXUSUKx', 'UEMP15T26'], [-0.682087269986824, -0.002727236370215545, 0.005135497745970854, -0.0018829372577512703, -0.20855211749522373, -0.006046890816685438, 0.014879238806688323, 0.0011447163848367441, -0.4238837432160856, -0.3178230511054333, -3.130932876840448e-06, -3.07517029231822e-05, -0.005293204770250399, -0.0007210443370968954, -0.004436280718609813, 0.010593379992995991, -0.0002859927445413047, 0.0021534490379533757, 0.3164234148542372, -2.9124880284250015e-05]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'GS10', 'IPB51222S', 'ANDENOx', 'AAA', 'REALLN', 'CONSPI', 'RPI', 'HOUSTW', 'S&P 500', 'BAA'], [1.4647306369174613, -0.0136930644345864, 0.031639779271725454, 0.016870764490593188, -0.3126259054998351, 0.0071173817627774765, -0.01006239402697416, -0.000405294122998254, -0.25404512104646226, -0.0660298755679688, 0.19646148491314785, 0.002731599114185689, -8.137829478147332e-06, -0.7440240803863131, -0.0017647989663106762, 26.34565278436228, 0.00018135703898115396, 0.00027634187398655537, 0.00020621257173363962, 0.44372445821960965]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UMCSENTx', 'UEMP27OV', 'CUSR0000SAD', 'TWEXAFEGSMTHx', 'AMDMNOx', 'VXOCLSx', 'EXCAUSx', 'HOUSTS', 'EXUSUKx', 'UEMP15T26'], [-0.6976913247127496, 0.01597553366098458, -0.033769806786270534, 0.00036550421312353553, -0.011687554780524518, 0.008803706834923673, -0.006500293012412371, -0.0034512351246955347, 0.5385336388960408, 0.015305848168650162, -0.0033339523906624584, -2.8745674717781148e-06, -0.003608635832641372, 0.0030126365993723963, -1.0573104595293451e-06, -0.003852909364414803, 0.06407378081731374, -2.765745635220041e-05, 0.3676279135730537, 1.2741779941488491e-05]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'DNDGRG3M086SBEA', 'UEMP5TO14', 'USWTRADE', 'PERMITS', 'HOUSTMW', 'UMCSENTx', 'CUSR0000SAD', 'HWI', 'IPB51222S', 'UEMPLT5'], [0.4466125141552282, -0.06773846309728795, 0.03831451533092495, 0.000580879707772739, -0.2774363316726328, 0.021979127647888914, -0.011406818794924289, 0.0034156634689748054, -2.382797259798572, 0.04569623115687746, -0.0822357710851229, 1.572327346332316e-05, 0.0007957325996491657, -0.0003585014571494822, 0.0013113376116808007, -0.00544410899294176, 0.04066490560339045, 0.00010168847257193318, 0.004381305245632757, 7.638557491319088e-06]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UMCSENTx', 'IPB51222S', 'HOUSTNE', 'IPFINAL', 'PERMITW', 'IPNCONGD', 'T10YFFM', 'CLAIMSx', 'IPMANSICS', 'HOUSTW'], [-0.320176534686436, -0.0015700218301977812, 0.005218450193531881, -0.0016934140696266554, 0.11681160068345099, -0.006576641999887001, 0.009077015860235228, 0.0007350291375311171, -0.19952209981420022, -0.04588696780162754, -0.004772820835382701, 0.003640164127745914, -0.0008084468810614269, 0.0040389485821495565, -0.000957285247465777, -0.01980051128159808, 0.001765707962658689, 2.4413965312324584e-08, 0.019487868753208425, 0.0005089163592371215]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'VXOCLSx', 'HOUSTNE', 'UEMP15T26', 'USFIRE', 'UMCSENTx', 'EXUSUKx', 'PERMITW', 'S&P div yield', 'TWEXAFEGSMTHx', 'PERMITNE'], [0.07851449867858051, 0.00854230695124698, 0.00174467923540292, 0.0033299943297387417, 0.028326271326745783, -0.009699149515218785, 0.006292735417419677, 0.008500474804257651, 0.10107410633276243, -0.022971445056498292, -0.004828316275355227, 0.0003683049698647967, -4.148760688618674e-06, 0.00027951927399773275, -0.005569490272333041, -0.2048340005633228, -0.0008745540799803624, 0.18722564886836374, -0.016466585977979377, -0.0005498057821624945]]"
