,AMZN,WMT,NVDA,TSLA,PG,NKE,AAPL,JNJ,GOOGL,MSFT,PFE,BRK-A,FB,MRK,V
R^2,0.7413324610007945,0.5166890538991211,0.6833860578595949,0.6188667114267963,0.5207904557099938,0.7114530621969452,0.6984596376272356,0.6012517784068294,0.8639471556519235,0.8199012948224178,0.35892545681041754,0.8496223996891171,0.7047218890644187,0.38601708687902114,0.8461751862749332
adj_R^2,0.5838826546534521,0.22249978235945567,0.4906645278610875,0.38687253577354186,0.22909768962042487,0.5358157957081291,0.5149133300959877,0.3585354696109865,0.7811323808313552,0.7102759960186721,-0.03129383034845867,0.7580882081955362,0.5249873867558039,0.012288357153207863,0.7525426909640229
p-values,"[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [9.860618850866828e-05, 0.4728849330035543, 0.08823601911780563, 0.8270391926368806, 0.5995308059768686, 0.19562795588762455, 0.429055312561342, 0.627234849727557, 0.8096988865657405, 0.8035033618322699, 0.805310481227799, 0.44232194440458505, 0.39394761696625635, 0.2593116762662751]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.00784771133208987, 0.014646474677158692, 0.9424351346142823, 0.8952613812358611, 0.7252378523804244, 0.9618611500044806, 0.8355301319801425, 0.9467422285081708, 0.7610932481466497, 0.2696114909027908, 0.626714557539931, 0.5192525634273252, 0.9770449724557243, 0.9528786526549836]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.005896122630874309, 0.44852179298365613, 0.01599617973882235, 0.9668498210934718, 0.5610951672853346, 0.302658281619068, 0.3297945578721352, 0.8295252180040098, 0.8238579285573919, 0.4301595864919435, 0.7647000257239772, 0.6438327146620808, 0.5849351640064664, 0.20206168256172563]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.020627018890145014, 0.16446783508454188, 0.3299383209710611, 0.9381741965571755, 0.17922915603777378, 0.17556760965641496, 0.3281159844598872, 0.7412506152689178, 0.1450315242759852, 0.5910032483431474, 0.9691610488150032, 0.36001443672334543, 0.7634926244187293, 0.39052418342922235]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.02885664164962953, 0.3127669855753312, 0.512268549783696, 0.49249293525614113, 0.5157486287629995, 0.5104355840140138, 0.7793494224752515, 0.8565260114139805, 0.36527497513533813, 0.173177094291961, 0.7703872729484481, 0.24070194412528215, 0.9662085762778866, 0.2819351357574379]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.01114570781265112, 0.28265453653267847, 0.17390286191622628, 0.7712834184252222, 0.7314215301750452, 0.5719491290183298, 0.7846957181373178, 0.6605766779524163, 0.05118797546391683, 0.15758083690754168, 0.8343076149988733, 0.8331578354272975, 0.8285757006927712, 0.4969530552714029]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.01083907605257301, 0.8079683902029849, 0.3498131177843342, 0.5500913942709563, 0.41983398946362915, 0.4248146776411731, 0.93686729603432, 0.6829070108261206, 0.2913101256979505, 0.5236346081088615, 0.6440919556744007, 0.6213567005887559, 0.9501509045416239, 0.3373673201212388]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.0029036928355769347, 0.12284559436675581, 0.7104304664675096, 0.902759138506948, 0.9631179682442246, 0.9014864580207073, 0.9659550861191861, 0.48797242267826, 0.8474109168433588, 0.3597795259613117, 0.3650724489393894, 0.8350425142860631, 0.9067321008667397, 0.5467003527343985]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.2349278873534963e-08, 0.027881743681252, 0.9462409580911536, 0.3728812209817993, 0.16793839191553286, 0.10132453141689178, 0.05085638292657092, 0.5963073952165349, 0.9320716636893959, 0.005624950001226471, 0.028872836949717234, 0.7320660529459011, 0.03523674773010051, 0.017840592286054908]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.3505131623877297e-07, 0.5118136464193213, 0.012860945461357777, 0.32138044954417405, 0.7878365504881428, 0.2874246067454939, 0.22932602211909367, 0.6341881184212199, 0.60932780857064, 0.3254985848495572, 0.5186250518818754, 0.4503473620665981, 0.30660031853386593, 0.8851320416403008]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.05252353964357115, 0.4142339111439628, 0.6401087535993181, 0.6272050337583586, 0.48911427188571244, 0.3605712052485972, 0.6076666571304271, 0.1553490503166373, 0.4678081415012181, 0.9284226494757425, 0.9637554199482549, 0.7798465950487461, 0.927392455151667, 0.38516741324750225]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [2.4857109100187347e-07, 0.032144909543218754, 0.2365311859414291, 0.10361973260044471, 0.01901557156085377, 0.006162294177330629, 0.010328513487738347, 0.22722298250089085, 0.643108118123614, 0.4716770604912349, 0.8683727851242387, 0.8992041396519476, 0.06334118419598375, 0.6260347960242539]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.0003398812563462162, 0.5091888908493782, 0.3304563069771109, 0.5794468604306569, 0.9111107109928467, 0.8180125416184525, 0.8058516041352617, 0.6992450465602389, 0.14857771728156494, 0.06096646051129347, 0.06698350569528726, 0.9284053449667461, 0.5632255676784613, 0.6216856123970849]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.041004925781640444, 0.2432058499119988, 0.4574097889081604, 0.7120942972677694, 0.7063213797591403, 0.5162198738315107, 0.5515082141275025, 0.7575613575175648, 0.7592514415943664, 0.28829659025623844, 0.3443241669642979, 0.7491793977959186, 0.4460728399432966, 0.5634759656668848]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [3.182965353797543e-08, 0.5105676028095598, 0.014942516191319323, 0.15802929726033227, 0.4974754197025276, 0.08951205811903071, 0.01885156949435791, 0.039515499801063156, 0.8606073697228444, 0.5571516275976105, 0.4433146467608152, 0.6063051912160383, 0.009858377186181457, 0.8091383792307582]]"
params,"[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.4533211588768224, -0.4427141416238777, -0.8102178715318933, -5.444821073369717, -0.263901883530302, 0.004566566545009639, -0.00481362942070254, -0.0005112887942148093, -0.11234199726121145, -0.0021463923436632285, 0.001674555566330433, 0.0019405758554929967, 0.258533076088135, -0.22302892198546992]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.6664913401650031, -1.0701508819499561, -0.025098828088676223, -2.5472332292757844, -0.30196497693769736, 0.00023396825856040722, -0.001434895070352301, 0.00012898883014009064, -0.06056684751083763, 0.010010754038162244, -0.003494886836419419, 0.0015307135979617122, -0.0087921388893486, -0.007469691833453307]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.3212481446717004, 0.6442930962736328, -1.5041400938566374, -1.5313195436713158, -1.0668212156911823, 0.012739820684218804, -0.017316361209131683, 0.0004294311189452346, -0.06303704010785532, -0.014296084336541053, 0.004116168815062467, 0.003280943614127059, 0.3562831241634081, -0.28355622866558383]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.9432434618448156, -2.2524597701949807, -1.297913451196864, 6.260695563312609, -3.190241823065398, 0.01850950272998684, -0.011534460051430962, -0.0013687561216110637, 1.3410342442416372, 0.010870700211343445, -0.0006446682582523129, -0.006824621924367818, -0.22219313856461848, 0.5224905344971491]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.46233835151650704, -0.38755155010329495, 0.2169623818079573, 10.13849126270867, -0.30454430152637474, 0.004313385974250279, -0.005422346573215737, -0.0005747326434054128, 0.061416713659519506, 0.01795884123299876, -0.0025608885455990077, -0.005550330068224595, 0.01969781277082827, 0.0442990096838128]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.6430136929413779, 0.43226761527018936, -0.5492910287740109, 4.9832139538685745, 0.22513317483803863, 0.003892272403641793, -0.0032710275870284937, -0.0013273908017745236, 0.23387679586772528, -0.01381010563801268, 0.0014712402411236232, 0.0010232685641370508, 0.056661083723066635, 0.06183259527873896]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.8628025496314186, -0.1559930368300516, -0.38268257500754577, -15.150599491311631, 0.7411501974254456, -0.012300111981325131, -0.001959709940238489, -0.0030800336125462974, 0.43336084154028304, 0.00693903733754069, -0.0026238576887727284, 0.0011114128448420834, 0.03994004970223963, 0.3976067908652391]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.7828004537751212, -0.6303919870270493, -0.10267418398527078, -2.0259896603531082, 0.020618174963302316, -0.0009620638778299485, 0.0004713929584478152, -0.0018917072624370446, -0.02808459172472872, 0.007279364478442916, -0.007272797243409655, 0.0006410784090229204, -0.03745502876771911, 0.11920408310374087]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.0472372852887177, -0.6548800621925506, 0.013208642217555855, -10.287502668915758, 0.8578675881391955, 0.007680611752314605, -0.020161215272168444, -0.0007337051555991012, 0.01098515535233556, -0.020306876193177253, 0.009513701907127073, -0.00039922054633401475, 1.0474616909022019, -0.3856958277915785]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.0367364328181976, -0.18613008472273546, -0.5673725513138463, 13.781714469543966, 0.11937081703277541, -0.006856502442285913, 0.018412829989705566, 0.0010638941141432466, -0.05540907569329119, 0.005605391218983414, -0.0030921799867133374, 0.0009462438690737611, -0.31969388681586025, 0.01633279892377565]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.5854675892496601, -0.49228018528946893, 0.18550113826749395, -11.043139773564498, 0.5739224135912209, -0.008138428922229242, 0.008006538097159727, 0.006137728067987215, -0.20492439754073155, -0.000984057521231223, -0.0007196319211782006, 0.000961172803290739, -0.027247985471064176, -0.20226666435249804]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.8156789335010854, -0.5316014811345979, 0.22862793766602887, -15.490718210464571, -0.5559727070310584, 0.00961255496772267, -0.021934557472423066, -0.001251780774743162, 0.017678836195997506, 0.004500661706331194, -0.000722778282301812, 0.00024289811023995786, 0.272055747585059, 0.010994617224246692]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.3040939252262695, 0.43213481517423435, -0.45870616964458366, -13.633632652072677, 0.0960403797332432, -0.0032786117934317394, 0.003590431792663726, -0.0015589660483505694, -0.5186804513456735, 0.020622587541336272, -0.00897968372958445, 0.0002947409500082274, -0.25255845380059716, 0.15303955337814684]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.4802149134231103, -0.5469514472449087, -0.24559114095779772, 6.961741589834661, -0.21266827726257337, -0.005718908292680322, 0.009050889784177557, 0.0010928045237576815, 0.057888054821344154, 0.006557660784364183, -0.008022497782952826, 0.0010072720973690725, -0.228523306342606, 0.10312820017801984]]","[['Mkt-RF', 'SMB', 'HML', 'RF', 'mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.9462493173988857, -0.17819609704101413, -0.5566563803000462, 15.726022994000465, 0.20068950665471064, -0.007597355581389825, 0.01677446476180755, 0.004344851481741807, 0.009437121998203346, -0.0032886607077962588, -0.004604466479387987, 0.001590569325365981, -0.415596183143756, 0.006117889618956422]]"
