,AMZN,WMT,NVDA,TSLA,PG,NKE,AAPL,JNJ,GOOGL,MSFT,PFE,BRK-A,FB,MRK,V
R^2,0.6826473119257903,0.5767921412643322,0.5497180934307209,0.6989462194005523,0.5537686431665312,0.6110298510346955,0.7393700517213899,0.6915371106510875,0.7808782982938121,0.737089123683035,0.42871382205212016,0.7315529723193863,0.6337586033216513,0.6709736564807558,0.7404829845111752
adj_R^2,0.3092912083090731,0.07890054275178193,0.019974673937451337,0.3447653010482611,0.028790576303626803,0.15341791107551384,0.43274658315831926,0.32863959377001395,0.5230880609924144,0.4277822103689587,-0.2433875637689149,0.41573293975395853,0.20288637193535886,0.28388384057576266,0.4351688486419697
p-values,"[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'WPSID62', 'HOUSTMW', 'AMDMNOx', 'CE16OV', 'WPSFD49207', 'CPITRNSL', 'CMRMTSPLx', 'TWEXAFEGSMTHx', 'IPFUELS', 'ANDENOx'], [0.1895169011016035, 0.26555576232298084, 0.3288725478393809, 0.9745936947183172, 0.2721927933391912, 0.040349392539938994, 0.07000221298065723, 0.43973794339339145, 0.10592829160067976, 0.3346055191360596, 0.144118631161034, 0.9352699130880919, 0.26152682875585975, 0.3212779458038843, 0.569500156573232, 0.9424859442306188, 0.5769922665992737, 0.4685562505341836, 0.038042442738419134, 0.4924572423643533]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UEMP27OV', 'AMDMNOx', 'TB3SMFFM', 'UMCSENTx', 'T5YFFM', 'ISRATIOx', 'IPB51222S', 'WPSID62', 'T10YFFM', 'TWEXAFEGSMTHx'], [0.7054505117175818, 0.7422562395857202, 0.6977280017448887, 0.5154039235269414, 0.9932097368905977, 0.8814630134609048, 0.8268771614452186, 0.4189089144411029, 0.9380200715329675, 0.6558110716068353, 0.13420399380511153, 0.33808916461177607, 0.046514555098089966, 0.5622718628702419, 0.19378318633667146, 0.8375565501751094, 0.812312586267695, 0.9855316028397879, 0.23532174528454824, 0.4794730826221235]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'IPFPNSS', 'IPB51222S', 'GS1', 'AMDMNOx', 'HOUSTMW', 'IPFUELS', 'TB6MS', 'AAA', 'CES1021000001', 'EXSZUSx'], [0.9604693403957374, 0.8270610977405015, 0.8085045425891, 0.5878308713839353, 0.20417710782701734, 0.5437870120168462, 0.8079076627346973, 0.9432806160350212, 0.9668336079780326, 0.0830328064467328, 0.6188455545347447, 0.9349291771211494, 0.6282671736066181, 0.5328898124283561, 0.4602835689848961, 0.9503067832073452, 0.7068297135265726, 0.7688619093231301, 0.615170250730916, 0.7548740190253571]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'DTCOLNVHFNM', 'IPB51222S', 'GS10', 'ANDENOx', 'CUSR0000SAD', 'PERMIT', 'DNDGRG3M086SBEA', 'S&P 500', 'DTCTHFNM', 'CE16OV'], [0.7319153813963639, 0.9423760184382379, 0.7147924162886068, 0.8508217149427166, 0.0694652729804584, 0.5080042609792805, 0.6969825976062428, 0.11101802693851798, 0.804838141285793, 0.1798503926737006, 0.7073180657359576, 0.8827398913551887, 0.8415472401467974, 0.6211399833367619, 0.3293637969265685, 0.4498305514134211, 0.5697498009436911, 0.5104288462982134, 0.8201007259073593, 0.6620912390120437]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UMCSENTx', 'EXCAUSx', 'IPB51222S', 'PERMITW', 'PERMITNE', 'EXSZUSx', 'TWEXAFEGSMTHx', 'HOUSTW', 'IPDCONGD', 'PERMIT'], [0.8444645269609653, 0.6641151898582116, 0.8084633653953851, 0.8854793603755488, 0.97862991916435, 0.14848096978550257, 0.1710368512363352, 0.8842729757206341, 0.7219106911765594, 0.2626269928493249, 0.24906225251196404, 0.7098451372839165, 0.8430539023184219, 0.7380964023841867, 0.6309409519595968, 0.659336047680881, 0.9297415900159345, 0.43455834395142, 0.18126412631420885, 0.8321299590400174]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'CES1021000001', 'IPB51222S', 'CLAIMSx', 'DNDGRG3M086SBEA', 'IPDCONGD', 'PERMITMW', 'VXOCLSx', 'HOUSTNE', 'EXSZUSx', 'UEMP15T26'], [0.9197287155613671, 0.8586463018739524, 0.6113607881919936, 0.9393702108468663, 0.11246264818082816, 0.22059388941189143, 0.7110631222736519, 0.6335053061691771, 0.45163744945772233, 0.6188037337874834, 0.7831722778261158, 0.3165468881723347, 0.694237064568896, 0.7974084452615487, 0.8256631503268879, 0.6091628827924322, 0.4155397977602876, 0.9162115392855236, 0.4897792391882535, 0.10507484328822693]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'IPDCONGD', 'HOUSTMW', 'S&P 500', 'CPIAPPSL', 'EXJPUSx', 'UEMP15T26', 'DTCOLNVHFNM', 'S&P: indust', 'UMCSENTx', 'CPITRNSL'], [0.707731980446739, 0.450180809740811, 0.6254829654089062, 0.3109635995776575, 0.5079678409735737, 0.8141236662958223, 0.8703898870628755, 0.24580544773766008, 0.7510051975700804, 0.9527288219211587, 0.6915079950178578, 0.1533075252350765, 0.2885481809061862, 0.42070590689528387, 0.9926298211510374, 0.9454635770259544, 0.24354081646741987, 0.28820924664368996, 0.3623779068576307, 0.31828101306944323]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'HOUSTW', 'IPDCONGD', 'TWEXAFEGSMTHx', 'IPBUSEQ', 'ACOGNO', 'WPSID62', 'BUSINVx', 'PPICMM', 'PERMITMW', 'DTCTHFNM'], [0.362261804524342, 0.6815442332530506, 0.8894056826594741, 0.08801171226179674, 0.8947594812044767, 0.03521225781802776, 0.0058781270306324865, 0.08638358265087841, 0.7001379570012123, 0.048341796450578, 0.5735996069725393, 0.03240036453729613, 0.9526594842145486, 0.6448749920519918, 0.07979091308770837, 0.8651991603897431, 0.09574346728272035, 0.4602411530057141, 0.06442490353964686, 0.6918101235902507]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UEMP15T26', 'VXOCLSx', 'IPDCONGD', 'UMCSENTx', 'PERMITMW', 'UEMP27OV', 'IPB51222S', 'WPSID62', 'UEMPMEAN', 'HOUSTMW'], [0.14012435673670404, 0.36926304823240363, 0.5083121581041387, 0.3844353751520172, 0.3181256557811293, 0.18296821936101063, 0.3163355198874773, 0.49768524239698353, 0.2740752201492188, 0.10341685084587367, 0.4478532286430368, 0.0001671808255695177, 0.5840463249335195, 0.8703137954800259, 0.6113694827239868, 0.21616925262474235, 0.9188844327208687, 0.5097072981961088, 0.06307852227024568, 0.9722856858810067]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'WPSID62', 'IPDCONGD', 'VXOCLSx', 'UMCSENTx', 'HOUSTW', 'PERMITW', 'AMDMNOx', 'WPSFD49502', 'UEMPLT5', 'UEMP15T26'], [0.8649174660075523, 0.9435732471112525, 0.9770835889712768, 0.9594666426500617, 0.22793809641819668, 0.19179421500281132, 0.09732112576890709, 0.3387789147916742, 0.879809660381681, 0.07084540510902185, 0.7018368105226106, 0.6550802609903694, 0.004123858026392015, 0.9222590772684135, 0.7693093640059954, 0.4100681778526165, 0.07874748504368634, 0.03352017100644305, 0.6824943267187527, 0.6921565492098818]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'GS10', 'BAA', 'AAA', 'USWTRADE', 'VXOCLSx', 'UMCSENTx', 'EXUSUKx', 'HOUSTMW', 'CONSPI', 'RETAILx'], [0.3083802173880508, 0.42874110564854273, 0.4501044195199373, 0.2357593059519145, 0.4720680452182485, 0.8155061151864746, 0.995870743183867, 0.98431308098828, 0.9513389542136137, 0.550192451504526, 0.39365503736156826, 0.4751514400433752, 0.36740299805081345, 0.7520537238559586, 0.34818514396586575, 0.5828151580698825, 0.7774890352863363, 0.9296027233475311, 0.5596617624131985, 0.2136784143228379]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'VXOCLSx', 'UEMP27OV', 'UMCSENTx', 'AMDMNOx', 'CUSR0000SAD', 'UEMP15T26', 'IPB51222S', 'USFIRE', 'USGOVT', 'DTCTHFNM'], [0.22130498034131788, 0.28992723538864956, 0.3309999401094561, 0.779124658536856, 0.9260576470584406, 0.3811085591361709, 0.4640649027905006, 0.2613434232718305, 0.46492068354564264, 0.8121818274005118, 0.00255737712803628, 0.7746347255374313, 0.27361126959170806, 0.15338135221680033, 0.9273300615006423, 0.4041786526632233, 0.5120915584741826, 0.36347977930072517, 0.26867733132632776, 0.5745278357018485]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'DNDGRG3M086SBEA', 'UEMP5TO14', 'VXOCLSx', 'IPDCONGD', 'USWTRADE', 'CPIAPPSL', 'UEMPMEAN', 'UEMPLT5', 'IPB51222S', 'S&P div yield'], [0.3134822271013373, 0.09077128391551986, 0.2263473957045829, 0.3868211210120972, 0.49125175147727473, 0.8771153390434401, 0.3473615508091483, 0.09055111630231472, 0.1899106572374237, 0.520984941970335, 0.2648775197756952, 0.6441667164138254, 0.023968447057964127, 0.5905000063082886, 0.31184815005477695, 0.4812924931563073, 0.263234734673803, 0.5377218036497775, 0.6364698473869137, 0.02247763775772718]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UMCSENTx', 'IPB51222S', 'HOUSTNE', 'IPDMAT', 'PERMITW', 'EXCAUSx', 'HOUSTW', 'IPNCONGD', 'M1SL', 'T10YFFM'], [0.577554169794109, 0.6748822635669366, 0.8267000578972182, 0.7448658471297167, 0.44595417216586564, 0.6302475301066441, 0.5317391678713392, 0.3230553795318637, 0.8825520043935792, 0.9610173444940007, 0.02358560747153069, 0.26175019160537216, 0.03676162595974198, 0.20138743240329327, 0.46468428629582126, 0.9914403467435997, 0.07360574529059838, 0.9952304928249134, 0.24122707400213844, 0.7136571071853208]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'IPDCONGD', 'VXOCLSx', 'HOUSTNE', 'USGOVT', 'UEMP15T26', 'S&P div yield', 'USFIRE', 'WPSID62', 'PERMITW', 'IPB51222S'], [0.9602784343903832, 0.6977070196165511, 0.6641016011041121, 0.6027657944615846, 0.33977360059745576, 0.4105636649208998, 0.9268953887814252, 0.17295058104905617, 0.5395453859881428, 0.6318239816987332, 0.052250737575096656, 0.015194680462909841, 0.1588921407924393, 0.16102645353802333, 0.013752127741565437, 0.6304474864958143, 0.19977509810881905, 0.7902125704600654, 0.16609566039266271, 0.6390836739216358]]"
params,"[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'WPSID62', 'HOUSTMW', 'AMDMNOx', 'CE16OV', 'WPSFD49207', 'CPITRNSL', 'CMRMTSPLx', 'TWEXAFEGSMTHx', 'IPFUELS', 'ANDENOx'], [1.4801708442024526, 0.005112668231583737, -0.008366583272897103, 4.368167098805039e-05, -0.7234773664599359, 0.03076757223533685, -0.020380976460527122, 0.002839884053748196, 1.1219576254926031, 0.31882693241120347, -0.006907837250148018, -5.695069325111198e-05, -5.195181012172098e-06, -1.3450976077785698e-05, 0.012314497847069887, 0.0010002601951831641, -8.090291119030492e-07, -0.010065238641722114, 0.02760014884771568, 4.648604893520066e-06]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UEMP27OV', 'AMDMNOx', 'TB3SMFFM', 'UMCSENTx', 'T5YFFM', 'ISRATIOx', 'IPB51222S', 'WPSID62', 'T10YFFM', 'TWEXAFEGSMTHx'], [0.37988832601566036, -0.002044990117559161, 0.0035854533706196623, 0.001563116618886659, -0.0019890718706209315, -0.0022140744949490677, -0.002386844391672557, -0.0025310935210635438, -0.03613588953931168, -0.09805731237700177, 0.0001814652329834286, -1.6168460220622495e-06, -0.3136029627811344, -0.0019594638504547217, 0.39151201992137197, -0.06941263028830906, 0.0005089498824589467, 4.143078450588415e-05, -0.3405415935331981, 0.004104866235700352]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'IPFPNSS', 'IPB51222S', 'GS1', 'AMDMNOx', 'HOUSTMW', 'IPFUELS', 'TB6MS', 'AAA', 'CES1021000001', 'EXSZUSx'], [-0.15244446738214412, 0.0046614424635692, -0.00675963310003674, 0.002356836002823287, -0.580038316257712, -0.017298711150626818, 0.005088877258959469, -0.000864592824281217, -0.06064140652354144, -0.7761257823239783, -0.022223380838622634, 0.0005611477217080821, -0.32522664270717333, 4.524274612757729e-06, 0.0008809231051238272, -0.0017755685646882791, 0.21485611140756128, 0.07058538303186115, 0.0014622735297894426, 0.5196832829795688]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'DTCOLNVHFNM', 'IPB51222S', 'GS10', 'ANDENOx', 'CUSR0000SAD', 'PERMIT', 'DNDGRG3M086SBEA', 'S&P 500', 'DTCTHFNM', 'CE16OV'], [-1.1417572540425487, 0.001448391007533808, 0.005930954171596992, -0.001215496173704656, 1.8649648272983077, 0.023122892365165404, -0.006655482764427794, -0.012104949515595228, -0.34926493018265514, 1.2940812996375453, 5.994950066836474e-06, 0.0015176237421864512, 0.04067308868164779, 5.955915719701684e-06, -0.09371400248426726, -0.0007473158750252043, 0.06302139277425065, 0.00041742753413485375, 2.893689662923917e-06, -9.769067699331115e-06]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UMCSENTx', 'EXCAUSx', 'IPB51222S', 'PERMITW', 'PERMITNE', 'EXSZUSx', 'TWEXAFEGSMTHx', 'HOUSTW', 'IPDCONGD', 'PERMIT'], [0.10831908899404652, 0.005283248337660709, -0.005596188244186045, 0.0011125535660004723, -0.0022500753497023546, 0.027781444191315858, -0.016597071101815505, -0.000960815032243839, 0.2208011803604364, 0.06685288072356693, -0.0034356416086060637, -0.2934089858003782, -0.0004206715972560705, -0.0002508804073570979, 0.0003917424289739966, 0.47664760513300064, 0.0009580242240085366, -0.00025843474345259515, 0.0021050775815360944, -7.145343980359489e-05]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'CES1021000001', 'IPB51222S', 'CLAIMSx', 'DNDGRG3M086SBEA', 'IPDCONGD', 'PERMITMW', 'VXOCLSx', 'HOUSTNE', 'EXSZUSx', 'UEMP15T26'], [-0.10650301378181101, -0.00228529988962947, 0.011924300310546126, -0.0008066747284078855, 0.3109838986246496, -0.019016763754842403, 0.003972251277034095, -0.004434526102249913, -0.4502718319593902, 0.07188838261195246, 0.00024966038921420575, -0.0031443936619819316, 2.6248253643795527e-08, -0.003115695907547974, -0.001123377759398329, -0.0006133878568052789, -0.002304934677493971, 7.118321083743995e-05, 0.9252555438280257, 3.834199743379517e-05]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'IPDCONGD', 'HOUSTMW', 'S&P 500', 'CPIAPPSL', 'EXJPUSx', 'UEMP15T26', 'DTCOLNVHFNM', 'S&P: indust', 'UMCSENTx', 'CPITRNSL'], [-0.454267439362368, -0.02558987252275386, -0.019560860489518016, -0.015418299676650163, 0.3082893255615078, -0.003551582818896069, -0.001239038607266812, 0.003915805259099446, -0.37359334454103704, 0.03433369383368584, -0.0013190967117210255, 0.001113237077442093, 0.001333005609851763, -0.012178353541670132, -8.477587390171839e-05, -2.1991685907665613e-06, 5.155589422530568e-06, -0.0010408026541704571, -0.007205209906278487, 0.008824542310346448]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'HOUSTW', 'IPDCONGD', 'TWEXAFEGSMTHx', 'IPBUSEQ', 'ACOGNO', 'WPSID62', 'BUSINVx', 'PPICMM', 'PERMITMW', 'DTCTHFNM'], [0.5541519405866544, 0.009244607445922471, 0.003091651346042801, 0.005673246711527543, -0.021586490114666533, 0.022285062438271858, -0.03023087861486503, 0.005730991027255575, 0.30756801339349243, 0.4907496166576537, -0.00013604841269396865, -0.008252970830439788, -0.0004854264537443049, 0.0028366571652713854, 6.326221951403414e-06, -0.00032141427689396935, -7.205199630848321e-07, -0.0019961264662621595, 0.0012309438985470258, 6.20274092743994e-07]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UEMP15T26', 'VXOCLSx', 'IPDCONGD', 'UMCSENTx', 'PERMITMW', 'UEMP27OV', 'IPB51222S', 'WPSID62', 'UEMPMEAN', 'HOUSTMW'], [1.431137813916179, 0.008225622134176486, -0.011091612677728352, 0.002095999147769723, -0.24148849370053477, -0.015076675444166233, 0.007069645650158472, -0.001305661054193541, 0.9077006747864399, -0.43845305778501875, 1.3872007110883424e-05, -0.006018587732352512, -0.001126161880353423, 0.0005680025901709618, -0.0003206569307780125, 7.020020960187267e-05, 0.0001881195581774415, 0.0008936341915984344, -0.014275182296909647, 1.5940854759869343e-05]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'WPSID62', 'IPDCONGD', 'VXOCLSx', 'UMCSENTx', 'HOUSTW', 'PERMITW', 'AMDMNOx', 'WPSFD49502', 'UEMPLT5', 'UEMP15T26'], [-0.1587004184689853, 0.0006961803654339169, 0.0006164336244074455, 0.0002209398053723186, -0.20259052012668144, -0.012571347613843363, 0.015893424124170275, 0.0022268460052256513, -0.08317765693932033, -0.38363474170698764, 0.000580664389939224, 0.0015527421788417372, -0.004052716940261313, -0.0005264856050727924, -0.00010578015245959534, -0.0005033501406792559, -3.4526379809324493e-06, 0.0049231334695086885, 3.9288754431631205e-06, -1.0652768912603767e-05]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'GS10', 'BAA', 'AAA', 'USWTRADE', 'VXOCLSx', 'UMCSENTx', 'EXUSUKx', 'HOUSTMW', 'CONSPI', 'RETAILx'], [1.0929729382023796, -0.009568559726834337, 0.013842462916836537, 0.008919403293206096, -0.24774576442077112, 0.003201365268771909, 9.45201448956743e-05, -8.346674012532038e-05, -0.02426017364138472, -0.18489496612034212, 0.15429478203131208, 0.15609612912999193, -0.3441419779591315, -0.00020547552624518907, -0.002587378242158951, -0.003562811468677268, 0.10884115605554495, 5.621449974890669e-05, 16.048750107349917, -2.247063022696311e-06]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'VXOCLSx', 'UEMP27OV', 'UMCSENTx', 'AMDMNOx', 'CUSR0000SAD', 'UEMP15T26', 'IPB51222S', 'USFIRE', 'USGOVT', 'DTCTHFNM'], [-0.5365083760048757, 0.008351268299601214, -0.016522568531103912, -0.0009573642885321015, 0.0071900992114339, 0.009661888293908807, -0.005210780227242733, -0.0037622445094447664, 0.22288477331341194, 0.01030898607510301, -0.004098653031141779, 2.5928563750201055e-05, -0.004620772404766091, -1.4556082706665542e-06, 0.0021713595536059574, 1.1222776498386071e-05, 0.0013532347577303136, -0.00010199104783328229, 0.00010146058242658197, -1.3192879015234544e-06]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'DNDGRG3M086SBEA', 'UEMP5TO14', 'VXOCLSx', 'IPDCONGD', 'USWTRADE', 'CPIAPPSL', 'UEMPMEAN', 'UEMPLT5', 'IPB51222S', 'S&P div yield'], [1.194675332282658, -0.06625102198928584, 0.029319186814454053, -0.005918718978525575, -0.3000795044689194, 0.0032986153188733222, -0.007374713554944096, 0.00948033241276251, -1.6063899300218991, -0.39330286217731725, 0.041090752651796125, -1.0737890617328793e-05, -0.009240988851689601, 0.003276432302983345, -0.0005975384568371767, -0.008361640067534534, -0.01595791669012567, -1.8810790379053172e-05, 0.0016374043178647181, 1.0610487796611345]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'UMCSENTx', 'IPB51222S', 'HOUSTNE', 'IPDMAT', 'PERMITW', 'EXCAUSx', 'HOUSTW', 'IPNCONGD', 'M1SL', 'T10YFFM'], [-0.3046065623566251, 0.006229630528717606, 0.004612690449844591, 0.0012547929910238552, 0.15323988835247748, -0.0033084001651747293, 0.005429890088900814, 0.0035118107473141816, -0.0857483224772354, 0.009678973806527533, -0.009852675586334347, 0.002573226519819777, -0.0009078123529748308, 0.007887744123439247, -0.00041584200495270267, 0.004661081370695007, 0.0006996996723450154, 7.448134403293207e-05, -7.328833922195984e-05, -0.009466200258945887]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r', 'IPDCONGD', 'VXOCLSx', 'HOUSTNE', 'USGOVT', 'UEMP15T26', 'S&P div yield', 'USFIRE', 'WPSID62', 'PERMITW', 'IPB51222S'], [-0.023221421998643743, 0.004122379044213445, -0.0055254953792385104, -0.0026131008024554226, 0.0947891589960424, -0.008728376989016354, -0.0008576498112643472, 0.0067661158169554725, 0.19371700766611877, 0.01962280734216923, -0.004032359217558785, -0.004204016893755408, 0.0006788184747739057, 8.65998755421325e-05, 3.056197093315668e-05, 0.07673287892476188, -0.0001850718044185031, 0.00038913249772474894, -0.0006797313894341057, 0.0009351619584766729]]"
