,AMZN,WMT,NVDA,TSLA,PG,NKE,AAPL,JNJ,GOOGL,MSFT,PFE,BRK-A,FB,MRK,V
R^2,0.42152175299330663,0.22827229289073936,0.4181254386440282,0.4951554532396074,0.33139020980297484,0.4945200041197916,0.5749042178769052,0.37322002230989715,0.3091939354256634,0.36202760319926364,0.1635004420966092,0.22768665766211837,0.32500598660767677,0.2508765136817729,0.3463977570742467
adj_R^2,0.20727055039823494,-0.05755278381639428,0.20261634184552002,0.308175991476499,0.08375695417444695,0.3073051908308254,0.41746133560909227,0.14107928983208118,0.05333983743516835,0.12574153031010193,-0.14631420897872083,-0.0583553209815415,0.07500820386977924,-0.026576629399052143,0.10432285228693061
p-values,"[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.623285002693776, 0.6878010825247501, 0.6642060939890029, 0.3175475570320787, 0.15132823003840581, 0.1007045919996049, 0.43840087924271587, 0.4507614097635485, 0.8960564009803742, 0.8165381105136735]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.9493971873933214, 0.8464283645441323, 0.9092552545473572, 0.7905194240959541, 0.8036551378948767, 0.6339901940991115, 0.7637842469209115, 0.7591995275897341, 0.7418996155326969, 0.5954103142895475]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.9972099682307399, 0.5768494710512078, 0.45385727454800406, 0.5651502572661786, 0.22247359347239842, 0.6530397616377895, 0.6978613560760842, 0.8730014147148624, 0.486704061452479, 0.09026698712691106]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.22932833021875088, 0.20125159783409038, 0.5204220739702581, 0.9853275282269023, 0.03257159650082095, 0.8258231518424823, 0.6020807327620084, 0.13049891403843877, 0.6499754263471832, 0.30380505921441314]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.7478514689680911, 0.3294226716833665, 0.3347110915670256, 0.30923413523902143, 0.5747564872604071, 0.04790997615885695, 0.17539076179856605, 0.6465299747830915, 0.3790608994711012, 0.2673553865638861]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.6045774476645074, 0.5843931610473889, 0.9927701721952187, 0.5691258414942065, 0.1553008313871371, 0.1906967535091868, 0.5945744493297235, 0.42614624218487995, 0.674275980177709, 0.8488940014613098]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.1460171824642146, 0.07308565694586822, 0.6049163801797846, 0.9901355266713883, 0.03144469289103306, 0.768306172426884, 0.8649320378026549, 0.4862906034882526, 0.5995004026533578, 0.19413793830782]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.3163517176442644, 0.25505864163949143, 0.11925950146066253, 0.6088338943339475, 0.8308145468845601, 0.24345478839795132, 0.04335027109895441, 0.046539119425958134, 0.14636848133847857, 0.3069492137923029]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.4598420187807948, 0.97400301858904, 0.8495273161957796, 0.5586893099247907, 0.8467943262272201, 0.652564661295187, 0.6701722018669414, 0.3015210092708222, 0.8588374796125742, 0.6741703281498388]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.8301449884788075, 0.9751155411485042, 0.5740110718870408, 0.43396905728596635, 0.5955310337648851, 0.5694308846501968, 0.3190489442320907, 0.5914056028302133, 0.6602661230938789, 0.26827832317657485]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.258453459972116, 0.2221313752975015, 0.38188993694371376, 0.18449245598898473, 0.5013790653900707, 0.6440591496983654, 0.6302095915888621, 0.5929422956833128, 0.9379669658229525, 0.184741438099114]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.3143862541307036, 0.10672865872870567, 0.3361349616853304, 0.28535165565038223, 0.7453203918983651, 0.34419388906854376, 0.9058283112642508, 0.6576229802198921, 0.4198605548106942, 0.46751193344348185]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.7825507100591934, 0.1630612312107014, 0.24266583176780296, 0.2838814205756614, 0.8913744225234609, 0.04520671904495172, 0.09801932288023742, 0.638551829723374, 0.041940400890276, 0.18274745792487812]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.7110062949748823, 0.6060662976413574, 0.6369451031486573, 0.8106302322256486, 0.4479122129647053, 0.5253008101758618, 0.7001474564069723, 0.4652097328919068, 0.5984360344460842, 0.5044615235021228]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.4670029515628771, 0.18834958348524705, 0.10351956252663247, 0.13620421504078745, 0.3817352862773914, 0.793041738315044, 0.7595341414096786, 0.39263425237998795, 0.08727296228452962, 0.415896307347993]]"
params,"[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.30330573750188294, 0.0017129073527703364, -0.003338750626561404, 0.0012997038621720201, -0.8226728398275647, 0.01637869680101789, -0.006473603489132746, -0.0024626481640334045, 0.048935052385700756, -0.05486194071374875]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.05934548615755697, -0.0010817147980222805, -0.0008480315238279888, 0.0005742573809300507, -0.05414072909222822, 0.004843466506787523, -0.0021862767520910136, 0.0007712622593384375, 0.11298967749083919, -0.07480082608136097]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.0073019894979463595, 0.008295559147337608, -0.015186143785719891, 0.0013150451415543404, -0.41416905887117716, 0.009332836697435731, -0.006426640455546845, 0.0013213777951408454, 0.4519050970234578, -0.44821085580733666]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-2.829579645205111, 0.016762134795220436, -0.00691442041372841, -7.484091832731313e-05, 1.8281117616528422, 0.004157294979137541, 0.007454896317416696, -0.01029006648335781, -0.31041894297686295, 0.6273071324730006]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.14497001363051487, 0.006351855993515211, -0.018057423514746287, -0.0030803388717137972, 0.037692286544204416, 0.02437267178022197, -0.011346957933683522, -0.0022141753232029745, 0.399019941568867, 0.047509024542021674]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.3907457824497152, 0.004516881916375461, 0.00012213736769143137, -0.0018541595224466846, 0.1970585695447772, -0.014700455563302888, -0.0034292538092815664, 0.004005522808604707, 0.1248865308360475, 0.0195447281183115]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [1.4277818110103067, -0.027626887644327497, 0.01331680038675846, 9.779263395376641e-05, 0.8931882110396507, 0.0031632661277192996, 0.000986745636990011, 0.0016874185547381944, -0.3452914846143587, 0.5567123755354572]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.4732852256513685, -0.009506903629674681, 0.018002450651031218, 0.0015020139914116507, 0.03188035398182641, 0.009905772005551287, -0.017604652885923486, 0.005414600423254765, -0.489493116010635, 0.2115768152792749]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.905210458642409, 0.0002880438474114007, -0.003496010919949698, 0.0014674225273399381, 0.04867115584451596, -0.006078172730212375, 0.003490039542267372, -0.0021935796546856765, 0.15256310060208417, -0.1251254748704838]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.1614558481336612, 0.0003132597718476949, 0.013407148489226594, 0.0029729229230610393, -0.09565468538379832, -0.005229610649185004, 0.007381748502473812, 0.001113686080169802, -0.2149593703901771, -0.21060701001804305]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.9090176415798428, -0.011007832978347206, 0.013696927987593902, 0.005817677007663671, -0.18278167090261788, -0.004906956460429328, 0.007632293939278072, 0.00168293338179116, -0.02426059017417189, -0.3138060673726163]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.4322622462059379, 0.009848798463072577, -0.014133893595127827, -0.0021551431561139165, -0.024325941755740363, 0.011876642001349516, 0.0009569054273315049, -0.001680459946768702, 0.21409739885802068, -0.03227327469310356]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.25333019993003947, -0.01897522745397914, 0.018189747746862463, 0.005573470280950771, -0.05453953905320785, 0.029787545987639483, -0.010433717589524077, 0.0020196394772208958, -1.0621126021514198, 0.5035337315179491]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [-0.1993950028100398, -0.004241690175959759, 0.006902782040740401, -0.0008008402216441767, 0.13890482569644907, 0.0037302696747271305, -0.0030595838096575956, 0.002209531878128547, -0.152855028694389, 0.11689118813584595]]","[['mean_g', 'pos_g', 'neg_g', 'neu_g', 'mean_s', 'pos_s', 'neg_s', 'neu_s', 'neg_g_r', 'neg_s_r'], [0.39128309873607614, -0.010026305816252178, 0.020564553344797107, 0.005246056271246833, 0.085354969272917, -0.0026647005492793875, -0.003360419970732575, 0.0045743776072711025, -0.46412403628447546, 0.03819227639282868]]"
