Company,Date,mean,pos,neg,neu
APPLE,2019-04-01,0.04014583333333333,12.0,9.0,27.0
APPLE,2019-05-01,0.01684399999999999,11.0,11.0,28.0
APPLE,2019-06-01,0.03507959183673469,12.0,9.0,28.0
APPLE,2019-07-01,0.000304166666666669,7.0,8.0,33.0
APPLE,2019-08-01,0.02495918367346939,14.0,12.0,23.0
APPLE,2019-09-01,0.018346938775510205,10.0,9.0,30.0
APPLE,2019-10-01,-0.004328571428571433,9.0,13.0,27.0
APPLE,2019-11-01,-0.0018520000000000014,8.0,8.0,34.0
APPLE,2019-12-01,0.09754375,15.0,8.0,25.0
APPLE,2020-01-01,-0.042467346938775505,5.0,9.0,35.0
APPLE,2020-02-01,-0.067252,4.0,9.0,37.0
APPLE,2020-03-01,0.028352083333333333,10.0,8.0,30.0
APPLE,2020-04-01,0.057399999999999986,10.0,4.0,35.0
APPLE,2020-05-01,-0.018056000000000006,6.0,7.0,37.0
APPLE,2020-06-01,0.056624489795918366,10.0,6.0,33.0
APPLE,2020-07-01,0.0619125,9.0,5.0,34.0
APPLE,2020-08-01,0.017980000000000006,8.0,7.0,35.0
APPLE,2020-09-01,0.044434,12.0,7.0,31.0
BERKSHIRE HATHAWAY,2017-09-01,0.009162500000000002,8.0,7.0,33.0
BERKSHIRE HATHAWAY,2017-10-01,0.04949285714285715,11.0,6.0,25.0
BERKSHIRE HATHAWAY,2017-11-01,0.13552173913043478,19.0,4.0,23.0
BERKSHIRE HATHAWAY,2017-12-01,0.1667279069767442,18.0,2.0,23.0
BERKSHIRE HATHAWAY,2018-01-01,0.25925,21.0,2.0,19.0
BERKSHIRE HATHAWAY,2018-02-01,0.08926666666666666,13.0,6.0,29.0
BERKSHIRE HATHAWAY,2018-03-01,0.08776739130434785,12.0,5.0,29.0
BERKSHIRE HATHAWAY,2018-04-01,0.1294872340425532,13.0,0.0,34.0
BERKSHIRE HATHAWAY,2018-05-01,0.04878444444444444,10.0,7.0,28.0
BERKSHIRE HATHAWAY,2018-06-01,0.1173288888888889,12.0,2.0,31.0
BERKSHIRE HATHAWAY,2018-07-01,0.14235853658536587,16.0,2.0,23.0
BERKSHIRE HATHAWAY,2018-08-01,0.03985319148936171,12.0,4.0,31.0
BERKSHIRE HATHAWAY,2018-09-01,0.049262222222222214,13.0,5.0,27.0
BERKSHIRE HATHAWAY,2018-10-01,0.09000425531914893,11.0,2.0,34.0
BERKSHIRE HATHAWAY,2018-11-01,0.06669787234042553,12.0,3.0,32.0
BERKSHIRE HATHAWAY,2018-12-01,0.12225652173913044,17.0,4.0,25.0
BERKSHIRE HATHAWAY,2019-01-01,-0.0014065217391304354,7.0,8.0,31.0
BERKSHIRE HATHAWAY,2019-02-01,0.05737777777777778,9.0,6.0,30.0
BERKSHIRE HATHAWAY,2019-03-01,0.1325909090909091,12.0,4.0,28.0
BERKSHIRE HATHAWAY,2019-04-01,0.030472727272727266,8.0,3.0,33.0
