Company,Date,mean,pos,neg,neu
BRK,2019-06-01,0.102570213,14,5,28
BRK,2019-07-01,0.107319149,15,4,28
BRK,2019-08-01,0.077541667,13,5,30
BRK,2019-09-01,0.14308,18,3,29
BRK,2019-10-01,0.025121277,6,5,36
BRK,2019-11-01,-0.028351064,4,8,35
BRK,2019-12-01,0.100543478,14,2,30
BRK,2020-01-01,0.000972727,13,9,22
BRK,2020-02-01,0.158924242,14,2,17
BRK,2020-03-01,-0.006791667,6,7,35
BRK,2020-04-01,0.05595625,10,7,31
BRK,2020-05-01,0.048531111,8,8,29
BRK,2020-06-01,0.019767391,12,12,22
BRK,2020-07-01,0.074648889,13,6,26
BRK,2020-08-01,0.079928261,16,7,23
BRK,2020-09-01,0.115158696,12,2,32
FB,2017-09-01,-0.053462,13,16,21
FB,2017-10-01,-0.06859375,6,14,28
FB,2017-11-01,-0.054464865,9,11,17
FB,2017-12-01,-0.069302,12,17,21
FB,2018-01-01,0.0089,12,11,27
FB,2018-02-01,-0.162889583,5,22,21
FB,2018-03-01,-0.073473469,8,16,25
FB,2018-04-01,-0.07345,9,14,27
FB,2018-05-01,-0.019868085,9,10,28
FB,2018-06-01,0.025373684,14,8,35
FB,2018-07-01,-0.107404167,7,17,24
FB,2018-08-01,-0.10319,7,15,28
FB,2018-09-01,-0.040061702,8,10,29
FB,2018-10-01,-0.052136,13,13,24
FB,2018-11-01,-0.198082,4,23,23
FB,2018-12-01,-0.008933333,15,18,15
FB,2019-01-01,-0.055126531,12,17,20
FB,2019-02-01,-0.122516327,5,16,28
FB,2019-03-01,-0.098910204,9,16,24
FB,2019-04-01,-0.056808511,9,11,27
FB,2019-05-01,-0.124267347,6,17,26
FB,2019-06-01,-0.126548,10,18,22
FB,2019-07-01,-0.054108,14,15,21
FB,2019-08-01,-0.090793878,3,12,34
FB,2019-09-01,-0.01533,16,13,21
FB,2019-10-01,-0.051716667,8,12,28
FB,2019-11-01,-0.156988,5,19,26
FB,2019-12-01,-0.0675625,9,15,24
FB,2020-01-01,-0.117747917,9,20,19
FB,2020-02-01,-0.101935714,5,17,20
FB,2020-03-01,-0.049559184,10,16,23
FB,2020-04-01,0.028292,10,6,34
FB,2020-05-01,0.068325926,14,8,32
FB,2020-06-01,-0.08246,10,16,24
FB,2020-07-01,-0.071946,7,11,32
FB,2020-08-01,-0.218610204,5,24,20
FB,2020-09-01,-0.17584375,5,22,21
JNJ,2017-09-01,0.046118182,12,7,25
JNJ,2017-10-01,0.027343478,12,10,24
JNJ,2017-11-01,0.061823256,14,7,22
JNJ,2017-12-01,0.120502273,15,9,20
JNJ,2018-01-01,0.0239,7,6,33
JNJ,2018-02-01,0.037321622,11,8,18
JNJ,2018-03-01,0.039763415,9,8,24
JNJ,2018-04-01,-0.048787234,9,13,25
JNJ,2018-05-01,-0.0132875,7,6,27
JNJ,2018-06-01,0.048282222,14,5,26
JNJ,2018-07-01,0.004810638,11,10,26
JNJ,2018-08-01,0.009273913,13,12,21
JNJ,2018-09-01,-0.0825,7,14,22
JNJ,2018-10-01,-0.057737838,8,9,20
JNJ,2018-11-01,-0.018668182,10,10,24
JNJ,2018-12-01,0.003783333,9,12,27
JNJ,2019-01-01,0.089765909,14,4,26
JNJ,2019-02-01,-0.022074419,7,8,28
JNJ,2019-03-01,-0.066858974,8,13,18
JNJ,2019-04-01,-0.017755556,16,16,13
JNJ,2019-05-01,-0.088186667,8,15,22
JNJ,2019-06-01,-0.003578261,11,14,21
JNJ,2019-07-01,-0.057759184,8,11,30
JNJ,2019-08-01,-0.094372917,7,16,25
JNJ,2019-09-01,0.010583333,11,10,27
JNJ,2019-10-01,0.01874,11,9,25
JNJ,2019-11-01,0.034376596,12,11,24
JNJ,2019-12-01,-0.005452273,8,11,25
JNJ,2020-01-01,0.024168182,10,6,28
JNJ,2020-02-01,-0.00417381,11,11,20
JNJ,2020-03-01,-0.029976744,8,11,24
JNJ,2020-04-01,0.118679167,17,5,26
JNJ,2020-05-01,-0.003723404,9,9,29
JNJ,2020-06-01,0.055134884,12,8,23
JNJ,2020-07-01,0.054687179,11,6,22
JNJ,2020-08-01,0.04222,11,8,26
JNJ,2020-09-01,-0.032133333,11,12,25
MRK,2017-09-01,-0.06662093,6,11,26
MRK,2017-10-01,0.105539535,16,9,18
MRK,2017-11-01,0.020682051,11,8,20
MRK,2017-12-01,0.099758824,11,5,18
MRK,2018-01-01,0.0309375,7,4,21
MRK,2018-02-01,-0.011808108,8,6,23
MRK,2018-03-01,0.031435294,11,7,16
MRK,2018-04-01,-0.118388372,6,15,22
MRK,2018-05-01,-0.0031425,11,8,21
MRK,2018-06-01,-0.014535,12,11,17
MRK,2018-07-01,0.025756757,8,5,24
MRK,2018-08-01,0.0967675,14,4,22
MRK,2018-09-01,0.0913,16,5,20
MRK,2018-10-01,-0.002448649,6,8,23
MRK,2018-11-01,-0.06467907,9,13,21
MRK,2018-12-01,0.109215789,14,3,21
MRK,2019-01-01,-0.001202778,10,9,17
MRK,2019-02-01,-0.000126316,13,10,15
MRK,2019-03-01,0.037302857,11,6,18
MRK,2019-04-01,0.081933333,10,5,18
MRK,2019-05-01,-0.041356098,11,11,19
MRK,2019-06-01,0.0696525,14,8,18
MRK,2019-07-01,0.058381579,11,8,19
MRK,2019-08-01,-0.028975,8,9,27
MRK,2019-09-01,0.020891667,8,6,22
MRK,2019-10-01,0.100042105,12,5,21
MRK,2019-11-01,0.054502703,11,6,20
MRK,2019-12-01,0.022176471,14,10,10
MRK,2020-01-01,0.022194444,14,8,14
MRK,2020-02-01,0.032718182,9,6,29
MRK,2020-03-01,0.035102632,10,6,22
MRK,2020-04-01,-0.023617949,9,8,22
MRK,2020-05-01,0.027124,4,3,18
MRK,2020-06-01,0.07956,13,5,17
MRK,2020-07-01,0.032548571,8,6,21
MRK,2020-08-01,-0.001065789,9,8,21
MRK,2020-09-01,0.034137143,7,5,23
MSFT,2017-09-01,0.04657551,9,3,37
MSFT,2017-10-01,0.041336957,14,8,24
MSFT,2017-11-01,0.083144,14,5,31
MSFT,2017-12-01,-0.013485714,8,10,31
MSFT,2018-01-01,-0.036076,6,10,34
MSFT,2018-02-01,0.031714286,13,9,27
MSFT,2018-03-01,0.04681875,15,9,24
MSFT,2018-04-01,0.081536735,14,7,28
MSFT,2018-05-01,0.138083784,13,2,22
MSFT,2018-06-01,0.053934,12,6,32
MSFT,2018-07-01,0.12389375,13,3,32
MSFT,2018-08-01,0.04628125,12,6,30
MSFT,2018-09-01,0.073579167,13,4,31
MSFT,2018-10-01,0.01524375,10,8,30
MSFT,2018-11-01,0.132582,18,5,27
MSFT,2018-12-01,0.03273,9,7,34
MSFT,2019-01-01,0.177244,21,3,26
MSFT,2019-02-01,0.075746,10,3,37
MSFT,2019-03-01,0.066887755,12,4,33
MSFT,2019-04-01,-0.027228,7,9,34
MSFT,2019-05-01,0.069926,17,8,25
MSFT,2019-06-01,-0.002052,11,9,30
MSFT,2019-07-01,0.109086364,17,5,22
MSFT,2019-08-01,0.04715,11,7,32
MSFT,2019-09-01,0.062987234,12,7,28
MSFT,2019-10-01,0.098784,15,7,28
MSFT,2019-11-01,0.119177551,16,5,28
MSFT,2019-12-01,0.07887551,16,7,26
MSFT,2020-01-01,-0.03915,7,11,30
MSFT,2020-02-01,-0.049125,6,10,32
MSFT,2020-03-01,-0.002704082,6,6,37
MSFT,2020-04-01,0.104458333,16,5,27
MSFT,2020-05-01,0.079506522,13,6,27
MSFT,2020-06-01,0.045020833,11,9,28
MSFT,2020-07-01,0.062767391,9,6,31
MSFT,2020-08-01,0.0117,8,5,36
MSFT,2020-09-01,0.053408333,9,3,36
NKE,2017-09-01,0.031528889,7,4,34
NKE,2017-10-01,0.057993617,12,8,27
NKE,2017-11-01,0.141695652,16,4,26
NKE,2017-12-01,0.054491837,10,5,34
NKE,2018-01-01,0.10895102,14,3,32
NKE,2018-02-01,0.11574375,11,3,34
NKE,2018-03-01,0.073935556,8,2,35
NKE,2018-04-01,0.091428261,10,1,35
NKE,2018-05-01,-0.023358696,10,9,27
NKE,2018-06-01,0.04834375,10,7,31
NKE,2018-07-01,0.09198125,14,5,29
NKE,2018-08-01,0.035487755,13,11,25
NKE,2018-09-01,0.054497959,15,8,26
NKE,2018-10-01,0.049102041,10,4,35
NKE,2018-11-01,0.042439583,7,5,36
NKE,2018-12-01,0.035614286,9,5,35
NKE,2019-01-01,0.056171739,9,5,32
NKE,2019-02-01,0.024132653,10,9,30
NKE,2019-03-01,0.079644681,12,7,28
NKE,2019-04-01,0.049985714,12,8,29
NKE,2019-05-01,0.014028571,9,9,31
NKE,2019-06-01,0.083667347,13,6,30
NKE,2019-07-01,0.031910638,9,6,32
NKE,2019-08-01,0.074856,13,5,32
NKE,2019-09-01,0.079559184,14,8,27
NKE,2019-10-01,-0.103073333,6,18,21
NKE,2019-11-01,0.039910417,11,7,30
NKE,2019-12-01,0.01781,13,9,28
NKE,2020-01-01,-0.0629,6,14,30
NKE,2020-02-01,-0.025004082,8,9,32
NKE,2020-03-01,0.02793,10,7,33
NKE,2020-04-01,0.03634,12,8,30
NKE,2020-05-01,-0.022573469,9,11,29
NKE,2020-06-01,0.051033333,15,9,24
NKE,2020-07-01,-0.054697959,3,8,38
NKE,2020-08-01,0.036806,9,6,35
NKE,2020-09-01,0.118214286,16,3,30
NVDA,2017-09-01,0.065584091,17,9,18
NVDA,2017-10-01,0.074290526,24,11,60
NVDA,2017-11-01,0.079774737,26,17,52
NVDA,2017-12-01,0.088286,27,10,63
NVDA,2018-01-01,0.086485567,23,7,67
NVDA,2018-02-01,0.058854839,21,9,63
NVDA,2018-03-01,0.089611458,23,6,67
NVDA,2018-04-01,0.034640404,22,18,59
NVDA,2018-05-01,0.032532979,20,16,58
NVDA,2018-06-01,0.115730208,26,5,65
NVDA,2018-07-01,0.064594059,25,12,64
NVDA,2018-08-01,0.086219565,24,8,60
NVDA,2018-09-01,0.063230526,18,5,72
NVDA,2018-10-01,0.034009375,22,14,60
NVDA,2018-11-01,-0.007970833,17,21,58
NVDA,2018-12-01,0.03379697,25,17,57
NVDA,2019-01-01,-0.05376701,10,20,67
NVDA,2019-02-01,0.027218,24,17,59
NVDA,2019-03-01,0.049946316,17,10,68
NVDA,2019-04-01,0.03174433,18,11,68
NVDA,2019-05-01,-0.035395789,13,19,63
NVDA,2019-06-01,0.157453191,32,8,54
NVDA,2019-07-01,0.217814433,43,6,48
NVDA,2019-08-01,0.042302198,23,18,50
NVDA,2019-09-01,0.12158587,30,12,50
NVDA,2019-10-01,0.17616087,35,7,50
NVDA,2019-11-01,0.165858696,39,9,44
NVDA,2019-12-01,0.073316484,23,9,59
NVDA,2020-01-01,0.111172632,26,7,62
NVDA,2020-02-01,0.078455556,29,13,57
NVDA,2020-03-01,0.069835714,31,20,47
NVDA,2020-04-01,0.114974227,31,12,54
NVDA,2020-05-01,0.072472527,25,9,57
NVDA,2020-06-01,0.027396809,20,15,59
NVDA,2020-07-01,0.029645361,22,13,62
NVDA,2020-08-01,0.069016327,25,12,61
NVDA,2020-09-01,0.0448,19,10,65
PG,2017-09-01,-0.053704348,10,12,24
PG,2017-10-01,-0.034457447,9,11,27
PG,2017-11-01,0.0927625,15,5,28
PG,2017-12-01,0.117653333,17,6,22
PG,2018-01-01,0.010082222,11,13,21
PG,2018-02-01,0.056393333,10,6,29
PG,2018-03-01,-0.066908333,6,15,27
PG,2018-04-01,0.029419149,12,8,27
PG,2018-05-01,0.059808333,17,12,19
PG,2018-06-01,0.117071429,13,3,33
PG,2018-07-01,0.072029167,15,7,26
PG,2018-08-01,0.021845652,13,11,22
PG,2018-09-01,0.217648936,20,3,24
PG,2018-10-01,0.04397234,13,8,26
PG,2018-11-01,0.076628889,14,6,25
PG,2018-12-01,0.074379592,13,6,30
PG,2019-01-01,0.083868889,11,5,29
PG,2019-02-01,0.1486,17,5,24
PG,2019-03-01,0.135998,20,4,26
PG,2019-04-01,0.087837778,15,9,21
PG,2019-05-01,0.137183333,17,3,28
PG,2019-06-01,0.038997826,11,5,30
PG,2019-07-01,0.105875,14,4,26
PG,2019-08-01,0.09002766,14,5,28
PG,2019-09-01,0.045214583,13,6,29
PG,2019-10-01,0.140514583,18,6,24
PG,2019-11-01,0.089564583,13,3,32
PG,2019-12-01,0.113884783,16,5,25
PG,2020-01-01,0.125393478,13,2,31
PG,2020-02-01,0.09038125,17,4,27
PG,2020-03-01,0.11084898,16,5,28
PG,2020-04-01,0.137908333,20,6,22
PG,2020-05-01,0.127128571,15,2,32
PG,2020-06-01,0.007795833,10,7,31
PG,2020-07-01,0.05843617,14,7,26
PG,2020-08-01,0.062777551,13,7,29
PG,2020-09-01,0.072630435,13,4,29
PFE,2017-09-01,-0.074613636,5,10,29
PFE,2017-10-01,0.048552273,16,9,19
PFE,2017-11-01,-0.008390909,11,11,22
PFE,2017-12-01,0.040892308,10,6,23
PFE,2018-01-01,-0.055107692,7,11,21
PFE,2018-02-01,-0.026912821,9,8,22
PFE,2018-03-01,0.0303225,9,4,27
PFE,2018-04-01,0.113088372,16,5,22
PFE,2018-05-01,-0.008935714,10,10,22
PFE,2018-06-01,0.05562439,10,7,24
PFE,2018-07-01,-0.047709091,7,10,27
PFE,2018-08-01,-0.067804762,9,16,17
PFE,2018-09-01,0.058795455,13,8,23
PFE,2018-10-01,-0.046173171,6,9,26
PFE,2018-11-01,0.022151282,8,7,24
PFE,2018-12-01,0.023223077,9,7,23
PFE,2019-01-01,-0.001167442,10,11,22
PFE,2019-02-01,-0.081228947,6,11,21
PFE,2019-03-01,-0.005825641,11,9,19
PFE,2019-04-01,0.045581081,10,5,22
PFE,2019-05-01,0.191730233,21,1,21
PFE,2019-06-01,0.053684848,9,6,18
PFE,2019-07-01,0.148672093,20,6,17
PFE,2019-08-01,0.006328889,10,7,28
PFE,2019-09-01,0.118768571,9,0,26
PFE,2019-10-01,0.073664444,13,6,26
PFE,2019-11-01,0.040625581,12,8,23
PFE,2019-12-01,0.083836585,16,8,17
PFE,2020-01-01,0.060034091,11,7,26
PFE,2020-02-01,0.114397297,11,3,23
PFE,2020-03-01,0.058229268,10,4,27
PFE,2020-04-01,0.058943243,8,5,24
PFE,2020-05-01,0.127013953,17,6,20
PFE,2020-06-01,0.081241176,12,6,16
PFE,2020-07-01,0.144519512,15,3,23
PFE,2020-08-01,0.097311364,15,3,26
PFE,2020-09-01,0.041655,11,7,22
TSLA,2017-09-01,0.023759574,12,9,26
TSLA,2017-10-01,-0.035002174,17,25,50
TSLA,2017-11-01,-0.037714737,14,22,59
TSLA,2017-12-01,0.038959184,25,14,59
TSLA,2018-01-01,0.037426042,23,18,55
TSLA,2018-02-01,0.019427907,8,7,28
TSLA,2018-03-01,-0.080202273,7,13,24
TSLA,2018-04-01,-0.05859,9,14,27
TSLA,2018-05-01,-0.0937,3,12,33
TSLA,2018-06-01,-0.099104651,7,14,22
TSLA,2018-07-01,-0.051788,7,13,30
TSLA,2018-08-01,-0.043759184,7,11,31
TSLA,2018-09-01,-0.060482609,5,12,29
TSLA,2018-10-01,-0.0294625,11,12,25
TSLA,2018-11-01,-0.049927083,10,14,24
TSLA,2018-12-01,-0.033010204,8,12,29
TSLA,2019-01-01,0.000203158,21,22,52
TSLA,2019-02-01,-0.050687629,13,26,58
TSLA,2019-03-01,-0.112606186,10,33,54
TSLA,2019-04-01,-0.089150515,8,27,62
TSLA,2019-05-01,-0.089129167,18,32,46
